componente,unidade,Valor por 100g,Copo americano duplo (240 mL),Copo americano pequeno (165 mL),Dose/ Taça (100 mL),codigo_alimento,nome_alimento
Energia,kJ,382,916,630,381,BRC0034H,Nome não encontrado
Energia,kcal,92,220,151,91,BRC0034H,Nome não encontrado
Umidade,g,"85,2",204,140,"85,2",BRC0034H,Nome não encontrado
Carboidrato total,g,"3,41","8,17","5,62","3,41",BRC0034H,Nome não encontrado
Carboidrato disponível,g,"3,41","8,17","5,62","3,41",BRC0034H,Nome não encontrado
Proteína,g,"0,08","0,18","0,13","0,08",BRC0034H,Nome não encontrado
Lipídios,g,"0,00","0,00","0,00","0,00",BRC0034H,Nome não encontrado
Fibra alimentar,g,"0,00","0,00","0,00","0,00",BRC0034H,Nome não encontrado
Álcool,g,"11,1","26,7","18,4","11,1",BRC0034H,Nome não encontrado
Cinzas,g,"0,21","0,50","0,34","0,21",BRC0034H,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00","0,00",BRC0034H,Nome não encontrado
Ácidos graxos saturados,g,"0,00","0,00","0,00","0,00",BRC0034H,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,00","0,00","0,00","0,00",BRC0034H,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,00","0,00","0,00","0,00",BRC0034H,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00","0,00",BRC0034H,Nome não encontrado
Cálcio,mg,"7,91","19,0","13,1","7,91",BRC0034H,Nome não encontrado
Ferro,mg,"0,42","1,00","0,69","0,42",BRC0034H,Nome não encontrado
Sódio,mg,"2,58","6,19","4,25","2,58",BRC0034H,Nome não encontrado
Magnésio,mg,"7,43","17,8","12,3","7,43",BRC0034H,Nome não encontrado
Fósforo,mg,"7,49","18,0","12,4","7,49",BRC0034H,Nome não encontrado
Potássio,mg,"89,9",215,148,"89,9",BRC0034H,Nome não encontrado
Manganês,mg,"0,23","0,55","0,38","0,23",BRC0034H,Nome não encontrado
Zinco,mg,"0,09","0,21","0,15","0,09",BRC0034H,Nome não encontrado
Cobre,mg,"0,05","0,12","0,08","0,05",BRC0034H,Nome não encontrado
Selênio,mcg,"0,22","0,53","0,36","0,22",BRC0034H,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00","0,00","0,00",BRC0034H,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00","0,00","0,00",BRC0034H,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00",BRC0034H,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,00","0,00","0,00","0,00",BRC0034H,Nome não encontrado
Tiamina,mg,"0,01","0,01","0,01","0,01",BRC0034H,Nome não encontrado
Riboflavina,mg,"0,03","0,06","0,04","0,03",BRC0034H,Nome não encontrado
Niacina,mg,"0,18","0,44","0,30","0,18",BRC0034H,Nome não encontrado
Vitamina B6,mg,"0,06","0,14","0,10","0,06",BRC0034H,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00","0,00",BRC0034H,Nome não encontrado
Vitamina C,mg,"0,00","0,00","0,00","0,00",BRC0034H,Nome não encontrado
Equivalente de folato,mcg,"1,10","2,65","1,82","1,10",BRC0034H,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00",BRC0034H,Nome não encontrado
Açúcar de adição,g,,,,,BRC0034H,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00","0,00",BRC0034H,Nome não encontrado
Proteína vegetal,g,"0,08","0,18","0,13","0,08",BRC0034H,Nome não encontrado
Proteína animal,g,"0,00","0,00","0,00","0,00",BRC0034H,Nome não encontrado
