componente,unidade,Valor por 100g,Copo americano duplo (240 mL),Copo americano pequeno (165 mL),Pedaço/ Unidade/ Fatia (M) (200 mL),codigo_alimento,nome_alimento
Energia,kJ,298,714,491,595,BRC0097G,Nome não encontrado
Energia,kcal,71,170,117,141,BRC0097G,Nome não encontrado
Umidade,g,"81,2",194,134,162,BRC0097G,Nome não encontrado
Carboidrato total,g,"11,1","26,7","18,4","22,3",BRC0097G,Nome não encontrado
Carboidrato disponível,g,"7,45","17,9","12,3","14,9",BRC0097G,Nome não encontrado
Proteína,g,"4,64","11,1","7,66","9,28",BRC0097G,Nome não encontrado
Lipídios,g,"1,69","4,07","2,80","3,39",BRC0097G,Nome não encontrado
Fibra alimentar,g,"3,70","8,88","6,11","7,40",BRC0097G,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00",BRC0097G,Nome não encontrado
Cinzas,g,"1,27","3,06","2,10","2,55",BRC0097G,Nome não encontrado
Colesterol,mg,"3,38","8,11","5,58","6,76",BRC0097G,Nome não encontrado
Ácidos graxos saturados,g,"0,81","1,94","1,33","1,61",BRC0097G,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,46","1,10","0,75","0,91",BRC0097G,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,04","0,11","0,07","0,09",BRC0097G,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00","0,00",BRC0097G,Nome não encontrado
Cálcio,mg,133,321,221,267,BRC0097G,Nome não encontrado
Ferro,mg,"1,39","3,33","2,29","2,77",BRC0097G,Nome não encontrado
Sódio,mg,"48,4",116,"79,9","96,8",BRC0097G,Nome não encontrado
Magnésio,mg,"59,2",141,"97,6",118,BRC0097G,Nome não encontrado
Fósforo,mg,150,361,248,301,BRC0097G,Nome não encontrado
Potássio,mg,279,670,460,558,BRC0097G,Nome não encontrado
Manganês,mg,"0,38","0,92","0,63","0,77",BRC0097G,Nome não encontrado
Zinco,mg,"1,03","2,46","1,69","2,05",BRC0097G,Nome não encontrado
Cobre,mg,"0,40","0,95","0,66","0,79",BRC0097G,Nome não encontrado
Selênio,mcg,"1,43","3,43","2,36","2,86",BRC0097G,Nome não encontrado
Vitamina A (RE),mcg,,,,,BRC0097G,Nome não encontrado
Vitamina A (RAE),mcg,"8,10","19,4","13,4","16,2",BRC0097G,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00",BRC0097G,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,05","0,12","0,08","0,10",BRC0097G,Nome não encontrado
Tiamina,mg,"0,04","0,11","0,07","0,09",BRC0097G,Nome não encontrado
Riboflavina,mg,"0,26","0,63","0,43","0,53",BRC0097G,Nome não encontrado
Niacina,mg,"1,57","3,76","2,59","3,14",BRC0097G,Nome não encontrado
Vitamina B6,mg,"0,01","0,03","0,02","0,02",BRC0097G,Nome não encontrado
Vitamina B12,mcg,"0,49","1,19","0,82","0,99",BRC0097G,Nome não encontrado
Vitamina C,mg,traços,traços,traços,,BRC0097G,Nome não encontrado
Equivalente de folato,mcg,"8,14","19,5","13,4","16,3",BRC0097G,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00",BRC0097G,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00",BRC0097G,Nome não encontrado
Gordura de adição,g,-,-,-,-,BRC0097G,Nome não encontrado
Proteína vegetal,g,-,-,-,-,BRC0097G,Nome não encontrado
Proteína animal,g,-,-,-,-,BRC0097G,Nome não encontrado
