componente,unidade,Valor por 100g,Colher servir cheia (50 g),Escumadeira cheia (110 g),Escumadeira rasa (90 g),codigo_alimento,nome_alimento
Energia,kJ,426,213,469,383,BRC0597A,Nome não encontrado
Energia,kcal,101,50,110,90,BRC0597A,Nome não encontrado
Umidade,g,"75,3","37,6","82,8","67,7",BRC0597A,Nome não encontrado
Carboidrato total,g,"20,4","10,2","22,5","18,4",BRC0597A,Nome não encontrado
Carboidrato disponível,g,"19,1","9,56","21,0","17,2",BRC0597A,Nome não encontrado
Proteína,g,"2,90","1,45","3,19","2,61",BRC0597A,Nome não encontrado
Lipídios,g,"1,12","0,56","1,24","1,01",BRC0597A,Nome não encontrado
Fibra alimentar,g,"1,30","0,65","1,43","1,17",BRC0597A,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00",BRC0597A,Nome não encontrado
Cinzas,g,"0,28","0,14","0,31","0,25",BRC0597A,Nome não encontrado
Colesterol,mg,"2,14","1,07","2,35","1,92",BRC0597A,Nome não encontrado
Ácidos graxos saturados,g,"0,22","0,11","0,24","0,20",BRC0597A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,23","0,11","0,25","0,20",BRC0597A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,57","0,28","0,62","0,51",BRC0597A,Nome não encontrado
Ácidos graxos trans,g,"0,03","0,02","0,03","0,03",BRC0597A,Nome não encontrado
Cálcio,mg,"10,6","5,29","11,6","9,53",BRC0597A,Nome não encontrado
Ferro,mg,"0,27","0,13","0,29","0,24",BRC0597A,Nome não encontrado
Sódio,mg,"1,81","0,91","1,99","1,63",BRC0597A,Nome não encontrado
Magnésio,mg,"3,51","1,76","3,86","3,16",BRC0597A,Nome não encontrado
Fósforo,mg,"33,0","16,5","36,3","29,7",BRC0597A,Nome não encontrado
Potássio,mg,"70,2","35,1","77,2","63,2",BRC0597A,Nome não encontrado
Manganês,mg,"0,14","0,07","0,15","0,13",BRC0597A,Nome não encontrado
Zinco,mg,"0,29","0,15","0,32","0,26",BRC0597A,Nome não encontrado
Cobre,mg,"0,05","0,02","0,05","0,04",BRC0597A,Nome não encontrado
Selênio,mcg,"1,30","0,65","1,43","1,17",BRC0597A,Nome não encontrado
Vitamina A (RE),mcg,"67,6","33,8","74,4","60,9",BRC0597A,Nome não encontrado
Vitamina A (RAE),mcg,"33,8","16,9","37,2","30,4",BRC0597A,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00",BRC0597A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,43","0,22","0,47","0,39",BRC0597A,Nome não encontrado
Tiamina,mg,"0,04","0,02","0,05","0,04",BRC0597A,Nome não encontrado
Riboflavina,mg,"0,01","0,01","0,02","0,01",BRC0597A,Nome não encontrado
Niacina,mg,"0,97","0,48","1,06","0,87",BRC0597A,Nome não encontrado
Vitamina B6,mg,"0,02","0,01","0,02","0,01",BRC0597A,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00","0,00",BRC0597A,Nome não encontrado
Vitamina C,mg,"17,3","8,64","19,0","15,6",BRC0597A,Nome não encontrado
Equivalente de folato,mcg,"55,5","27,8","61,1","50,0",BRC0597A,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00",BRC0597A,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00",BRC0597A,Nome não encontrado
Gordura de adição,g,-,-,-,-,BRC0597A,Nome não encontrado
Proteína vegetal,g,-,-,-,-,BRC0597A,Nome não encontrado
Proteína animal,g,-,-,-,-,BRC0597A,Nome não encontrado
