componente,unidade,Valor por 100g,Xícara chá (200 mL),codigo_alimento,nome_alimento
Energia,kJ,26,52,BRC0103H,Nome não encontrado
Energia,kcal,6,12,BRC0103H,Nome não encontrado
Umidade,g,"98,4",196,BRC0103H,Nome não encontrado
Carboidrato total,g,"1,17","2,34",BRC0103H,Nome não encontrado
Carboidrato disponível,g,"0,48","0,96",BRC0103H,Nome não encontrado
Proteína,g,"0,17","0,35",BRC0103H,Nome não encontrado
Lipídios,g,"0,26","0,51",BRC0103H,Nome não encontrado
Fibra alimentar,g,"0,69","1,38",BRC0103H,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0103H,Nome não encontrado
Cinzas,g,"0,00","0,01",BRC0103H,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0103H,Nome não encontrado
Ácidos graxos saturados,g,"0,09","0,18",BRC0103H,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,02","0,04",BRC0103H,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,09","0,19",BRC0103H,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00",BRC0103H,Nome não encontrado
Cálcio,mg,"2,17","4,35",BRC0103H,Nome não encontrado
Ferro,mg,"0,07","0,14",BRC0103H,Nome não encontrado
Sódio,mg,"1,24","2,47",BRC0103H,Nome não encontrado
Magnésio,mg,"4,01","8,03",BRC0103H,Nome não encontrado
Fósforo,mg,"2,68","5,35",BRC0103H,Nome não encontrado
Potássio,mg,"33,8","67,5",BRC0103H,Nome não encontrado
Manganês,mg,"0,04","0,07",BRC0103H,Nome não encontrado
Zinco,mg,"0,01","0,02",BRC0103H,Nome não encontrado
Cobre,mg,"0,01","0,03",BRC0103H,Nome não encontrado
Selênio,mcg,,,BRC0103H,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00",BRC0103H,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00",BRC0103H,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0103H,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,00","0,00",BRC0103H,Nome não encontrado
Tiamina,mg,"0,00","0,00",BRC0103H,Nome não encontrado
Riboflavina,mg,"0,00","0,01",BRC0103H,Nome não encontrado
Niacina,mg,"0,17","0,33",BRC0103H,Nome não encontrado
Vitamina B6,mg,traços,,BRC0103H,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0103H,Nome não encontrado
Vitamina C,mg,traços,,BRC0103H,Nome não encontrado
Equivalente de folato,mcg,"0,00","0,00",BRC0103H,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0103H,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0103H,Nome não encontrado
Gordura de adição,g,-,-,BRC0103H,Nome não encontrado
Proteína vegetal,g,-,-,BRC0103H,Nome não encontrado
Proteína animal,g,-,-,BRC0103H,Nome não encontrado
