componente,unidade,Valor por 100g,Pedaço/ Unidade/ Fatia (M) (50 g),codigo_alimento,nome_alimento
Energia,kJ,521,260,BRC0150T,Nome não encontrado
Energia,kcal,123,61,BRC0150T,Nome não encontrado
Umidade,g,"65,8","32,9",BRC0150T,Nome não encontrado
Carboidrato total,g,"18,0","9,00",BRC0150T,Nome não encontrado
Carboidrato disponível,g,"13,9","6,93",BRC0150T,Nome não encontrado
Proteína,g,"13,6","6,78",BRC0150T,Nome não encontrado
Lipídios,g,"0,58","0,29",BRC0150T,Nome não encontrado
Fibra alimentar,g,"4,14","2,07",BRC0150T,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0150T,Nome não encontrado
Cinzas,g,"2,08","1,04",BRC0150T,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0150T,Nome não encontrado
Ácidos graxos saturados,g,"0,08","0,04",BRC0150T,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,12","0,06",BRC0150T,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,30","0,15",BRC0150T,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00",BRC0150T,Nome não encontrado
Cálcio,mg,"41,2","20,6",BRC0150T,Nome não encontrado
Ferro,mg,"2,98","1,49",BRC0150T,Nome não encontrado
Sódio,mg,178,"89,4",BRC0150T,Nome não encontrado
Magnésio,mg,"19,0","9,49",BRC0150T,Nome não encontrado
Fósforo,mg,155,"77,6",BRC0150T,Nome não encontrado
Potássio,mg,"95,2","47,6",BRC0150T,Nome não encontrado
Manganês,mg,"0,05","0,03",BRC0150T,Nome não encontrado
Zinco,mg,"0,92","0,46",BRC0150T,Nome não encontrado
Cobre,mg,"0,02","0,01",BRC0150T,Nome não encontrado
Selênio,mcg,"0,11","0,06",BRC0150T,Nome não encontrado
Vitamina A (RE),mcg,122,"61,3",BRC0150T,Nome não encontrado
Vitamina A (RAE),mcg,"63,3","31,6",BRC0150T,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0150T,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,25","0,12",BRC0150T,Nome não encontrado
Tiamina,mg,"0,17","0,08",BRC0150T,Nome não encontrado
Riboflavina,mg,"0,03","0,01",BRC0150T,Nome não encontrado
Niacina,mg,"0,82","0,41",BRC0150T,Nome não encontrado
Vitamina B6,mg,"0,06","0,03",BRC0150T,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0150T,Nome não encontrado
Vitamina C,mg,"0,73","0,36",BRC0150T,Nome não encontrado
Equivalente de folato,mcg,"39,1","19,6",BRC0150T,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0150T,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0150T,Nome não encontrado
Gordura de adição,g,-,-,BRC0150T,Nome não encontrado
Proteína vegetal,g,-,-,BRC0150T,Nome não encontrado
Proteína animal,g,-,-,BRC0150T,Nome não encontrado
