componente,unidade,Valor por 100g,Colher servir cheia (45 g),codigo_alimento,nome_alimento
Energia,kJ,406,182,BRC0083E,Nome não encontrado
Energia,kcal,97,43,BRC0083E,Nome não encontrado
Umidade,g,"82,0","36,9",BRC0083E,Nome não encontrado
Carboidrato total,g,"3,12","1,40",BRC0083E,Nome não encontrado
Carboidrato disponível,g,"2,79","1,25",BRC0083E,Nome não encontrado
Proteína,g,"7,94","3,57",BRC0083E,Nome não encontrado
Lipídios,g,"5,97","2,69",BRC0083E,Nome não encontrado
Fibra alimentar,g,"0,39","0,17",BRC0083E,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0083E,Nome não encontrado
Cinzas,g,"0,98","0,44",BRC0083E,Nome não encontrado
Colesterol,mg,116,"52,6",BRC0083E,Nome não encontrado
Ácidos graxos saturados,g,"1,64","0,74",BRC0083E,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,90","0,41",BRC0083E,Nome não encontrado
Ácidos graxos poliinsaturados,g,"1,53","0,69",BRC0083E,Nome não encontrado
Ácidos graxos trans,g,,,BRC0083E,Nome não encontrado
Cálcio,mg,"42,7","19,2",BRC0083E,Nome não encontrado
Ferro,mg,"1,42","0,64",BRC0083E,Nome não encontrado
Sódio,mg,"84,8","38,2",BRC0083E,Nome não encontrado
Magnésio,mg,"14,9","6,69",BRC0083E,Nome não encontrado
Fósforo,mg,244,109,BRC0083E,Nome não encontrado
Potássio,mg,139,"62,6",BRC0083E,Nome não encontrado
Manganês,mg,"0,11","0,05",BRC0083E,Nome não encontrado
Zinco,mg,"0,47","0,21",BRC0083E,Nome não encontrado
Cobre,mg,"0,07","0,03",BRC0083E,Nome não encontrado
Selênio,mcg,,,BRC0083E,Nome não encontrado
Vitamina A (RE),mcg,,,BRC0083E,Nome não encontrado
Vitamina A (RAE),mcg,,,BRC0083E,Nome não encontrado
Vitamina D,mcg,,,BRC0083E,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,,,BRC0083E,Nome não encontrado
Tiamina,mg,traços,traços,BRC0083E,Nome não encontrado
Riboflavina,mg,traços,traços,BRC0083E,Nome não encontrado
Niacina,mg,"0,31","0,14",BRC0083E,Nome não encontrado
Vitamina B6,mg,traços,traços,BRC0083E,Nome não encontrado
Vitamina B12,mcg,,,BRC0083E,Nome não encontrado
Vitamina C,mg,"4,07","1,83",BRC0083E,Nome não encontrado
Equivalente de folato,mcg,,,BRC0083E,Nome não encontrado
Sal de adição,g,,,BRC0083E,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0083E,Nome não encontrado
Gordura de adição,g,-,-,BRC0083E,Nome não encontrado
Proteína vegetal,g,-,-,BRC0083E,Nome não encontrado
Proteína animal,g,-,-,BRC0083E,Nome não encontrado
