componente,unidade,Valor por 100g,Colher servir cheia (40 g),codigo_alimento,nome_alimento
Energia,kJ,328,131,BRC0011E,Nome não encontrado
Energia,kcal,78,31,BRC0011E,Nome não encontrado
Umidade,g,"80,7","32,3",BRC0011E,Nome não encontrado
Carboidrato total,g,"0,00","0,00",BRC0011E,Nome não encontrado
Carboidrato disponível,g,"0,00","0,00",BRC0011E,Nome não encontrado
Proteína,g,"15,8","6,33",BRC0011E,Nome não encontrado
Lipídios,g,"1,59","0,64",BRC0011E,Nome não encontrado
Fibra alimentar,g,,,BRC0011E,Nome não encontrado
Álcool,g,,,BRC0011E,Nome não encontrado
Cinzas,g,"1,93","0,77",BRC0011E,Nome não encontrado
Colesterol,mg,"19,9","7,95",BRC0011E,Nome não encontrado
Ácidos graxos saturados,g,"0,30","0,12",BRC0011E,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,36","0,14",BRC0011E,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,43","0,17",BRC0011E,Nome não encontrado
Ácidos graxos trans,g,,,BRC0011E,Nome não encontrado
Cálcio,mg,"16,4","6,57",BRC0011E,Nome não encontrado
Ferro,mg,"42,0","16,8",BRC0011E,Nome não encontrado
Sódio,mg,183,"73,5",BRC0011E,Nome não encontrado
Magnésio,mg,2270,908,BRC0011E,Nome não encontrado
Fósforo,mg,141,"56,8",BRC0011E,Nome não encontrado
Potássio,mg,133,"53,4",BRC0011E,Nome não encontrado
Manganês,mg,"2,27","0,91",BRC0011E,Nome não encontrado
Zinco,mg,"2,99","1,20",BRC0011E,Nome não encontrado
Cobre,mg,"2,88","1,15",BRC0011E,Nome não encontrado
Selênio,mcg,,,BRC0011E,Nome não encontrado
Vitamina A (RE),mcg,,,BRC0011E,Nome não encontrado
Vitamina A (RAE),mcg,"32,3","12,9",BRC0011E,Nome não encontrado
Vitamina D,mcg,,,BRC0011E,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,,,BRC0011E,Nome não encontrado
Tiamina,mg,"0,15","0,06",BRC0011E,Nome não encontrado
Riboflavina,mg,"0,21","0,08",BRC0011E,Nome não encontrado
Niacina,mg,"1,49","0,60",BRC0011E,Nome não encontrado
Vitamina B6,mg,"0,05","0,02",BRC0011E,Nome não encontrado
Vitamina B12,mcg,"12,0","4,78",BRC0011E,Nome não encontrado
Vitamina C,mg,"6,77","2,71",BRC0011E,Nome não encontrado
Equivalente de folato,mcg,"37,9","15,1",BRC0011E,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0011E,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0011E,Nome não encontrado
Gordura de adição,g,"0,00","0,00",BRC0011E,Nome não encontrado
Proteína vegetal,g,"0,00","0,00",BRC0011E,Nome não encontrado
Proteína animal,g,"15,9","6,35",BRC0011E,Nome não encontrado
