componente,unidade,Valor por 100g,Pedaço/ Unidade/ Fatia (M) (80 g),codigo_alimento,nome_alimento
Energia,kJ,1337,1069,BRC0138G,Nome não encontrado
Energia,kcal,322,257,BRC0138G,Nome não encontrado
Umidade,g,"46,4","37,1",BRC0138G,Nome não encontrado
Carboidrato total,g,"1,71","1,37",BRC0138G,Nome não encontrado
Carboidrato disponível,g,"1,71","1,37",BRC0138G,Nome não encontrado
Proteína,g,"23,8","19,1",BRC0138G,Nome não encontrado
Lipídios,g,"24,4","19,5",BRC0138G,Nome não encontrado
Fibra alimentar,g,"0,00","0,00",BRC0138G,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0138G,Nome não encontrado
Cinzas,g,"3,71","2,96",BRC0138G,Nome não encontrado
Colesterol,mg,"79,6","63,7",BRC0138G,Nome não encontrado
Ácidos graxos saturados,g,"14,2","11,4",BRC0138G,Nome não encontrado
Ácidos graxos monoinsaturados,g,"5,95","4,76",BRC0138G,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,50","0,40",BRC0138G,Nome não encontrado
Ácidos graxos trans,g,"0,86","0,69",BRC0138G,Nome não encontrado
Cálcio,mg,774,619,BRC0138G,Nome não encontrado
Ferro,mg,"0,27","0,21",BRC0138G,Nome não encontrado
Sódio,mg,506,405,BRC0138G,Nome não encontrado
Magnésio,mg,"22,8","18,3",BRC0138G,Nome não encontrado
Fósforo,mg,463,370,BRC0138G,Nome não encontrado
Potássio,mg,"68,4","54,8",BRC0138G,Nome não encontrado
Manganês,mg,"0,03","0,02",BRC0138G,Nome não encontrado
Zinco,mg,"3,61","2,89",BRC0138G,Nome não encontrado
Cobre,mg,"0,06","0,05",BRC0138G,Nome não encontrado
Selênio,mcg,"18,2","14,6",BRC0138G,Nome não encontrado
Vitamina A (RE),mcg,112,"90,0",BRC0138G,Nome não encontrado
Vitamina A (RAE),mcg,107,"85,9",BRC0138G,Nome não encontrado
Vitamina D,mcg,"0,04","0,04",BRC0138G,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,21","0,17",BRC0138G,Nome não encontrado
Tiamina,mg,"0,00","0,00",BRC0138G,Nome não encontrado
Riboflavina,mg,"0,20","0,16",BRC0138G,Nome não encontrado
Niacina,mg,"0,00","0,00",BRC0138G,Nome não encontrado
Vitamina B6,mg,"0,00","0,00",BRC0138G,Nome não encontrado
Vitamina B12,mcg,"1,35","1,08",BRC0138G,Nome não encontrado
Vitamina C,mg,"0,00","0,00",BRC0138G,Nome não encontrado
Equivalente de folato,mcg,"0,00","0,00",BRC0138G,Nome não encontrado
Sal de adição,g,,,BRC0138G,Nome não encontrado
Açúcar de adição,g,,,BRC0138G,Nome não encontrado
Gordura de adição,g,-,-,BRC0138G,Nome não encontrado
Proteína vegetal,g,-,-,BRC0138G,Nome não encontrado
Proteína animal,g,-,-,BRC0138G,Nome não encontrado
