componente,unidade,Valor por 100g,Copo americano duplo (240 mL),Copo americano pequeno (165 mL),Xícara chá (200 mL),codigo_alimento,nome_alimento
Energia,kJ,411,986,678,821,BRC0048H,Nome não encontrado
Energia,kcal,98,234,161,195,BRC0048H,Nome não encontrado
Umidade,g,"78,6",188,129,157,BRC0048H,Nome não encontrado
Carboidrato total,g,"14,5","34,8","23,9","29,0",BRC0048H,Nome não encontrado
Carboidrato disponível,g,"13,9","33,3","22,9","27,8",BRC0048H,Nome não encontrado
Proteína,g,"3,04","7,31","5,02","6,09",BRC0048H,Nome não encontrado
Lipídios,g,"3,20","7,68","5,28","6,40",BRC0048H,Nome não encontrado
Fibra alimentar,g,"0,60","1,43","0,98","1,19",BRC0048H,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00",BRC0048H,Nome não encontrado
Cinzas,g,"0,69","1,64","1,13","1,37",BRC0048H,Nome não encontrado
Colesterol,mg,"11,1","26,7","18,4","22,3",BRC0048H,Nome não encontrado
Ácidos graxos saturados,g,"1,96","4,70","3,23","3,92",BRC0048H,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,92","2,21","1,52","1,84",BRC0048H,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,15","0,36","0,24","0,30",BRC0048H,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00","0,00",BRC0048H,Nome não encontrado
Cálcio,mg,100,242,166,201,BRC0048H,Nome não encontrado
Ferro,mg,"0,61","1,45","1,00","1,21",BRC0048H,Nome não encontrado
Sódio,mg,"63,9",153,105,127,BRC0048H,Nome não encontrado
Magnésio,mg,"16,4","39,5","27,1","32,9",BRC0048H,Nome não encontrado
Fósforo,mg,"93,9",225,154,187,BRC0048H,Nome não encontrado
Potássio,mg,169,407,280,339,BRC0048H,Nome não encontrado
Manganês,mg,"0,06","0,13","0,09","0,11",BRC0048H,Nome não encontrado
Zinco,mg,"0,45","1,08","0,74","0,90",BRC0048H,Nome não encontrado
Cobre,mg,"0,07","0,18","0,12","0,15",BRC0048H,Nome não encontrado
Selênio,mcg,"4,60","11,0","7,58","9,19",BRC0048H,Nome não encontrado
Vitamina A (RE),mcg,124,298,204,248,BRC0048H,Nome não encontrado
Vitamina A (RAE),mcg,123,296,203,247,BRC0048H,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00",BRC0048H,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,08","0,20","0,14","0,16",BRC0048H,Nome não encontrado
Tiamina,mg,"0,17","0,41","0,28","0,34",BRC0048H,Nome não encontrado
Riboflavina,mg,"0,31","0,74","0,51","0,62",BRC0048H,Nome não encontrado
Niacina,mg,"1,80","4,32","2,97","3,60",BRC0048H,Nome não encontrado
Vitamina B6,mg,"0,15","0,37","0,25","0,31",BRC0048H,Nome não encontrado
Vitamina B12,mcg,"0,32","0,77","0,53","0,64",BRC0048H,Nome não encontrado
Vitamina C,mg,"0,00","0,00","0,00","0,00",BRC0048H,Nome não encontrado
Equivalente de folato,mcg,"5,27","12,6","8,69","10,5",BRC0048H,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00",BRC0048H,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00",BRC0048H,Nome não encontrado
Gordura de adição,g,-,-,-,-,BRC0048H,Nome não encontrado
Proteína vegetal,g,-,-,-,-,BRC0048H,Nome não encontrado
Proteína animal,g,-,-,-,-,BRC0048H,Nome não encontrado
