componente,unidade,Valor por 100g,Colher sopa cheia (25 g),Concha cheia (100 g),codigo_alimento,nome_alimento
Energia,kJ,686,171,686,BRC0938F,Nome não encontrado
Energia,kcal,165,41,165,BRC0938F,Nome não encontrado
Umidade,g,"71,0","17,8","71,0",BRC0938F,Nome não encontrado
Carboidrato total,g,"3,89","0,97","3,89",BRC0938F,Nome não encontrado
Carboidrato disponível,g,"2,87","0,72","2,87",BRC0938F,Nome não encontrado
Proteína,g,"11,9","2,98","11,9",BRC0938F,Nome não encontrado
Lipídios,g,"11,6","2,89","11,6",BRC0938F,Nome não encontrado
Fibra alimentar,g,"1,02","0,26","1,02",BRC0938F,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0938F,Nome não encontrado
Cinzas,g,"1,62","0,40","1,62",BRC0938F,Nome não encontrado
Colesterol,mg,"56,2","14,1","56,2",BRC0938F,Nome não encontrado
Ácidos graxos saturados,g,"4,87","1,22","4,87",BRC0938F,Nome não encontrado
Ácidos graxos monoinsaturados,g,"3,39","0,85","3,39",BRC0938F,Nome não encontrado
Ácidos graxos poliinsaturados,g,"1,27","0,32","1,27",BRC0938F,Nome não encontrado
Ácidos graxos trans,g,"0,24","0,06","0,24",BRC0938F,Nome não encontrado
Cálcio,mg,"31,8","7,95","31,8",BRC0938F,Nome não encontrado
Ferro,mg,"1,26","0,31","1,26",BRC0938F,Nome não encontrado
Sódio,mg,382,"95,7",382,BRC0938F,Nome não encontrado
Magnésio,mg,"17,3","4,32","17,3",BRC0938F,Nome não encontrado
Fósforo,mg,110,"27,5",110,BRC0938F,Nome não encontrado
Potássio,mg,227,"56,9",227,BRC0938F,Nome não encontrado
Manganês,mg,"1,13","0,28","1,13",BRC0938F,Nome não encontrado
Zinco,mg,"3,46","0,86","3,46",BRC0938F,Nome não encontrado
Cobre,mg,"0,09","0,02","0,09",BRC0938F,Nome não encontrado
Selênio,mcg,"3,20","0,80","3,20",BRC0938F,Nome não encontrado
Vitamina A (RE),mcg,"45,9","11,5","45,9",BRC0938F,Nome não encontrado
Vitamina A (RAE),mcg,"38,1","9,54","38,1",BRC0938F,Nome não encontrado
Vitamina D,mcg,"0,28","0,07","0,28",BRC0938F,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,51","0,13","0,51",BRC0938F,Nome não encontrado
Tiamina,mg,"0,03","0,01","0,03",BRC0938F,Nome não encontrado
Riboflavina,mg,"0,16","0,04","0,16",BRC0938F,Nome não encontrado
Niacina,mg,"0,73","0,18","0,73",BRC0938F,Nome não encontrado
Vitamina B6,mg,traços,traços,traços,BRC0938F,Nome não encontrado
Vitamina B12,mcg,"1,14","0,28","1,14",BRC0938F,Nome não encontrado
Vitamina C,mg,"3,85","0,96","3,85",BRC0938F,Nome não encontrado
Equivalente de folato,mcg,"12,1","3,03","12,1",BRC0938F,Nome não encontrado
Sal de adição,g,,,,BRC0938F,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0938F,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0938F,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0938F,Nome não encontrado
Proteína animal,g,-,-,-,BRC0938F,Nome não encontrado
