componente,unidade,Valor por 100g,Copo americano duplo (240 mL),Copo americano pequeno (165 mL),codigo_alimento,nome_alimento
Energia,kJ,1349,3237,2225,BRC0030G,Nome não encontrado
Energia,kcal,319,765,526,BRC0030G,Nome não encontrado
Umidade,g,"27,0","64,7","44,5",BRC0030G,Nome não encontrado
Carboidrato total,g,"57,0",136,"94,0",BRC0030G,Nome não encontrado
Carboidrato disponível,g,"57,0",136,"94,0",BRC0030G,Nome não encontrado
Proteína,g,"7,67","18,4","12,7",BRC0030G,Nome não encontrado
Lipídios,g,"6,74","16,2","11,1",BRC0030G,Nome não encontrado
Fibra alimentar,g,"0,00","0,00","0,00",BRC0030G,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0030G,Nome não encontrado
Cinzas,g,"1,63","3,92","2,69",BRC0030G,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00",BRC0030G,Nome não encontrado
Ácidos graxos saturados,g,"4,20","10,1","6,93",BRC0030G,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,70","4,08","2,81",BRC0030G,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,20","0,48","0,33",BRC0030G,Nome não encontrado
Ácidos graxos trans,g,"0,23","0,55","0,38",BRC0030G,Nome não encontrado
Cálcio,mg,246,591,406,BRC0030G,Nome não encontrado
Ferro,mg,"0,13","0,30","0,21",BRC0030G,Nome não encontrado
Sódio,mg,"93,8",225,154,BRC0030G,Nome não encontrado
Magnésio,mg,"22,0","52,7","36,3",BRC0030G,Nome não encontrado
Fósforo,mg,187,449,308,BRC0030G,Nome não encontrado
Potássio,mg,328,789,542,BRC0030G,Nome não encontrado
Manganês,mg,traços,traços,traços,BRC0030G,Nome não encontrado
Zinco,mg,"0,86","2,06","1,42",BRC0030G,Nome não encontrado
Cobre,mg,"0,03","0,08","0,05",BRC0030G,Nome não encontrado
Selênio,mcg,"14,8","35,6","24,5",BRC0030G,Nome não encontrado
Vitamina A (RE),mcg,"54,8",131,"90,4",BRC0030G,Nome não encontrado
Vitamina A (RAE),mcg,"53,9",129,"88,9",BRC0030G,Nome não encontrado
Vitamina D,mcg,"0,16","0,37","0,26",BRC0030G,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,12","0,30","0,20",BRC0030G,Nome não encontrado
Tiamina,mg,"0,06","0,14","0,10",BRC0030G,Nome não encontrado
Riboflavina,mg,"0,33","0,79","0,54",BRC0030G,Nome não encontrado
Niacina,mg,traços,traços,traços,BRC0030G,Nome não encontrado
Vitamina B6,mg,"0,57","1,38","0,95",BRC0030G,Nome não encontrado
Vitamina B12,mcg,"0,44","1,06","0,73",BRC0030G,Nome não encontrado
Vitamina C,mg,"2,14","5,14","3,54",BRC0030G,Nome não encontrado
Equivalente de folato,mcg,"11,0","26,5","18,2",BRC0030G,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0030G,Nome não encontrado
Açúcar de adição,g,,,,BRC0030G,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00",BRC0030G,Nome não encontrado
Proteína vegetal,g,"0,00","0,00","0,00",BRC0030G,Nome não encontrado
Proteína animal,g,"7,67","18,4","12,7",BRC0030G,Nome não encontrado
