componente,unidade,Valor por 100g,Porção Média (80 g),codigo_alimento,nome_alimento
Energia,kJ,606,485,BRC0849B,Nome não encontrado
Energia,kcal,145,116,BRC0849B,Nome não encontrado
Umidade,g,"71,5","57,2",BRC0849B,Nome não encontrado
Carboidrato total,g,"9,80","7,84",BRC0849B,Nome não encontrado
Carboidrato disponível,g,"8,77","7,02",BRC0849B,Nome não encontrado
Proteína,g,"9,15","7,32",BRC0849B,Nome não encontrado
Lipídios,g,"7,92","6,33",BRC0849B,Nome não encontrado
Fibra alimentar,g,"1,03","0,82",BRC0849B,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0849B,Nome não encontrado
Cinzas,g,"1,65","1,32",BRC0849B,Nome não encontrado
Colesterol,mg,"33,0","26,4",BRC0849B,Nome não encontrado
Ácidos graxos saturados,g,"3,49","2,79",BRC0849B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"2,34","1,87",BRC0849B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"1,49","1,19",BRC0849B,Nome não encontrado
Ácidos graxos trans,g,"0,18","0,14",BRC0849B,Nome não encontrado
Cálcio,mg,"64,8","51,9",BRC0849B,Nome não encontrado
Ferro,mg,"0,84","0,67",BRC0849B,Nome não encontrado
Sódio,mg,384,307,BRC0849B,Nome não encontrado
Magnésio,mg,"11,2","8,97",BRC0849B,Nome não encontrado
Fósforo,mg,112,"90,3",BRC0849B,Nome não encontrado
Potássio,mg,233,186,BRC0849B,Nome não encontrado
Manganês,mg,"0,07","0,06",BRC0849B,Nome não encontrado
Zinco,mg,"2,27","1,82",BRC0849B,Nome não encontrado
Cobre,mg,"0,08","0,06",BRC0849B,Nome não encontrado
Selênio,mcg,"2,76","2,21",BRC0849B,Nome não encontrado
Vitamina A (RE),mcg,"31,1","24,9",BRC0849B,Nome não encontrado
Vitamina A (RAE),mcg,"30,9","24,7",BRC0849B,Nome não encontrado
Vitamina D,mcg,"0,09","0,07",BRC0849B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,42","0,33",BRC0849B,Nome não encontrado
Tiamina,mg,"0,07","0,05",BRC0849B,Nome não encontrado
Riboflavina,mg,"0,10","0,08",BRC0849B,Nome não encontrado
Niacina,mg,"1,09","0,87",BRC0849B,Nome não encontrado
Vitamina B6,mg,"0,08","0,06",BRC0849B,Nome não encontrado
Vitamina B12,mcg,"0,93","0,74",BRC0849B,Nome não encontrado
Vitamina C,mg,"4,22","3,37",BRC0849B,Nome não encontrado
Equivalente de folato,mcg,"7,20","5,76",BRC0849B,Nome não encontrado
Sal de adição,g,"0,47","0,38",BRC0849B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0849B,Nome não encontrado
Gordura de adição,g,-,-,BRC0849B,Nome não encontrado
Proteína vegetal,g,-,-,BRC0849B,Nome não encontrado
Proteína animal,g,-,-,BRC0849B,Nome não encontrado
