componente,unidade,Valor por 100g,Colher servir cheia (62 g),Colher servir rasa (35 g),Colher sopa cheia (35 g),Colher sopa rasa (22 g),Escumadeira cheia (110 g),Escumadeira rasa (72 g),codigo_alimento,nome_alimento
Energia,kJ,393,243,137,137,86,432,282,BRC0346B,Nome não encontrado
Energia,kcal,93,57,32,32,20,101,66,BRC0346B,Nome não encontrado
Umidade,g,"75,2","46,6","26,3","26,3","16,5","82,7","54,1",BRC0346B,Nome não encontrado
Carboidrato total,g,"21,3","13,2","7,45","7,45","4,68","23,4","15,3",BRC0346B,Nome não encontrado
Carboidrato disponível,g,"19,6","12,2","6,87","6,87","4,32","21,6","14,1",BRC0346B,Nome não encontrado
Proteína,g,"2,39","1,48","0,83","0,83","0,52","2,62","1,72",BRC0346B,Nome não encontrado
Lipídios,g,"0,15","0,09","0,05","0,05","0,03","0,16","0,11",BRC0346B,Nome não encontrado
Fibra alimentar,g,"1,67","1,03","0,58","0,58","0,37","1,83","1,20",BRC0346B,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0346B,Nome não encontrado
Cinzas,g,"1,02","0,63","0,36","0,36","0,22","1,12","0,73",BRC0346B,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0346B,Nome não encontrado
Ácidos graxos saturados,g,"0,05","0,03","0,02","0,02","0,01","0,06","0,04",BRC0346B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0346B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,06","0,03","0,02","0,02","0,01","0,06","0,04",BRC0346B,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0346B,Nome não encontrado
Cálcio,mg,"16,3","10,1","5,71","5,71","3,59","17,9","11,7",BRC0346B,Nome não encontrado
Ferro,mg,"0,03","0,02","0,01","0,01","0,01","0,04","0,02",BRC0346B,Nome não encontrado
Sódio,mg,traços,traços,traços,traços,traços,traços,traços,BRC0346B,Nome não encontrado
Magnésio,mg,"29,6","18,4","10,4","10,4","6,52","32,6","21,3",BRC0346B,Nome não encontrado
Fósforo,mg,"68,3","42,3","23,9","23,9","15,0","75,1","49,2",BRC0346B,Nome não encontrado
Potássio,mg,535,332,187,187,117,589,385,BRC0346B,Nome não encontrado
Manganês,mg,"0,14","0,09","0,05","0,05","0,03","0,16","0,10",BRC0346B,Nome não encontrado
Zinco,mg,"0,50","0,31","0,17","0,17","0,11","0,55","0,36",BRC0346B,Nome não encontrado
Cobre,mg,"0,16","0,10","0,06","0,06","0,03","0,17","0,11",BRC0346B,Nome não encontrado
Selênio,mcg,"0,95","0,59","0,33","0,33","0,21","1,04","0,68",BRC0346B,Nome não encontrado
Vitamina A (RE),mcg,"4,96","3,08","1,74","1,74","1,09","5,46","3,57",BRC0346B,Nome não encontrado
Vitamina A (RAE),mcg,"2,48","1,54","0,87","0,87","0,55","2,73","1,79",BRC0346B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0346B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"1,75","1,08","0,61","0,61","0,38","1,92","1,26",BRC0346B,Nome não encontrado
Tiamina,mg,"0,07","0,04","0,02","0,02","0,01","0,07","0,05",BRC0346B,Nome não encontrado
Riboflavina,mg,traços,traços,traços,traços,traços,traços,traços,BRC0346B,Nome não encontrado
Niacina,mg,traços,traços,traços,traços,traços,traços,traços,BRC0346B,Nome não encontrado
Vitamina B6,mg,"0,09","0,06","0,03","0,03","0,02","0,10","0,06",BRC0346B,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0346B,Nome não encontrado
Vitamina C,mg,"4,45","2,76","1,56","1,56","0,98","4,90","3,21",BRC0346B,Nome não encontrado
Equivalente de folato,mcg,"13,1","8,09","4,57","4,57","2,87","14,4","9,40",BRC0346B,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0346B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0346B,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0346B,Nome não encontrado
Proteína vegetal,g,"2,39","1,48","0,83","0,83","0,52","2,62","1,72",BRC0346B,Nome não encontrado
Proteína animal,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0346B,Nome não encontrado
