componente,unidade,Valor por 100g,Concha cheia (110 g),codigo_alimento,nome_alimento
Energia,kJ,299,328,BRC0383E,Nome não encontrado
Energia,kcal,70,77,BRC0383E,Nome não encontrado
Umidade,g,"82,7","91,0",BRC0383E,Nome não encontrado
Carboidrato total,g,"2,02","2,22",BRC0383E,Nome não encontrado
Carboidrato disponível,g,"1,57","1,73",BRC0383E,Nome não encontrado
Proteína,g,"12,6","13,9",BRC0383E,Nome não encontrado
Lipídios,g,"1,49","1,64",BRC0383E,Nome não encontrado
Fibra alimentar,g,"0,46","0,51",BRC0383E,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0383E,Nome não encontrado
Cinzas,g,"1,23","1,35",BRC0383E,Nome não encontrado
Colesterol,mg,"42,6","46,9",BRC0383E,Nome não encontrado
Ácidos graxos saturados,g,"0,28","0,31",BRC0383E,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,33","0,36",BRC0383E,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,72","0,79",BRC0383E,Nome não encontrado
Ácidos graxos trans,g,traços,traços,BRC0383E,Nome não encontrado
Cálcio,mg,"11,7","12,9",BRC0383E,Nome não encontrado
Ferro,mg,"0,33","0,36",BRC0383E,Nome não encontrado
Sódio,mg,258,283,BRC0383E,Nome não encontrado
Magnésio,mg,"13,9","15,3",BRC0383E,Nome não encontrado
Fósforo,mg,114,125,BRC0383E,Nome não encontrado
Potássio,mg,177,194,BRC0383E,Nome não encontrado
Manganês,mg,"0,07","0,08",BRC0383E,Nome não encontrado
Zinco,mg,"0,37","0,41",BRC0383E,Nome não encontrado
Cobre,mg,"0,04","0,04",BRC0383E,Nome não encontrado
Selênio,mcg,"17,0","18,7",BRC0383E,Nome não encontrado
Vitamina A (RE),mcg,"26,7","29,4",BRC0383E,Nome não encontrado
Vitamina A (RAE),mcg,"24,4","26,8",BRC0383E,Nome não encontrado
Vitamina D,mcg,"0,20","0,22",BRC0383E,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,49","0,54",BRC0383E,Nome não encontrado
Tiamina,mg,traços,traços,BRC0383E,Nome não encontrado
Riboflavina,mg,"0,02","0,02",BRC0383E,Nome não encontrado
Niacina,mg,"4,98","5,48",BRC0383E,Nome não encontrado
Vitamina B6,mg,"0,03","0,03",BRC0383E,Nome não encontrado
Vitamina B12,mcg,"0,58","0,64",BRC0383E,Nome não encontrado
Vitamina C,mg,"6,71","7,38",BRC0383E,Nome não encontrado
Equivalente de folato,mcg,"5,14","5,65",BRC0383E,Nome não encontrado
Sal de adição,g,"0,45","0,50",BRC0383E,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0383E,Nome não encontrado
Gordura de adição,g,"0,96","1,06",BRC0383E,Nome não encontrado
Proteína vegetal,g,"0,38","0,42",BRC0383E,Nome não encontrado
Proteína animal,g,"12,2","13,4",BRC0383E,Nome não encontrado
