componente,unidade,Valor por 100g,Copo americano duplo (240 ml),Copo americano pequeno (165 ml),codigo_alimento,nome_alimento
Energia,kJ,149,357,245,BRC0240T,Nome não encontrado
Energia,kcal,36,86,59,BRC0240T,Nome não encontrado
Umidade,g,"89,0",213,146,BRC0240T,Nome não encontrado
Carboidrato total,g,"4,00","9,60","6,60",BRC0240T,Nome não encontrado
Carboidrato disponível,g,"0,00","0,00","0,00",BRC0240T,Nome não encontrado
Proteína,g,"3,00","7,20","4,95",BRC0240T,Nome não encontrado
Lipídios,g,"1,00","2,40","1,65",BRC0240T,Nome não encontrado
Fibra alimentar,g,"4,00","9,60","6,60",BRC0240T,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0240T,Nome não encontrado
Cinzas,g,"0,00","0,00","0,00",BRC0240T,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00",BRC0240T,Nome não encontrado
Ácidos graxos saturados,g,"0,00","0,00","0,00",BRC0240T,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,00","0,00","0,00",BRC0240T,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,00","0,00","0,00",BRC0240T,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00",BRC0240T,Nome não encontrado
Cálcio,mg,"5,00","12,0","8,25",BRC0240T,Nome não encontrado
Ferro,mg,"0,00","0,00","0,00",BRC0240T,Nome não encontrado
Sódio,mg,"1,00","2,40","1,65",BRC0240T,Nome não encontrado
Magnésio,mg,"1,00","2,40","1,65",BRC0240T,Nome não encontrado
Fósforo,mg,"13,0","31,2","21,5",BRC0240T,Nome não encontrado
Potássio,mg,"1,00","2,40","1,65",BRC0240T,Nome não encontrado
Manganês,mg,,,,BRC0240T,Nome não encontrado
Zinco,mg,"0,00","0,00","0,00",BRC0240T,Nome não encontrado
Cobre,mg,"0,00","0,00","0,00",BRC0240T,Nome não encontrado
Selênio,mcg,,,,BRC0240T,Nome não encontrado
Vitamina A (RE),mcg,,,,BRC0240T,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00","0,00",BRC0240T,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0240T,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,00","0,00","0,00",BRC0240T,Nome não encontrado
Tiamina,mg,traços,traços,traços,BRC0240T,Nome não encontrado
Riboflavina,mg,traços,traços,traços,BRC0240T,Nome não encontrado
Niacina,mg,traços,traços,traços,BRC0240T,Nome não encontrado
Vitamina B6,mg,traços,traços,traços,BRC0240T,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC0240T,Nome não encontrado
Vitamina C,mg,traços,traços,traços,BRC0240T,Nome não encontrado
Equivalente de folato,mcg,"21,0","50,4","34,7",BRC0240T,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0240T,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0240T,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00",BRC0240T,Nome não encontrado
Proteína vegetal,g,"3,00","7,20","4,95",BRC0240T,Nome não encontrado
Proteína animal,g,"0,00","0,00","0,00",BRC0240T,Nome não encontrado
