componente,unidade,Valor por 100g,Concha rasa (80 g),codigo_alimento,nome_alimento
Energia,kJ,1240,991,BRC0183T,Nome não encontrado
Energia,kcal,295,235,BRC0183T,Nome não encontrado
Umidade,g,"13,3","10,6",BRC0183T,Nome não encontrado
Carboidrato total,g,"59,1","47,3",BRC0183T,Nome não encontrado
Carboidrato disponível,g,"37,6","30,1",BRC0183T,Nome não encontrado
Proteína,g,"22,4","17,9",BRC0183T,Nome não encontrado
Lipídios,g,"1,28","1,02",BRC0183T,Nome não encontrado
Fibra alimentar,g,"21,5","17,2",BRC0183T,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0183T,Nome não encontrado
Cinzas,g,"3,93","3,14",BRC0183T,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0183T,Nome não encontrado
Ácidos graxos saturados,g,"0,21","0,16",BRC0183T,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,10","0,08",BRC0183T,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,83","0,66",BRC0183T,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00",BRC0183T,Nome não encontrado
Cálcio,mg,122,"98,0",BRC0183T,Nome não encontrado
Ferro,mg,"9,83","7,86",BRC0183T,Nome não encontrado
Sódio,mg,traços,traços,BRC0183T,Nome não encontrado
Magnésio,mg,141,113,BRC0183T,Nome não encontrado
Fósforo,mg,479,383,BRC0183T,Nome não encontrado
Potássio,mg,1441,1153,BRC0183T,Nome não encontrado
Manganês,mg,"1,35","1,08",BRC0183T,Nome não encontrado
Zinco,mg,"3,37","2,70",BRC0183T,Nome não encontrado
Cobre,mg,"0,94","0,75",BRC0183T,Nome não encontrado
Selênio,mcg,"11,9","9,52",BRC0183T,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00",BRC0183T,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00",BRC0183T,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0183T,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,19","0,15",BRC0183T,Nome não encontrado
Tiamina,mg,"0,12","0,09",BRC0183T,Nome não encontrado
Riboflavina,mg,traços,traços,BRC0183T,Nome não encontrado
Niacina,mg,"4,69","3,75",BRC0183T,Nome não encontrado
Vitamina B6,mg,"0,60","0,48",BRC0183T,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0183T,Nome não encontrado
Vitamina C,mg,"0,00","0,00",BRC0183T,Nome não encontrado
Equivalente de folato,mcg,432,346,BRC0183T,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0183T,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0183T,Nome não encontrado
Gordura de adição,g,"0,00","0,00",BRC0183T,Nome não encontrado
Proteína vegetal,g,"22,4","17,9",BRC0183T,Nome não encontrado
Proteína animal,g,"0,00","0,00",BRC0183T,Nome não encontrado
