componente,unidade,Valor por 100g,Colher sopa rasa (13 g),codigo_alimento,nome_alimento
Energia,kJ,1633,212,BRC0021N,Nome não encontrado
Energia,kcal,397,51,BRC0021N,Nome não encontrado
Umidade,g,"49,8","6,48",BRC0021N,Nome não encontrado
Carboidrato total,g,"4,88","0,63",BRC0021N,Nome não encontrado
Carboidrato disponível,g,"3,48","0,45",BRC0021N,Nome não encontrado
Proteína,g,"1,14","0,15",BRC0021N,Nome não encontrado
Lipídios,g,"41,7","5,42",BRC0021N,Nome não encontrado
Fibra alimentar,g,"1,40","0,18",BRC0021N,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0021N,Nome não encontrado
Cinzas,g,"2,44","0,32",BRC0021N,Nome não encontrado
Colesterol,mg,"91,0","11,8",BRC0021N,Nome não encontrado
Ácidos graxos saturados,g,"18,9","2,45",BRC0021N,Nome não encontrado
Ácidos graxos monoinsaturados,g,"12,0","1,56",BRC0021N,Nome não encontrado
Ácidos graxos poliinsaturados,g,"8,16","1,06",BRC0021N,Nome não encontrado
Ácidos graxos trans,g,,,BRC0021N,Nome não encontrado
Cálcio,mg,312,"40,7",BRC0021N,Nome não encontrado
Ferro,mg,"0,36","0,05",BRC0021N,Nome não encontrado
Sódio,mg,1408,183,BRC0021N,Nome não encontrado
Magnésio,mg,"15,3","1,99",BRC0021N,Nome não encontrado
Fósforo,mg,267,"34,7",BRC0021N,Nome não encontrado
Potássio,mg,"51,0","6,63",BRC0021N,Nome não encontrado
Manganês,mg,,,BRC0021N,Nome não encontrado
Zinco,mg,"1,67","0,22",BRC0021N,Nome não encontrado
Cobre,mg,,,BRC0021N,Nome não encontrado
Selênio,mcg,,,BRC0021N,Nome não encontrado
Vitamina A (RE),mcg,,,BRC0021N,Nome não encontrado
Vitamina A (RAE),mcg,251,"32,6",BRC0021N,Nome não encontrado
Vitamina D,mcg,,,BRC0021N,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,,,BRC0021N,Nome não encontrado
Tiamina,mg,"0,01","0,00",BRC0021N,Nome não encontrado
Riboflavina,mg,"0,19","0,03",BRC0021N,Nome não encontrado
Niacina,mg,"0,04","0,01",BRC0021N,Nome não encontrado
Vitamina B6,mg,"0,03","0,00",BRC0021N,Nome não encontrado
Vitamina B12,mcg,"0,24","0,03",BRC0021N,Nome não encontrado
Vitamina C,mg,"0,68","0,09",BRC0021N,Nome não encontrado
Equivalente de folato,mcg,"6,80","0,88",BRC0021N,Nome não encontrado
Sal de adição,g,,,BRC0021N,Nome não encontrado
Açúcar de adição,g,,,BRC0021N,Nome não encontrado
Gordura de adição,g,,,BRC0021N,Nome não encontrado
Proteína vegetal,g,,,BRC0021N,Nome não encontrado
Proteína animal,g,,,BRC0021N,Nome não encontrado
