componente,unidade,Valor por 100g,Colher servir cheia (40 g),Colher sopa cheia (20 g),codigo_alimento,nome_alimento
Energia,kJ,392,156,78,BRC0344E,Nome não encontrado
Energia,kcal,93,37,18,BRC0344E,Nome não encontrado
Umidade,g,"79,0","31,6","15,8",BRC0344E,Nome não encontrado
Carboidrato total,g,"0,75","0,30","0,15",BRC0344E,Nome não encontrado
Carboidrato disponível,g,"0,61","0,24","0,12",BRC0344E,Nome não encontrado
Proteína,g,"17,1","6,85","3,43",BRC0344E,Nome não encontrado
Lipídios,g,"2,42","0,97","0,48",BRC0344E,Nome não encontrado
Fibra alimentar,g,"0,14","0,05","0,03",BRC0344E,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0344E,Nome não encontrado
Cinzas,g,"1,46","0,58","0,29",BRC0344E,Nome não encontrado
Colesterol,mg,291,116,"58,3",BRC0344E,Nome não encontrado
Ácidos graxos saturados,g,"0,67","0,27","0,13",BRC0344E,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,52","0,21","0,10",BRC0344E,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,96","0,39","0,19",BRC0344E,Nome não encontrado
Ácidos graxos trans,g,"0,02","0,01","0,00",BRC0344E,Nome não encontrado
Cálcio,mg,"80,3","32,1","16,1",BRC0344E,Nome não encontrado
Ferro,mg,"2,15","0,86","0,43",BRC0344E,Nome não encontrado
Sódio,mg,324,129,"64,9",BRC0344E,Nome não encontrado
Magnésio,mg,"17,6","7,03","3,51",BRC0344E,Nome não encontrado
Fósforo,mg,239,"95,6","47,8",BRC0344E,Nome não encontrado
Potássio,mg,105,"42,1","21,1",BRC0344E,Nome não encontrado
Manganês,mg,"0,06","0,02","0,01",BRC0344E,Nome não encontrado
Zinco,mg,"1,11","0,45","0,22",BRC0344E,Nome não encontrado
Cobre,mg,"0,16","0,06","0,03",BRC0344E,Nome não encontrado
Selênio,mcg,"41,9","16,8","8,38",BRC0344E,Nome não encontrado
Vitamina A (RE),mcg,traços,traços,traços,BRC0344E,Nome não encontrado
Vitamina A (RAE),mcg,traços,traços,traços,BRC0344E,Nome não encontrado
Vitamina D,mcg,"0,07","0,03","0,01",BRC0344E,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"1,49","0,60","0,30",BRC0344E,Nome não encontrado
Tiamina,mg,traços,traços,traços,BRC0344E,Nome não encontrado
Riboflavina,mg,traços,traços,traços,BRC0344E,Nome não encontrado
Niacina,mg,"0,94","0,38","0,19",BRC0344E,Nome não encontrado
Vitamina B6,mg,"0,01","0,00","0,00",BRC0344E,Nome não encontrado
Vitamina B12,mcg,"1,46","0,58","0,29",BRC0344E,Nome não encontrado
Vitamina C,mg,"0,45","0,18","0,09",BRC0344E,Nome não encontrado
Equivalente de folato,mcg,"16,6","6,64","3,32",BRC0344E,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0344E,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0344E,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0344E,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0344E,Nome não encontrado
Proteína animal,g,-,-,-,BRC0344E,Nome não encontrado
