componente,unidade,Valor por 100g,Colher sopa rasa (10 g),codigo_alimento,nome_alimento
Energia,kJ,757,75,BRC0006L,Nome não encontrado
Energia,kcal,178,17,BRC0006L,Nome não encontrado
Umidade,g,"7,08","0,71",BRC0006L,Nome não encontrado
Carboidrato total,g,"43,9","4,39",BRC0006L,Nome não encontrado
Carboidrato disponível,g,"43,9","4,39",BRC0006L,Nome não encontrado
Proteína,g,"0,48","0,05",BRC0006L,Nome não encontrado
Lipídios,g,"0,07","0,01",BRC0006L,Nome não encontrado
Fibra alimentar,g,"0,00","0,00",BRC0006L,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0006L,Nome não encontrado
Cinzas,g,"48,5","4,85",BRC0006L,Nome não encontrado
Colesterol,mg,,,BRC0006L,Nome não encontrado
Ácidos graxos saturados,g,"0,01","0,00",BRC0006L,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,00","0,00",BRC0006L,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,02","0,00",BRC0006L,Nome não encontrado
Ácidos graxos trans,g,,,BRC0006L,Nome não encontrado
Cálcio,mg,4291,429,BRC0006L,Nome não encontrado
Ferro,mg,"8,09","0,81",BRC0006L,Nome não encontrado
Sódio,mg,10052,1005,BRC0006L,Nome não encontrado
Magnésio,mg,"28,7","2,87",BRC0006L,Nome não encontrado
Fósforo,mg,6804,680,BRC0006L,Nome não encontrado
Potássio,mg,10005,1000,BRC0006L,Nome não encontrado
Manganês,mg,,,BRC0006L,Nome não encontrado
Zinco,mg,"0,71","0,07",BRC0006L,Nome não encontrado
Cobre,mg,,,BRC0006L,Nome não encontrado
Selênio,mcg,,,BRC0006L,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00",BRC0006L,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00",BRC0006L,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0006L,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,00","0,00",BRC0006L,Nome não encontrado
Tiamina,mg,"0,00","0,00",BRC0006L,Nome não encontrado
Riboflavina,mg,"0,00","0,00",BRC0006L,Nome não encontrado
Niacina,mg,"0,00","0,00",BRC0006L,Nome não encontrado
Vitamina B6,mg,"0,00","0,00",BRC0006L,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0006L,Nome não encontrado
Vitamina C,mg,"0,00","0,00",BRC0006L,Nome não encontrado
Equivalente de folato,mcg,"0,00","0,00",BRC0006L,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0006L,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0006L,Nome não encontrado
Gordura de adição,g,"0,00","0,00",BRC0006L,Nome não encontrado
Proteína vegetal,g,"0,48","0,05",BRC0006L,Nome não encontrado
Proteína animal,g,"0,00","0,00",BRC0006L,Nome não encontrado
