componente,unidade,Valor por 100g,Copo americano duplo (240 mL),Copo americano pequeno (165 mL),codigo_alimento,nome_alimento
Energia,kJ,192,459,315,BRC0155C,Nome não encontrado
Energia,kcal,45,108,74,BRC0155C,Nome não encontrado
Umidade,g,"87,2",209,143,BRC0155C,Nome não encontrado
Carboidrato total,g,"10,9","26,2","18,0",BRC0155C,Nome não encontrado
Carboidrato disponível,g,"8,53","20,5","14,1",BRC0155C,Nome não encontrado
Proteína,g,"1,18","2,83","1,94",BRC0155C,Nome não encontrado
Lipídios,g,"0,20","0,48","0,33",BRC0155C,Nome não encontrado
Fibra alimentar,g,"2,38","5,70","3,92",BRC0155C,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0155C,Nome não encontrado
Cinzas,g,"0,53","1,27","0,87",BRC0155C,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00",BRC0155C,Nome não encontrado
Ácidos graxos saturados,g,traços,traços,traços,BRC0155C,Nome não encontrado
Ácidos graxos monoinsaturados,g,traços,traços,traços,BRC0155C,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,01","0,02","0,01",BRC0155C,Nome não encontrado
Ácidos graxos trans,g,traços,traços,traços,BRC0155C,Nome não encontrado
Cálcio,mg,"25,8","62,0","42,6",BRC0155C,Nome não encontrado
Ferro,mg,"0,17","0,41","0,28",BRC0155C,Nome não encontrado
Sódio,mg,"2,95","7,08","4,87",BRC0155C,Nome não encontrado
Magnésio,mg,"13,7","33,0","22,7",BRC0155C,Nome não encontrado
Fósforo,mg,"20,0","47,9","32,9",BRC0155C,Nome não encontrado
Potássio,mg,216,518,356,BRC0155C,Nome não encontrado
Manganês,mg,"0,36","0,86","0,59",BRC0155C,Nome não encontrado
Zinco,mg,"0,22","0,53","0,36",BRC0155C,Nome não encontrado
Cobre,mg,"0,05","0,11","0,08",BRC0155C,Nome não encontrado
Selênio,mcg,"0,27","0,66","0,45",BRC0155C,Nome não encontrado
Vitamina A (RE),mcg,"2,64","6,35","4,36",BRC0155C,Nome não encontrado
Vitamina A (RAE),mcg,"1,32","3,17","2,18",BRC0155C,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0155C,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,27","0,65","0,45",BRC0155C,Nome não encontrado
Tiamina,mg,"0,06","0,15","0,11",BRC0155C,Nome não encontrado
Riboflavina,mg,"0,03","0,08","0,05",BRC0155C,Nome não encontrado
Niacina,mg,traços,traços,traços,BRC0155C,Nome não encontrado
Vitamina B6,mg,"0,03","0,07","0,05",BRC0155C,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC0155C,Nome não encontrado
Vitamina C,mg,"35,7","85,6","58,9",BRC0155C,Nome não encontrado
Equivalente de folato,mcg,"53,0",127,"87,5",BRC0155C,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0155C,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0155C,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0155C,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0155C,Nome não encontrado
Proteína animal,g,-,-,-,BRC0155C,Nome não encontrado
