componente,unidade,Valor por 100g,Colher chá cheia (8 g),Colher chá rasa (4 g),Colher sobremesa cheia (23 g),Colher sobremesa rasa (13 g),Colher sopa cheia (32 g),Colher sopa rasa (19 g),codigo_alimento,nome_alimento
Energia,kJ,2495,199,99,573,324,798,474,BRC0010D,Nome não encontrado
Energia,kcal,607,48,24,139,78,194,115,BRC0010D,Nome não encontrado
Umidade,g,"32,2","2,58","1,29","7,41","4,19","10,3","6,12",BRC0010D,Nome não encontrado
Carboidrato total,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0010D,Nome não encontrado
Carboidrato disponível,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0010D,Nome não encontrado
Proteína,g,traços,traços,traços,traços,traços,traços,traços,BRC0010D,Nome não encontrado
Lipídios,g,"67,4","5,39","2,70","15,5","8,77","21,6","12,8",BRC0010D,Nome não encontrado
Fibra alimentar,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0010D,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0010D,Nome não encontrado
Cinzas,g,"1,94","0,16","0,08","0,45","0,25","0,62","0,37",BRC0010D,Nome não encontrado
Colesterol,mg,,,,,,,,BRC0010D,Nome não encontrado
Ácidos graxos saturados,g,"14,9","1,19","0,60","3,43","1,94","4,77","2,83",BRC0010D,Nome não encontrado
Ácidos graxos monoinsaturados,g,"18,2","1,46","0,73","4,19","2,37","5,82","3,46",BRC0010D,Nome não encontrado
Ácidos graxos poliinsaturados,g,"21,4","1,71","0,86","4,92","2,78","6,85","4,07",BRC0010D,Nome não encontrado
Ácidos graxos trans,g,"9,99","0,80","0,40","2,30","1,30","3,20","1,90",BRC0010D,Nome não encontrado
Cálcio,mg,"5,56","0,44","0,22","1,28","0,72","1,78","1,06",BRC0010D,Nome não encontrado
Ferro,mg,"0,09","0,01","0,00","0,02","0,01","0,03","0,02",BRC0010D,Nome não encontrado
Sódio,mg,894,"71,5","35,8",205,116,286,169,BRC0010D,Nome não encontrado
Magnésio,mg,"1,13","0,09","0,05","0,26","0,15","0,36","0,21",BRC0010D,Nome não encontrado
Fósforo,mg,"7,26","0,58","0,29","1,67","0,94","2,32","1,38",BRC0010D,Nome não encontrado
Potássio,mg,"21,4","1,71","0,86","4,93","2,78","6,85","4,07",BRC0010D,Nome não encontrado
Manganês,mg,traços,traços,traços,traços,traços,traços,traços,BRC0010D,Nome não encontrado
Zinco,mg,traços,traços,traços,traços,traços,traços,traços,BRC0010D,Nome não encontrado
Cobre,mg,traços,traços,traços,traços,traços,traços,traços,BRC0010D,Nome não encontrado
Selênio,mcg,,,,,,,,BRC0010D,Nome não encontrado
Vitamina A (RE),mcg,246,"19,7","9,85","56,7","32,0","78,8","46,8",BRC0010D,Nome não encontrado
Vitamina A (RAE),mcg,246,"19,7","9,85","56,7","32,0","78,8","46,8",BRC0010D,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0010D,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"5,37","0,43","0,21","1,23","0,70","1,72","1,02",BRC0010D,Nome não encontrado
Tiamina,mg,traços,traços,traços,traços,traços,traços,traços,BRC0010D,Nome não encontrado
Riboflavina,mg,traços,traços,traços,traços,traços,traços,traços,BRC0010D,Nome não encontrado
Niacina,mg,traços,traços,traços,traços,traços,traços,traços,BRC0010D,Nome não encontrado
Vitamina B6,mg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0010D,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0010D,Nome não encontrado
Vitamina C,mg,traços,traços,traços,traços,traços,traços,traços,BRC0010D,Nome não encontrado
Equivalente de folato,mcg,"0,92","0,07","0,04","0,21","0,12","0,29","0,17",BRC0010D,Nome não encontrado
Sal de adição,g,,,,,,,,BRC0010D,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0010D,Nome não encontrado
Gordura de adição,g,"67,4","5,39","2,70","15,5","8,77","21,6","12,8",BRC0010D,Nome não encontrado
Proteína vegetal,g,traços,traços,traços,traços,traços,traços,traços,BRC0010D,Nome não encontrado
Proteína animal,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0010D,Nome não encontrado
