componente,unidade,Valor por 100g,Pedaço/ Unidade/ Fatia (M) (20 g),codigo_alimento,nome_alimento
Energia,kJ,1226,245,BRC0094B,Nome não encontrado
Energia,kcal,293,58,BRC0094B,Nome não encontrado
Umidade,g,"41,8","8,37",BRC0094B,Nome não encontrado
Carboidrato total,g,"38,5","7,70",BRC0094B,Nome não encontrado
Carboidrato disponível,g,"37,5","7,51",BRC0094B,Nome não encontrado
Proteína,g,"3,65","0,73",BRC0094B,Nome não encontrado
Lipídios,g,"14,0","2,80",BRC0094B,Nome não encontrado
Fibra alimentar,g,"0,98","0,20",BRC0094B,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0094B,Nome não encontrado
Cinzas,g,"2,01","0,40",BRC0094B,Nome não encontrado
Colesterol,mg,"63,1","12,6",BRC0094B,Nome não encontrado
Ácidos graxos saturados,g,"3,40","0,68",BRC0094B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"3,00","0,60",BRC0094B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"4,10","0,82",BRC0094B,Nome não encontrado
Ácidos graxos trans,g,"0,75","0,15",BRC0094B,Nome não encontrado
Cálcio,mg,"87,6","17,5",BRC0094B,Nome não encontrado
Ferro,mg,"0,29","0,06",BRC0094B,Nome não encontrado
Sódio,mg,404,"81,0",BRC0094B,Nome não encontrado
Magnésio,mg,"6,83","1,37",BRC0094B,Nome não encontrado
Fósforo,mg,"78,8","15,8",BRC0094B,Nome não encontrado
Potássio,mg,"58,1","11,6",BRC0094B,Nome não encontrado
Manganês,mg,traços,traços,BRC0094B,Nome não encontrado
Zinco,mg,"0,43","0,09",BRC0094B,Nome não encontrado
Cobre,mg,traços,traços,BRC0094B,Nome não encontrado
Selênio,mcg,,,BRC0094B,Nome não encontrado
Vitamina A (RE),mcg,"47,5","9,50",BRC0094B,Nome não encontrado
Vitamina A (RAE),mcg,"47,5","9,50",BRC0094B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0094B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,,,BRC0094B,Nome não encontrado
Tiamina,mg,traços,traços,BRC0094B,Nome não encontrado
Riboflavina,mg,"0,08","0,02",BRC0094B,Nome não encontrado
Niacina,mg,traços,traços,BRC0094B,Nome não encontrado
Vitamina B6,mg,traços,traços,BRC0094B,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0094B,Nome não encontrado
Vitamina C,mg,,,BRC0094B,Nome não encontrado
Equivalente de folato,mcg,,,BRC0094B,Nome não encontrado
Sal de adição,g,,,BRC0094B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0094B,Nome não encontrado
Gordura de adição,g,,,BRC0094B,Nome não encontrado
Proteína vegetal,g,,,BRC0094B,Nome não encontrado
Proteína animal,g,,,BRC0094B,Nome não encontrado
