componente,unidade,Valor por 100g,Colher sopa cheia (20 g),Concha cheia (130 g),codigo_alimento,nome_alimento
Energia,kJ,293,58,380,BRC0737B,Nome não encontrado
Energia,kcal,70,13,90,BRC0737B,Nome não encontrado
Umidade,g,"83,8","16,8",108,BRC0737B,Nome não encontrado
Carboidrato total,g,"5,21","1,04","6,77",BRC0737B,Nome não encontrado
Carboidrato disponível,g,"3,68","0,74","4,78",BRC0737B,Nome não encontrado
Proteína,g,"7,94","1,59","10,3",BRC0737B,Nome não encontrado
Lipídios,g,"2,24","0,45","2,91",BRC0737B,Nome não encontrado
Fibra alimentar,g,"1,53","0,31","1,99",BRC0737B,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0737B,Nome não encontrado
Cinzas,g,"0,77","0,15","1,00",BRC0737B,Nome não encontrado
Colesterol,mg,"11,9","2,38","15,5",BRC0737B,Nome não encontrado
Ácidos graxos saturados,g,"0,74","0,15","0,96",BRC0737B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,78","0,16","1,01",BRC0737B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,51","0,10","0,66",BRC0737B,Nome não encontrado
Ácidos graxos trans,g,"0,04","0,01","0,05",BRC0737B,Nome não encontrado
Cálcio,mg,"16,1","3,21","20,9",BRC0737B,Nome não encontrado
Ferro,mg,"1,37","0,27","1,78",BRC0737B,Nome não encontrado
Sódio,mg,"26,2","5,25","34,1",BRC0737B,Nome não encontrado
Magnésio,mg,"16,7","3,34","21,7",BRC0737B,Nome não encontrado
Fósforo,mg,"62,0","12,4","80,6",BRC0737B,Nome não encontrado
Potássio,mg,177,"35,6",231,BRC0737B,Nome não encontrado
Manganês,mg,"0,60","0,12","0,78",BRC0737B,Nome não encontrado
Zinco,mg,"1,88","0,38","2,45",BRC0737B,Nome não encontrado
Cobre,mg,"0,14","0,03","0,19",BRC0737B,Nome não encontrado
Selênio,mcg,"0,13","0,03","0,17",BRC0737B,Nome não encontrado
Vitamina A (RE),mcg,"99,9","20,0",129,BRC0737B,Nome não encontrado
Vitamina A (RAE),mcg,"50,5","10,1","65,6",BRC0737B,Nome não encontrado
Vitamina D,mcg,"0,06","0,01","0,08",BRC0737B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,53","0,11","0,69",BRC0737B,Nome não encontrado
Tiamina,mg,"0,03","0,01","0,04",BRC0737B,Nome não encontrado
Riboflavina,mg,"0,01","0,00","0,01",BRC0737B,Nome não encontrado
Niacina,mg,"0,68","0,14","0,88",BRC0737B,Nome não encontrado
Vitamina B6,mg,"0,04","0,01","0,05",BRC0737B,Nome não encontrado
Vitamina B12,mcg,"0,29","0,06","0,37",BRC0737B,Nome não encontrado
Vitamina C,mg,"2,02","0,40","2,63",BRC0737B,Nome não encontrado
Equivalente de folato,mcg,"18,2","3,64","23,7",BRC0737B,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0737B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0737B,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0737B,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0737B,Nome não encontrado
Proteína animal,g,-,-,-,BRC0737B,Nome não encontrado
