componente,unidade,Valor por 100g,Copo americano duplo (240 mL),Copo americano pequeno (165 mL),codigo_alimento,nome_alimento
Energia,kJ,257,617,424,BRC0047T,Nome não encontrado
Energia,kcal,61,145,100,BRC0047T,Nome não encontrado
Umidade,g,"85,6",205,141,BRC0047T,Nome não encontrado
Carboidrato total,g,"11,7","28,0","19,3",BRC0047T,Nome não encontrado
Carboidrato disponível,g,"11,3","27,2","18,7",BRC0047T,Nome não encontrado
Proteína,g,"1,58","3,79","2,61",BRC0047T,Nome não encontrado
Lipídios,g,"0,94","2,26","1,55",BRC0047T,Nome não encontrado
Fibra alimentar,g,"0,34","0,82","0,57",BRC0047T,Nome não encontrado
Álcool,g,,,,BRC0047T,Nome não encontrado
Cinzas,g,"0,24","0,58","0,40",BRC0047T,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00",BRC0047T,Nome não encontrado
Ácidos graxos saturados,g,"0,12","0,28","0,19",BRC0047T,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,18","0,42","0,29",BRC0047T,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,35","0,84","0,58",BRC0047T,Nome não encontrado
Ácidos graxos trans,g,"0,01","0,01","0,01",BRC0047T,Nome não encontrado
Cálcio,mg,"27,4","65,7","45,2",BRC0047T,Nome não encontrado
Ferro,mg,"0,72","1,73","1,19",BRC0047T,Nome não encontrado
Sódio,mg,"93,7",224,154,BRC0047T,Nome não encontrado
Magnésio,mg,"25,6","61,4","42,2",BRC0047T,Nome não encontrado
Fósforo,mg,"87,6",210,144,BRC0047T,Nome não encontrado
Potássio,mg,200,481,330,BRC0047T,Nome não encontrado
Manganês,mg,"0,24","0,58","0,40",BRC0047T,Nome não encontrado
Zinco,mg,"0,46","1,10","0,76",BRC0047T,Nome não encontrado
Cobre,mg,"0,14","0,33","0,23",BRC0047T,Nome não encontrado
Selênio,mcg,,,,BRC0047T,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00","0,00",BRC0047T,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00","0,00",BRC0047T,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0047T,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,00","0,00","0,00",BRC0047T,Nome não encontrado
Tiamina,mg,traços,traços,traços,BRC0047T,Nome não encontrado
Riboflavina,mg,traços,traços,traços,BRC0047T,Nome não encontrado
Niacina,mg,traços,traços,traços,BRC0047T,Nome não encontrado
Vitamina B6,mg,traços,traços,traços,BRC0047T,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC0047T,Nome não encontrado
Vitamina C,mg,traços,traços,traços,BRC0047T,Nome não encontrado
Equivalente de folato,mcg,"43,5",104,"71,8",BRC0047T,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0047T,Nome não encontrado
Açúcar de adição,g,,,,BRC0047T,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00",BRC0047T,Nome não encontrado
Proteína vegetal,g,"1,58","3,79","2,61",BRC0047T,Nome não encontrado
Proteína animal,g,"0,00","0,00","0,00",BRC0047T,Nome não encontrado
