componente,unidade,Valor por 100g,Colher sopa cheia (30 g),Colher sopa rasa (15 g),codigo_alimento,nome_alimento
Energia,kJ,811,243,121,BRC0035N,Nome não encontrado
Energia,kcal,195,58,29,BRC0035N,Nome não encontrado
Umidade,g,"70,0","21,0","10,5",BRC0035N,Nome não encontrado
Carboidrato total,g,"4,37","1,31","0,66",BRC0035N,Nome não encontrado
Carboidrato disponível,g,"4,37","1,31","0,66",BRC0035N,Nome não encontrado
Proteína,g,"8,50","2,55","1,28",BRC0035N,Nome não encontrado
Lipídios,g,"16,0","4,80","2,40",BRC0035N,Nome não encontrado
Fibra alimentar,g,"0,00","0,00","0,00",BRC0035N,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0035N,Nome não encontrado
Cinzas,g,"1,13","0,34","0,17",BRC0035N,Nome não encontrado
Colesterol,mg,"50,4","15,1","7,55",BRC0035N,Nome não encontrado
Ácidos graxos saturados,g,"10,1","3,02","1,51",BRC0035N,Nome não encontrado
Ácidos graxos monoinsaturados,g,"4,52","1,35","0,68",BRC0035N,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,58","0,17","0,09",BRC0035N,Nome não encontrado
Ácidos graxos trans,g,,,,BRC0035N,Nome não encontrado
Cálcio,mg,"51,3","15,4","7,70",BRC0035N,Nome não encontrado
Ferro,mg,"0,82","0,25","0,12",BRC0035N,Nome não encontrado
Sódio,mg,315,"94,6","47,3",BRC0035N,Nome não encontrado
Magnésio,mg,"4,34","1,30","0,65",BRC0035N,Nome não encontrado
Fósforo,mg,"65,8","19,7","9,87",BRC0035N,Nome não encontrado
Potássio,mg,"81,0","24,3","12,1",BRC0035N,Nome não encontrado
Manganês,mg,"0,00","0,00","0,00",BRC0035N,Nome não encontrado
Zinco,mg,"0,37","0,11","0,06",BRC0035N,Nome não encontrado
Cobre,mg,"0,00","0,00","0,00",BRC0035N,Nome não encontrado
Selênio,mcg,,,,BRC0035N,Nome não encontrado
Vitamina A (RE),mcg,,,,BRC0035N,Nome não encontrado
Vitamina A (RAE),mcg,168,"50,7","25,3",BRC0035N,Nome não encontrado
Vitamina D,mcg,"0,28","0,08","0,04",BRC0035N,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,43","0,13","0,06",BRC0035N,Nome não encontrado
Tiamina,mg,"0,01","0,00","0,00",BRC0035N,Nome não encontrado
Riboflavina,mg,"0,13","0,04","0,02",BRC0035N,Nome não encontrado
Niacina,mg,"0,63","0,19","0,09",BRC0035N,Nome não encontrado
Vitamina B6,mg,"0,03","0,01","0,00",BRC0035N,Nome não encontrado
Vitamina B12,mcg,"0,27","0,08","0,04",BRC0035N,Nome não encontrado
Vitamina C,mg,"0,00","0,00","0,00",BRC0035N,Nome não encontrado
Equivalente de folato,mcg,"8,00","2,40","1,20",BRC0035N,Nome não encontrado
Sal de adição,g,,,,BRC0035N,Nome não encontrado
Açúcar de adição,g,,,,BRC0035N,Nome não encontrado
Gordura de adição,g,,,,BRC0035N,Nome não encontrado
Proteína vegetal,g,"0,00","0,00","0,00",BRC0035N,Nome não encontrado
Proteína animal,g,"8,50","2,55","1,28",BRC0035N,Nome não encontrado
