componente,unidade,Valor por 100g,Colher servir cheia (60 g),codigo_alimento,nome_alimento
Energia,kJ,574,344,BRC0790A,Nome não encontrado
Energia,kcal,136,81,BRC0790A,Nome não encontrado
Umidade,g,"63,8","38,3",BRC0790A,Nome não encontrado
Carboidrato total,g,"28,6","17,1",BRC0790A,Nome não encontrado
Carboidrato disponível,g,"22,5","13,5",BRC0790A,Nome não encontrado
Proteína,g,"5,52","3,31",BRC0790A,Nome não encontrado
Lipídios,g,"1,33","0,80",BRC0790A,Nome não encontrado
Fibra alimentar,g,"6,04","3,62",BRC0790A,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0790A,Nome não encontrado
Cinzas,g,"0,76","0,45",BRC0790A,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0790A,Nome não encontrado
Ácidos graxos saturados,g,"0,28","0,17",BRC0790A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,17","0,10",BRC0790A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,64","0,39",BRC0790A,Nome não encontrado
Ácidos graxos trans,g,,,BRC0790A,Nome não encontrado
Cálcio,mg,"11,7","7,00",BRC0790A,Nome não encontrado
Ferro,mg,"1,01","0,60",BRC0790A,Nome não encontrado
Sódio,mg,"3,62","2,17",BRC0790A,Nome não encontrado
Magnésio,mg,"31,8","19,1",BRC0790A,Nome não encontrado
Fósforo,mg,"88,9","53,3",BRC0790A,Nome não encontrado
Potássio,mg,112,"67,6",BRC0790A,Nome não encontrado
Manganês,mg,"0,53","0,32",BRC0790A,Nome não encontrado
Zinco,mg,"0,86","0,51",BRC0790A,Nome não encontrado
Cobre,mg,"0,17","0,10",BRC0790A,Nome não encontrado
Selênio,mcg,"15,2","9,10",BRC0790A,Nome não encontrado
Vitamina A (RE),mcg,"2,36","1,42",BRC0790A,Nome não encontrado
Vitamina A (RAE),mcg,"1,18","0,71",BRC0790A,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0790A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,02","0,01",BRC0790A,Nome não encontrado
Tiamina,mg,"0,06","0,03",BRC0790A,Nome não encontrado
Riboflavina,mg,"0,05","0,03",BRC0790A,Nome não encontrado
Niacina,mg,"1,76","1,06",BRC0790A,Nome não encontrado
Vitamina B6,mg,"0,08","0,05",BRC0790A,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0790A,Nome não encontrado
Vitamina C,mg,"0,00","0,00",BRC0790A,Nome não encontrado
Equivalente de folato,mcg,"7,40","4,44",BRC0790A,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0790A,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0790A,Nome não encontrado
Gordura de adição,g,"0,00","0,00",BRC0790A,Nome não encontrado
Proteína vegetal,g,"5,52","3,31",BRC0790A,Nome não encontrado
Proteína animal,g,"0,00","0,00",BRC0790A,Nome não encontrado
