componente,unidade,Valor por 100g,Xícara chá (200 mL),codigo_alimento,nome_alimento
Energia,kJ,211,422,BRC0110H,Nome não encontrado
Energia,kcal,50,100,BRC0110H,Nome não encontrado
Umidade,g,"89,4",178,BRC0110H,Nome não encontrado
Carboidrato total,g,"5,43","10,9",BRC0110H,Nome não encontrado
Carboidrato disponível,g,"4,90","9,81",BRC0110H,Nome não encontrado
Proteína,g,"2,29","4,57",BRC0110H,Nome não encontrado
Lipídios,g,"2,30","4,59",BRC0110H,Nome não encontrado
Fibra alimentar,g,"0,53","1,06",BRC0110H,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0110H,Nome não encontrado
Cinzas,g,"0,61","1,23",BRC0110H,Nome não encontrado
Colesterol,mg,"8,66","17,3",BRC0110H,Nome não encontrado
Ácidos graxos saturados,g,"1,41","2,83",BRC0110H,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,67","1,34",BRC0110H,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,09","0,17",BRC0110H,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00",BRC0110H,Nome não encontrado
Cálcio,mg,"86,0",172,BRC0110H,Nome não encontrado
Ferro,mg,"0,14","0,27",BRC0110H,Nome não encontrado
Sódio,mg,"45,0","90,1",BRC0110H,Nome não encontrado
Magnésio,mg,"10,2","20,4",BRC0110H,Nome não encontrado
Fósforo,mg,"60,8",121,BRC0110H,Nome não encontrado
Potássio,mg,142,285,BRC0110H,Nome não encontrado
Manganês,mg,"0,19","0,37",BRC0110H,Nome não encontrado
Zinco,mg,"0,29","0,57",BRC0110H,Nome não encontrado
Cobre,mg,"0,02","0,04",BRC0110H,Nome não encontrado
Selênio,mcg,"3,40","6,79",BRC0110H,Nome não encontrado
Vitamina A (RE),mcg,"34,7","69,4",BRC0110H,Nome não encontrado
Vitamina A (RAE),mcg,"34,3","68,6",BRC0110H,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0110H,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,09","0,17",BRC0110H,Nome não encontrado
Tiamina,mg,"0,03","0,06",BRC0110H,Nome não encontrado
Riboflavina,mg,"0,19","0,38",BRC0110H,Nome não encontrado
Niacina,mg,"1,13","2,27",BRC0110H,Nome não encontrado
Vitamina B6,mg,"0,00","0,00",BRC0110H,Nome não encontrado
Vitamina B12,mcg,"0,26","0,52",BRC0110H,Nome não encontrado
Vitamina C,mg,"0,04","0,08",BRC0110H,Nome não encontrado
Equivalente de folato,mcg,"4,27","8,53",BRC0110H,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0110H,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0110H,Nome não encontrado
Gordura de adição,g,-,-,BRC0110H,Nome não encontrado
Proteína vegetal,g,-,-,BRC0110H,Nome não encontrado
Proteína animal,g,-,-,BRC0110H,Nome não encontrado
