componente,unidade,Valor por 100g,Pedaço/ Unidade/ Fatia (M) (50 mL),codigo_alimento,nome_alimento
Energia,kJ,563,281,BRC0147H,Nome não encontrado
Energia,kcal,135,67,BRC0147H,Nome não encontrado
Umidade,g,"78,0","39,0",BRC0147H,Nome não encontrado
Carboidrato total,g,"5,73","2,87",BRC0147H,Nome não encontrado
Carboidrato disponível,g,"5,73","2,87",BRC0147H,Nome não encontrado
Proteína,g,"0,08","0,04",BRC0147H,Nome não encontrado
Lipídios,g,"0,00","0,00",BRC0147H,Nome não encontrado
Fibra alimentar,g,"0,00","0,00",BRC0147H,Nome não encontrado
Álcool,g,"16,0","8,00",BRC0147H,Nome não encontrado
Cinzas,g,"0,20","0,10",BRC0147H,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0147H,Nome não encontrado
Ácidos graxos saturados,g,"0,00","0,00",BRC0147H,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,00","0,00",BRC0147H,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,00","0,00",BRC0147H,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00",BRC0147H,Nome não encontrado
Cálcio,mg,"7,36","3,68",BRC0147H,Nome não encontrado
Ferro,mg,"0,34","0,17",BRC0147H,Nome não encontrado
Sódio,mg,"2,09","1,05",BRC0147H,Nome não encontrado
Magnésio,mg,"6,77","3,38",BRC0147H,Nome não encontrado
Fósforo,mg,"13,9","6,97",BRC0147H,Nome não encontrado
Potássio,mg,"83,0","41,5",BRC0147H,Nome não encontrado
Manganês,mg,"0,22","0,11",BRC0147H,Nome não encontrado
Zinco,mg,"0,08","0,04",BRC0147H,Nome não encontrado
Cobre,mg,"0,05","0,02",BRC0147H,Nome não encontrado
Selênio,mcg,,traços,BRC0147H,Nome não encontrado
Vitamina A (RE),mcg,traços,traços,BRC0147H,Nome não encontrado
Vitamina A (RAE),mcg,traços,traços,BRC0147H,Nome não encontrado
Vitamina D,mcg,,traços,BRC0147H,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,,traços,BRC0147H,Nome não encontrado
Tiamina,mg,,traços,BRC0147H,Nome não encontrado
Riboflavina,mg,,traços,BRC0147H,Nome não encontrado
Niacina,mg,,traços,BRC0147H,Nome não encontrado
Vitamina B6,mg,,traços,BRC0147H,Nome não encontrado
Vitamina B12,mcg,,traços,BRC0147H,Nome não encontrado
Vitamina C,mg,,traços,BRC0147H,Nome não encontrado
Equivalente de folato,mcg,,traços,BRC0147H,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0147H,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0147H,Nome não encontrado
Gordura de adição,g,-,-,BRC0147H,Nome não encontrado
Proteína vegetal,g,"0,08","0,04",BRC0147H,Nome não encontrado
Proteína animal,g,"0,00","0,00",BRC0147H,Nome não encontrado
