componente,unidade,Valor por 100g,Xícara chá (200 mL),codigo_alimento,nome_alimento
Energia,kJ,131,262,BRC0071H,Nome não encontrado
Energia,kcal,31,62,BRC0071H,Nome não encontrado
Umidade,g,"92,2",184,BRC0071H,Nome não encontrado
Carboidrato total,g,"7,27","14,5",BRC0071H,Nome não encontrado
Carboidrato disponível,g,"6,46","12,9",BRC0071H,Nome não encontrado
Proteína,g,"0,23","0,45",BRC0071H,Nome não encontrado
Lipídios,g,"0,30","0,61",BRC0071H,Nome não encontrado
Fibra alimentar,g,"0,81","1,63",BRC0071H,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0071H,Nome não encontrado
Cinzas,g,"0,03","0,07",BRC0071H,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0071H,Nome não encontrado
Ácidos graxos saturados,g,"0,11","0,21",BRC0071H,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,02","0,05",BRC0071H,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,11","0,22",BRC0071H,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00",BRC0071H,Nome não encontrado
Cálcio,mg,"5,31","10,6",BRC0071H,Nome não encontrado
Ferro,mg,"0,21","0,42",BRC0071H,Nome não encontrado
Sódio,mg,"2,20","4,40",BRC0071H,Nome não encontrado
Magnésio,mg,"6,35","12,7",BRC0071H,Nome não encontrado
Fósforo,mg,"3,91","7,81",BRC0071H,Nome não encontrado
Potássio,mg,"50,3",100,BRC0071H,Nome não encontrado
Manganês,mg,"0,16","0,33",BRC0071H,Nome não encontrado
Zinco,mg,"0,02","0,05",BRC0071H,Nome não encontrado
Cobre,mg,"0,02","0,04",BRC0071H,Nome não encontrado
Selênio,mcg,"0,00","0,00",BRC0071H,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00",BRC0071H,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00",BRC0071H,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0071H,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,00","0,00",BRC0071H,Nome não encontrado
Tiamina,mg,"0,00","0,00",BRC0071H,Nome não encontrado
Riboflavina,mg,"0,01","0,01",BRC0071H,Nome não encontrado
Niacina,mg,"0,20","0,39",BRC0071H,Nome não encontrado
Vitamina B6,mg,"0,00","0,00",BRC0071H,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0071H,Nome não encontrado
Vitamina C,mg,traços,,BRC0071H,Nome não encontrado
Equivalente de folato,mcg,"0,00","0,00",BRC0071H,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0071H,Nome não encontrado
Açúcar de adição,g,"6,00","12,0",BRC0071H,Nome não encontrado
Gordura de adição,g,-,-,BRC0071H,Nome não encontrado
Proteína vegetal,g,-,-,BRC0071H,Nome não encontrado
Proteína animal,g,-,-,BRC0071H,Nome não encontrado
