componente,unidade,Valor por 100g,Colher sopa cheia (25 g),Concha cheia (100 g),codigo_alimento,nome_alimento
Energia,kJ,637,159,637,BRC0225F,Nome não encontrado
Energia,kcal,152,38,152,BRC0225F,Nome não encontrado
Umidade,g,"70,9","17,7","70,9",BRC0225F,Nome não encontrado
Carboidrato total,g,"2,59","0,65","2,59",BRC0225F,Nome não encontrado
Carboidrato disponível,g,"2,59","0,65","2,59",BRC0225F,Nome não encontrado
Proteína,g,"17,6","4,39","17,6",BRC0225F,Nome não encontrado
Lipídios,g,"7,96","1,99","7,96",BRC0225F,Nome não encontrado
Fibra alimentar,g,"0,00","0,00","0,00",BRC0225F,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0225F,Nome não encontrado
Cinzas,g,"1,00","0,25","1,00",BRC0225F,Nome não encontrado
Colesterol,mg,"80,0","20,0","80,0",BRC0225F,Nome não encontrado
Ácidos graxos saturados,g,"3,69","0,92","3,69",BRC0225F,Nome não encontrado
Ácidos graxos monoinsaturados,g,"2,24","0,56","2,24",BRC0225F,Nome não encontrado
Ácidos graxos poliinsaturados,g,"1,02","0,25","1,02",BRC0225F,Nome não encontrado
Ácidos graxos trans,g,"0,20","0,05","0,20",BRC0225F,Nome não encontrado
Cálcio,mg,"26,0","6,51","26,0",BRC0225F,Nome não encontrado
Ferro,mg,"1,52","0,38","1,52",BRC0225F,Nome não encontrado
Sódio,mg,"99,5","24,9","99,5",BRC0225F,Nome não encontrado
Magnésio,mg,"24,8","6,19","24,8",BRC0225F,Nome não encontrado
Fósforo,mg,195,"48,8",195,BRC0225F,Nome não encontrado
Potássio,mg,307,"76,8",307,BRC0225F,Nome não encontrado
Manganês,mg,"0,03","0,01","0,03",BRC0225F,Nome não encontrado
Zinco,mg,"0,58","0,15","0,58",BRC0225F,Nome não encontrado
Cobre,mg,"0,12","0,03","0,12",BRC0225F,Nome não encontrado
Selênio,mcg,,,,BRC0225F,Nome não encontrado
Vitamina A (RE),mcg,,,,BRC0225F,Nome não encontrado
Vitamina A (RAE),mcg,,,,BRC0225F,Nome não encontrado
Vitamina D,mcg,,,,BRC0225F,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,,,,BRC0225F,Nome não encontrado
Tiamina,mg,"0,07","0,02","0,07",BRC0225F,Nome não encontrado
Riboflavina,mg,"0,04","0,01","0,04",BRC0225F,Nome não encontrado
Niacina,mg,"3,37","0,84","3,37",BRC0225F,Nome não encontrado
Vitamina B6,mg,"0,03","0,01","0,03",BRC0225F,Nome não encontrado
Vitamina B12,mcg,-,-,-,BRC0225F,Nome não encontrado
Vitamina C,mg,traços,traços,traços,BRC0225F,Nome não encontrado
Equivalente de folato,mcg,,,,BRC0225F,Nome não encontrado
Sal de adição,g,,,,BRC0225F,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0225F,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0225F,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0225F,Nome não encontrado
Proteína animal,g,-,-,-,BRC0225F,Nome não encontrado
