componente,unidade,Valor por 100g,Colher servir cheia (45 g),Colher servir rasa (28 g),Colher sopa cheia (20 g),Colher sopa rasa (15 g),Escumadeira cheia (110 g),Escumadeira rasa (60 g),codigo_alimento,nome_alimento
Energia,kJ,174,78,48,34,26,191,104,BRC0229B,Nome não encontrado
Energia,kcal,42,18,11,8,6,46,25,BRC0229B,Nome não encontrado
Umidade,g,"91,8","41,3","25,7","18,4","13,8",101,"55,1",BRC0229B,Nome não encontrado
Carboidrato total,g,"4,97","2,24","1,39","0,99","0,75","5,47","2,98",BRC0229B,Nome não encontrado
Carboidrato disponível,g,"3,61","1,63","1,01","0,72","0,54","3,97","2,17",BRC0229B,Nome não encontrado
Proteína,g,"0,49","0,22","0,14","0,10","0,07","0,54","0,29",BRC0229B,Nome não encontrado
Lipídios,g,"2,54","1,14","0,71","0,51","0,38","2,79","1,52",BRC0229B,Nome não encontrado
Fibra alimentar,g,"1,36","0,61","0,38","0,27","0,20","1,49","0,81",BRC0229B,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0229B,Nome não encontrado
Cinzas,g,"0,18","0,08","0,05","0,04","0,03","0,20","0,11",BRC0229B,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0229B,Nome não encontrado
Ácidos graxos saturados,g,"0,40","0,18","0,11","0,08","0,06","0,43","0,24",BRC0229B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,57","0,26","0,16","0,11","0,09","0,62","0,34",BRC0229B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"1,50","0,67","0,42","0,30","0,22","1,65","0,90",BRC0229B,Nome não encontrado
Ácidos graxos trans,g,"0,01","0,01","0,00","0,00","0,00","0,01","0,01",BRC0229B,Nome não encontrado
Cálcio,mg,"8,33","3,75","2,33","1,67","1,25","9,16","5,00",BRC0229B,Nome não encontrado
Ferro,mg,"0,07","0,03","0,02","0,01","0,01","0,07","0,04",BRC0229B,Nome não encontrado
Sódio,mg,"1,92","0,87","0,54","0,38","0,29","2,12","1,15",BRC0229B,Nome não encontrado
Magnésio,mg,"7,38","3,32","2,07","1,48","1,11","8,11","4,43",BRC0229B,Nome não encontrado
Fósforo,mg,"13,6","6,13","3,82","2,73","2,04","15,0","8,18",BRC0229B,Nome não encontrado
Potássio,mg,"57,8","26,0","16,2","11,6","8,68","63,6","34,7",BRC0229B,Nome não encontrado
Manganês,mg,"0,07","0,03","0,02","0,01","0,01","0,08","0,04",BRC0229B,Nome não encontrado
Zinco,mg,"0,10","0,05","0,03","0,02","0,02","0,11","0,06",BRC0229B,Nome não encontrado
Cobre,mg,"0,01","0,00","0,00","0,00","0,00","0,01","0,00",BRC0229B,Nome não encontrado
Selênio,mcg,"0,26","0,12","0,07","0,05","0,04","0,29","0,16",BRC0229B,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0229B,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0229B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0229B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,33","0,15","0,09","0,07","0,05","0,37","0,20",BRC0229B,Nome não encontrado
Tiamina,mg,"0,03","0,01","0,01","0,01","0,00","0,04","0,02",BRC0229B,Nome não encontrado
Riboflavina,mg,traços,traços,traços,traços,traços,traços,traços,BRC0229B,Nome não encontrado
Niacina,mg,traços,traços,traços,traços,traços,traços,traços,BRC0229B,Nome não encontrado
Vitamina B6,mg,traços,traços,traços,traços,traços,traços,traços,BRC0229B,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0229B,Nome não encontrado
Vitamina C,mg,"5,92","2,67","1,66","1,18","0,89","6,52","3,55",BRC0229B,Nome não encontrado
Equivalente de folato,mcg,"15,9","7,14","4,44","3,17","2,38","17,4","9,51",BRC0229B,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0229B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0229B,Nome não encontrado
Gordura de adição,g,-,-,-,-,-,-,-,BRC0229B,Nome não encontrado
Proteína vegetal,g,-,-,-,-,-,-,-,BRC0229B,Nome não encontrado
Proteína animal,g,-,-,-,-,-,-,-,BRC0229B,Nome não encontrado
