componente,unidade,Valor por 100g,Porção Média (90 g),codigo_alimento,nome_alimento
Energia,kJ,228,204,BRC0651B,Nome não encontrado
Energia,kcal,55,49,BRC0651B,Nome não encontrado
Umidade,g,"89,7","80,7",BRC0651B,Nome não encontrado
Carboidrato total,g,"3,88","3,49",BRC0651B,Nome não encontrado
Carboidrato disponível,g,"1,49","1,34",BRC0651B,Nome não encontrado
Proteína,g,"1,45","1,30",BRC0651B,Nome não encontrado
Lipídios,g,"4,29","3,86",BRC0651B,Nome não encontrado
Fibra alimentar,g,"2,39","2,15",BRC0651B,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0651B,Nome não encontrado
Cinzas,g,"0,72","0,65",BRC0651B,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0651B,Nome não encontrado
Ácidos graxos saturados,g,"0,69","0,62",BRC0651B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,93","0,84",BRC0651B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"2,51","2,25",BRC0651B,Nome não encontrado
Ácidos graxos trans,g,"0,06","0,05",BRC0651B,Nome não encontrado
Cálcio,mg,"28,3","25,4",BRC0651B,Nome não encontrado
Ferro,mg,"0,29","0,26",BRC0651B,Nome não encontrado
Sódio,mg,130,117,BRC0651B,Nome não encontrado
Magnésio,mg,"9,80","8,82",BRC0651B,Nome não encontrado
Fósforo,mg,"24,9","22,4",BRC0651B,Nome não encontrado
Potássio,mg,160,144,BRC0651B,Nome não encontrado
Manganês,mg,"0,08","0,07",BRC0651B,Nome não encontrado
Zinco,mg,"0,21","0,19",BRC0651B,Nome não encontrado
Cobre,mg,"0,04","0,04",BRC0651B,Nome não encontrado
Selênio,mcg,"0,31","0,28",BRC0651B,Nome não encontrado
Vitamina A (RE),mcg,329,296,BRC0651B,Nome não encontrado
Vitamina A (RAE),mcg,164,148,BRC0651B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0651B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"1,30","1,17",BRC0651B,Nome não encontrado
Tiamina,mg,"0,04","0,04",BRC0651B,Nome não encontrado
Riboflavina,mg,"0,01","0,01",BRC0651B,Nome não encontrado
Niacina,mg,"0,56","0,50",BRC0651B,Nome não encontrado
Vitamina B6,mg,"0,01","0,01",BRC0651B,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0651B,Nome não encontrado
Vitamina C,mg,"22,0","19,8",BRC0651B,Nome não encontrado
Equivalente de folato,mcg,"39,4","35,5",BRC0651B,Nome não encontrado
Sal de adição,g,"0,32","0,29",BRC0651B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0651B,Nome não encontrado
Gordura de adição,g,-,-,BRC0651B,Nome não encontrado
Proteína vegetal,g,-,-,BRC0651B,Nome não encontrado
Proteína animal,g,-,-,BRC0651B,Nome não encontrado
