componente,unidade,Valor por 100g,Porção Média (80 g),codigo_alimento,nome_alimento
Energia,kJ,852,681,BRC0585A,Nome não encontrado
Energia,kcal,203,162,BRC0585A,Nome não encontrado
Umidade,g,"52,5","42,0",BRC0585A,Nome não encontrado
Carboidrato total,g,"12,7","10,2",BRC0585A,Nome não encontrado
Carboidrato disponível,g,"12,3","9,83",BRC0585A,Nome não encontrado
Proteína,g,"21,3","17,1",BRC0585A,Nome não encontrado
Lipídios,g,"7,48","5,98",BRC0585A,Nome não encontrado
Fibra alimentar,g,"0,44","0,35",BRC0585A,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0585A,Nome não encontrado
Cinzas,g,"2,02","1,61",BRC0585A,Nome não encontrado
Colesterol,mg,"80,6","64,5",BRC0585A,Nome não encontrado
Ácidos graxos saturados,g,"2,12","1,69",BRC0585A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"2,32","1,86",BRC0585A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"2,31","1,85",BRC0585A,Nome não encontrado
Ácidos graxos trans,g,"0,04","0,03",BRC0585A,Nome não encontrado
Cálcio,mg,"43,1","34,5",BRC0585A,Nome não encontrado
Ferro,mg,"1,38","1,11",BRC0585A,Nome não encontrado
Sódio,mg,380,304,BRC0585A,Nome não encontrado
Magnésio,mg,"34,8","27,8",BRC0585A,Nome não encontrado
Fósforo,mg,244,195,BRC0585A,Nome não encontrado
Potássio,mg,306,245,BRC0585A,Nome não encontrado
Manganês,mg,"0,08","0,06",BRC0585A,Nome não encontrado
Zinco,mg,"0,97","0,77",BRC0585A,Nome não encontrado
Cobre,mg,"0,07","0,05",BRC0585A,Nome não encontrado
Selênio,mcg,"11,3","9,04",BRC0585A,Nome não encontrado
Vitamina A (RE),mcg,"32,3","25,8",BRC0585A,Nome não encontrado
Vitamina A (RAE),mcg,"32,0","25,6",BRC0585A,Nome não encontrado
Vitamina D,mcg,"0,21","0,17",BRC0585A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,90","0,72",BRC0585A,Nome não encontrado
Tiamina,mg,"0,12","0,09",BRC0585A,Nome não encontrado
Riboflavina,mg,"0,13","0,10",BRC0585A,Nome não encontrado
Niacina,mg,"4,54","3,63",BRC0585A,Nome não encontrado
Vitamina B6,mg,"0,01","0,01",BRC0585A,Nome não encontrado
Vitamina B12,mcg,"0,29","0,23",BRC0585A,Nome não encontrado
Vitamina C,mg,"0,27","0,21",BRC0585A,Nome não encontrado
Equivalente de folato,mcg,"35,5","28,4",BRC0585A,Nome não encontrado
Sal de adição,g,"0,47","0,38",BRC0585A,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0585A,Nome não encontrado
Gordura de adição,g,-,-,BRC0585A,Nome não encontrado
Proteína vegetal,g,-,-,BRC0585A,Nome não encontrado
Proteína animal,g,-,-,BRC0585A,Nome não encontrado
