componente,unidade,Valor por 100g,Copo americano duplo (240 ml),Copo americano pequeno (165 ml),codigo_alimento,nome_alimento
Energia,kJ,296,709,488,BRC0146G,Nome não encontrado
Energia,kcal,62,147,101,BRC0146G,Nome não encontrado
Umidade,g,"87,8",210,144,BRC0146G,Nome não encontrado
Carboidrato total,g,"7,80","18,7","12,9",BRC0146G,Nome não encontrado
Carboidrato disponível,g,"7,41","17,8","12,2",BRC0146G,Nome não encontrado
Proteína,g,"1,17","2,81","1,93",BRC0146G,Nome não encontrado
Lipídios,g,"2,86","6,86","4,72",BRC0146G,Nome não encontrado
Fibra alimentar,g,"0,38","0,90","0,62",BRC0146G,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0146G,Nome não encontrado
Cinzas,g,"0,39","0,94","0,64",BRC0146G,Nome não encontrado
Colesterol,mg,,,,BRC0146G,Nome não encontrado
Ácidos graxos saturados,g,"1,21","2,90","1,99",BRC0146G,Nome não encontrado
Ácidos graxos monoinsaturados,g,,,,BRC0146G,Nome não encontrado
Ácidos graxos poliinsaturados,g,,,,BRC0146G,Nome não encontrado
Ácidos graxos trans,g,,,,BRC0146G,Nome não encontrado
Cálcio,mg,"74,1",177,122,BRC0146G,Nome não encontrado
Ferro,mg,"0,98","2,34","1,61",BRC0146G,Nome não encontrado
Sódio,mg,"27,3","65,5","45,0",BRC0146G,Nome não encontrado
Magnésio,mg,"7,67","18,4","12,7",BRC0146G,Nome não encontrado
Fósforo,mg,"42,9",102,"70,8",BRC0146G,Nome não encontrado
Potássio,mg,"78,0",187,128,BRC0146G,Nome não encontrado
Manganês,mg,"5,85","14,0","9,65",BRC0146G,Nome não encontrado
Zinco,mg,"0,65","1,56","1,07",BRC0146G,Nome não encontrado
Cobre,mg,"46,8",112,"77,2",BRC0146G,Nome não encontrado
Selênio,mcg,"1,24","2,96","2,04",BRC0146G,Nome não encontrado
Vitamina A (RE),mcg,"71,5",171,117,BRC0146G,Nome não encontrado
Vitamina A (RAE),mcg,"71,5",171,117,BRC0146G,Nome não encontrado
Vitamina D,mcg,"1,43","3,43","2,36",BRC0146G,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"1,43","3,43","2,36",BRC0146G,Nome não encontrado
Tiamina,mg,"0,13","0,31","0,21",BRC0146G,Nome não encontrado
Riboflavina,mg,"0,14","0,34","0,24",BRC0146G,Nome não encontrado
Niacina,mg,"0,56","1,34","0,92",BRC0146G,Nome não encontrado
Vitamina B6,mg,"0,07","0,18","0,12",BRC0146G,Nome não encontrado
Vitamina B12,mcg,"0,16","0,37","0,26",BRC0146G,Nome não encontrado
Vitamina C,mg,"10,4","25,0","17,2",BRC0146G,Nome não encontrado
Equivalente de folato,mcg,"15,6","37,4","25,7",BRC0146G,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0146G,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0146G,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0146G,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0146G,Nome não encontrado
Proteína animal,g,-,-,-,BRC0146G,Nome não encontrado
