componente,unidade,Valor por 100g,Copo americano duplo (240 mL),Copo americano pequeno (165 mL),codigo_alimento,nome_alimento
Energia,kJ,182,435,299,BRC0143H,Nome não encontrado
Energia,kcal,43,102,70,BRC0143H,Nome não encontrado
Umidade,g,"89,2",214,147,BRC0143H,Nome não encontrado
Carboidrato total,g,"10,2","24,5","16,9",BRC0143H,Nome não encontrado
Carboidrato disponível,g,"10,2","24,5","16,9",BRC0143H,Nome não encontrado
Proteína,g,"0,46","1,10","0,76",BRC0143H,Nome não encontrado
Lipídios,g,"0,00","0,00","0,00",BRC0143H,Nome não encontrado
Fibra alimentar,g,"0,00","0,00","0,00",BRC0143H,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0143H,Nome não encontrado
Cinzas,g,"0,10","0,24","0,17",BRC0143H,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00",BRC0143H,Nome não encontrado
Ácidos graxos saturados,g,"0,00","0,00","0,00",BRC0143H,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,00","0,00","0,00",BRC0143H,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,00","0,00","0,00",BRC0143H,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00",BRC0143H,Nome não encontrado
Cálcio,mg,"6,00","14,4","9,90",BRC0143H,Nome não encontrado
Ferro,mg,"0,06","0,14","0,10",BRC0143H,Nome não encontrado
Sódio,mg,"39,0","93,6","64,4",BRC0143H,Nome não encontrado
Magnésio,mg,"19,0","45,6","31,4",BRC0143H,Nome não encontrado
Fósforo,mg,"0,00","0,00","0,00",BRC0143H,Nome não encontrado
Potássio,mg,"3,00","7,20","4,95",BRC0143H,Nome não encontrado
Manganês,mg,"0,01","0,01","0,01",BRC0143H,Nome não encontrado
Zinco,mg,"0,01","0,02","0,02",BRC0143H,Nome não encontrado
Cobre,mg,"0,00","0,00","0,00",BRC0143H,Nome não encontrado
Selênio,mcg,"0,20","0,48","0,33",BRC0143H,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00","0,00",BRC0143H,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00","0,00",BRC0143H,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0143H,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,00","0,00","0,00",BRC0143H,Nome não encontrado
Tiamina,mg,"0,04","0,10","0,07",BRC0143H,Nome não encontrado
Riboflavina,mg,"0,10","0,25","0,17",BRC0143H,Nome não encontrado
Niacina,mg,"9,83","23,6","16,2",BRC0143H,Nome não encontrado
Vitamina B6,mg,"2,17","5,20","3,58",BRC0143H,Nome não encontrado
Vitamina B12,mcg,"1,97","4,73","3,25",BRC0143H,Nome não encontrado
Vitamina C,mg,"0,00","0,00","0,00",BRC0143H,Nome não encontrado
Equivalente de folato,mcg,"0,00","0,00","0,00",BRC0143H,Nome não encontrado
Sal de adição,g,,,,BRC0143H,Nome não encontrado
Açúcar de adição,g,,,,BRC0143H,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0143H,Nome não encontrado
Proteína vegetal,g,"0,46","1,10","0,76",BRC0143H,Nome não encontrado
Proteína animal,g,"0,00","0,00","0,00",BRC0143H,Nome não encontrado
