componente,unidade,Valor por 100g,Colher sopa rasa (25 g),codigo_alimento,nome_alimento
Energia,kJ,1168,292,BRC0786B,Nome não encontrado
Energia,kcal,278,69,BRC0786B,Nome não encontrado
Umidade,g,"39,1","9,76",BRC0786B,Nome não encontrado
Carboidrato total,g,"47,7","11,9",BRC0786B,Nome não encontrado
Carboidrato disponível,g,"43,3","10,8",BRC0786B,Nome não encontrado
Proteína,g,"2,95","0,74",BRC0786B,Nome não encontrado
Lipídios,g,"9,31","2,33",BRC0786B,Nome não encontrado
Fibra alimentar,g,"4,37","1,09",BRC0786B,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0786B,Nome não encontrado
Cinzas,g,"1,09","0,27",BRC0786B,Nome não encontrado
Colesterol,mg,"57,5","14,4",BRC0786B,Nome não encontrado
Ácidos graxos saturados,g,"1,76","0,44",BRC0786B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"2,67","0,67",BRC0786B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"4,35","1,09",BRC0786B,Nome não encontrado
Ácidos graxos trans,g,"0,03","0,01",BRC0786B,Nome não encontrado
Cálcio,mg,"54,8","13,7",BRC0786B,Nome não encontrado
Ferro,mg,"1,28","0,32",BRC0786B,Nome não encontrado
Sódio,mg,"96,5","24,1",BRC0786B,Nome não encontrado
Magnésio,mg,"25,8","6,46",BRC0786B,Nome não encontrado
Fósforo,mg,"56,6","14,2",BRC0786B,Nome não encontrado
Potássio,mg,285,"71,3",BRC0786B,Nome não encontrado
Manganês,mg,"0,23","0,06",BRC0786B,Nome não encontrado
Zinco,mg,"0,52","0,13",BRC0786B,Nome não encontrado
Cobre,mg,"0,06","0,02",BRC0786B,Nome não encontrado
Selênio,mcg,"3,37","0,84",BRC0786B,Nome não encontrado
Vitamina A (RE),mcg,199,"50,0",BRC0786B,Nome não encontrado
Vitamina A (RAE),mcg,113,"28,3",BRC0786B,Nome não encontrado
Vitamina D,mcg,"0,30","0,08",BRC0786B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,88","0,22",BRC0786B,Nome não encontrado
Tiamina,mg,"0,02","0,00",BRC0786B,Nome não encontrado
Riboflavina,mg,"0,09","0,02",BRC0786B,Nome não encontrado
Niacina,mg,"0,12","0,03",BRC0786B,Nome não encontrado
Vitamina B6,mg,"0,43","0,11",BRC0786B,Nome não encontrado
Vitamina B12,mcg,"0,13","0,03",BRC0786B,Nome não encontrado
Vitamina C,mg,"1,97","0,49",BRC0786B,Nome não encontrado
Equivalente de folato,mcg,"31,3","7,81",BRC0786B,Nome não encontrado
Sal de adição,g,"0,32","0,08",BRC0786B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0786B,Nome não encontrado
Gordura de adição,g,-,-,BRC0786B,Nome não encontrado
Proteína vegetal,g,-,-,BRC0786B,Nome não encontrado
Proteína animal,g,-,-,BRC0786B,Nome não encontrado
