componente,unidade,Valor por 100g,codigo_alimento,nome_alimento
Energia,kJ,609,BRC0508E,Nome não encontrado
Energia,kcal,144,BRC0508E,Nome não encontrado
Umidade,g,"67,0",BRC0508E,Nome não encontrado
Carboidrato total,g,"0,00",BRC0508E,Nome não encontrado
Carboidrato disponível,g,"0,00",BRC0508E,Nome não encontrado
Proteína,g,"27,8",BRC0508E,Nome não encontrado
Lipídios,g,"3,69",BRC0508E,Nome não encontrado
Fibra alimentar,g,"0,00",BRC0508E,Nome não encontrado
Álcool,g,"0,00",BRC0508E,Nome não encontrado
Cinzas,g,"1,49",BRC0508E,Nome não encontrado
Colesterol,mg,"46,9",BRC0508E,Nome não encontrado
Ácidos graxos saturados,g,"0,54",BRC0508E,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,06",BRC0508E,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,88",BRC0508E,Nome não encontrado
Ácidos graxos trans,g,"0,03",BRC0508E,Nome não encontrado
Cálcio,mg,"17,7",BRC0508E,Nome não encontrado
Ferro,mg,traços,BRC0508E,Nome não encontrado
Sódio,mg,"86,6",BRC0508E,Nome não encontrado
Magnésio,mg,"34,2",BRC0508E,Nome não encontrado
Fósforo,mg,229,BRC0508E,Nome não encontrado
Potássio,mg,358,BRC0508E,Nome não encontrado
Manganês,mg,"0,03",BRC0508E,Nome não encontrado
Zinco,mg,"0,86",BRC0508E,Nome não encontrado
Cobre,mg,"0,08",BRC0508E,Nome não encontrado
Selênio,mcg,,BRC0508E,Nome não encontrado
Vitamina A (RE),mcg,traços,BRC0508E,Nome não encontrado
Vitamina A (RAE),mcg,traços,BRC0508E,Nome não encontrado
Vitamina D,mcg,,BRC0508E,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,,BRC0508E,Nome não encontrado
Tiamina,mg,"0,04",BRC0508E,Nome não encontrado
Riboflavina,mg,"0,06",BRC0508E,Nome não encontrado
Niacina,mg,"3,31",BRC0508E,Nome não encontrado
Vitamina B6,mg,"0,16",BRC0508E,Nome não encontrado
Vitamina B12,mcg,"1,75",BRC0508E,Nome não encontrado
Vitamina C,mg,"0,00",BRC0508E,Nome não encontrado
Equivalente de folato,mcg,,BRC0508E,Nome não encontrado
Sal de adição,g,"0,00",BRC0508E,Nome não encontrado
Açúcar de adição,g,"0,00",BRC0508E,Nome não encontrado
Gordura de adição,g,"0,00",BRC0508E,Nome não encontrado
Proteína vegetal,g,"0,00",BRC0508E,Nome não encontrado
Proteína animal,g,"27,8",BRC0508E,Nome não encontrado
