componente,unidade,Valor por 100g,Colher sopa rasa (15 g),codigo_alimento,nome_alimento
Energia,kJ,1313,196,BRC0180K,Nome não encontrado
Energia,kcal,309,46,BRC0180K,Nome não encontrado
Umidade,g,"22,8","3,42",BRC0180K,Nome não encontrado
Carboidrato total,g,"76,8","11,5",BRC0180K,Nome não encontrado
Carboidrato disponível,g,"76,8","11,5",BRC0180K,Nome não encontrado
Proteína,g,"0,00","0,00",BRC0180K,Nome não encontrado
Lipídios,g,"0,20","0,03",BRC0180K,Nome não encontrado
Fibra alimentar,g,"0,00","0,00",BRC0180K,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0180K,Nome não encontrado
Cinzas,g,"0,20","0,03",BRC0180K,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0180K,Nome não encontrado
Ácidos graxos saturados,g,"0,00","0,00",BRC0180K,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,00","0,00",BRC0180K,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,00","0,00",BRC0180K,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00",BRC0180K,Nome não encontrado
Cálcio,mg,"13,0","1,95",BRC0180K,Nome não encontrado
Ferro,mg,"0,00","0,00",BRC0180K,Nome não encontrado
Sódio,mg,"62,0","9,30",BRC0180K,Nome não encontrado
Magnésio,mg,"1,00","0,15",BRC0180K,Nome não encontrado
Fósforo,mg,"0,00","0,00",BRC0180K,Nome não encontrado
Potássio,mg,"1,00","0,15",BRC0180K,Nome não encontrado
Manganês,mg,"0,00","0,00",BRC0180K,Nome não encontrado
Zinco,mg,"0,44","0,07",BRC0180K,Nome não encontrado
Cobre,mg,"0,00","0,00",BRC0180K,Nome não encontrado
Selênio,mcg,"0,70","0,11",BRC0180K,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00",BRC0180K,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00",BRC0180K,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0180K,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,00","0,00",BRC0180K,Nome não encontrado
Tiamina,mg,"0,06","0,01",BRC0180K,Nome não encontrado
Riboflavina,mg,"0,00","0,00",BRC0180K,Nome não encontrado
Niacina,mg,"0,00","0,00",BRC0180K,Nome não encontrado
Vitamina B6,mg,"0,00","0,00",BRC0180K,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0180K,Nome não encontrado
Vitamina C,mg,"0,00","0,00",BRC0180K,Nome não encontrado
Equivalente de folato,mcg,"0,00","0,00",BRC0180K,Nome não encontrado
Sal de adição,g,,,BRC0180K,Nome não encontrado
Açúcar de adição,g,,,BRC0180K,Nome não encontrado
Gordura de adição,g,,,BRC0180K,Nome não encontrado
Proteína vegetal,g,"0,00","0,00",BRC0180K,Nome não encontrado
Proteína animal,g,"0,00","0,00",BRC0180K,Nome não encontrado
