componente,unidade,Valor por 100g,Colher sopa cheia (15 g),Colher sopa rasa (10 g),codigo_alimento,nome_alimento
Energia,kJ,171,25,17,BRC0223B,Nome não encontrado
Energia,kcal,41,6,4,BRC0223B,Nome não encontrado
Umidade,g,"90,8","13,6","9,08",BRC0223B,Nome não encontrado
Carboidrato total,g,"4,95","0,74","0,49",BRC0223B,Nome não encontrado
Carboidrato disponível,g,"1,89","0,28","0,19",BRC0223B,Nome não encontrado
Proteína,g,"1,29","0,19","0,13",BRC0223B,Nome não encontrado
Lipídios,g,"2,51","0,38","0,25",BRC0223B,Nome não encontrado
Fibra alimentar,g,"3,06","0,46","0,31",BRC0223B,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0223B,Nome não encontrado
Cinzas,g,"0,41","0,06","0,04",BRC0223B,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00",BRC0223B,Nome não encontrado
Ácidos graxos saturados,g,"0,39","0,06","0,04",BRC0223B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,57","0,09","0,06",BRC0223B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"1,46","0,22","0,15",BRC0223B,Nome não encontrado
Ácidos graxos trans,g,"0,01","0,00","0,00",BRC0223B,Nome não encontrado
Cálcio,mg,"76,5","11,5","7,65",BRC0223B,Nome não encontrado
Ferro,mg,"0,20","0,03","0,02",BRC0223B,Nome não encontrado
Sódio,mg,"0,48","0,07","0,05",BRC0223B,Nome não encontrado
Magnésio,mg,"21,5","3,23","2,15",BRC0223B,Nome não encontrado
Fósforo,mg,"36,1","5,41","3,61",BRC0223B,Nome não encontrado
Potássio,mg,"89,3","13,4","8,93",BRC0223B,Nome não encontrado
Manganês,mg,"0,30","0,05","0,03",BRC0223B,Nome não encontrado
Zinco,mg,"0,32","0,05","0,03",BRC0223B,Nome não encontrado
Cobre,mg,"0,12","0,02","0,01",BRC0223B,Nome não encontrado
Selênio,mcg,"0,19","0,03","0,02",BRC0223B,Nome não encontrado
Vitamina A (RE),mcg,"34,2","5,12","3,42",BRC0223B,Nome não encontrado
Vitamina A (RAE),mcg,"17,1","2,56","1,71",BRC0223B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0223B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,44","0,07","0,04",BRC0223B,Nome não encontrado
Tiamina,mg,"0,05","0,01","0,00",BRC0223B,Nome não encontrado
Riboflavina,mg,traços,traços,traços,BRC0223B,Nome não encontrado
Niacina,mg,traços,traços,traços,BRC0223B,Nome não encontrado
Vitamina B6,mg,"0,01","0,00","0,00",BRC0223B,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC0223B,Nome não encontrado
Vitamina C,mg,"2,61","0,39","0,26",BRC0223B,Nome não encontrado
Equivalente de folato,mcg,"41,9","6,28","4,19",BRC0223B,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0223B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0223B,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0223B,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0223B,Nome não encontrado
Proteína animal,g,-,-,-,BRC0223B,Nome não encontrado
