componente,unidade,Valor por 100g,Colher servir cheia (70 g),Colher sopa cheia (38 g),codigo_alimento,nome_alimento
Energia,kJ,410,287,155,BRC0132B,Nome não encontrado
Energia,kcal,99,69,37,BRC0132B,Nome não encontrado
Umidade,g,"82,0","57,4","31,2",BRC0132B,Nome não encontrado
Carboidrato total,g,"8,90","6,23","3,38",BRC0132B,Nome não encontrado
Carboidrato disponível,g,"6,71","4,69","2,55",BRC0132B,Nome não encontrado
Proteína,g,"1,05","0,74","0,40",BRC0132B,Nome não encontrado
Lipídios,g,"7,04","4,93","2,67",BRC0132B,Nome não encontrado
Fibra alimentar,g,"2,22","1,55","0,84",BRC0132B,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0132B,Nome não encontrado
Cinzas,g,"0,95","0,67","0,36",BRC0132B,Nome não encontrado
Colesterol,mg,"7,20","5,04","2,74",BRC0132B,Nome não encontrado
Ácidos graxos saturados,g,"1,09","0,77","0,42",BRC0132B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,77","1,24","0,67",BRC0132B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"3,82","2,67","1,45",BRC0132B,Nome não encontrado
Ácidos graxos trans,g,"0,01","0,01","0,00",BRC0132B,Nome não encontrado
Cálcio,mg,"12,1","8,49","4,61",BRC0132B,Nome não encontrado
Ferro,mg,"0,23","0,16","0,09",BRC0132B,Nome não encontrado
Sódio,mg,228,159,"86,8",BRC0132B,Nome não encontrado
Magnésio,mg,"8,71","6,10","3,31",BRC0132B,Nome não encontrado
Fósforo,mg,"22,3","15,6","8,46",BRC0132B,Nome não encontrado
Potássio,mg,141,"98,9","53,7",BRC0132B,Nome não encontrado
Manganês,mg,"0,10","0,07","0,04",BRC0132B,Nome não encontrado
Zinco,mg,"0,16","0,11","0,06",BRC0132B,Nome não encontrado
Cobre,mg,"0,04","0,02","0,01",BRC0132B,Nome não encontrado
Selênio,mcg,,,,BRC0132B,Nome não encontrado
Vitamina A (RE),mcg,283,198,107,BRC0132B,Nome não encontrado
Vitamina A (RAE),mcg,141,"98,7","53,6",BRC0132B,Nome não encontrado
Vitamina D,mcg,,,,BRC0132B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,,,,BRC0132B,Nome não encontrado
Tiamina,mg,"0,04","0,03","0,01",BRC0132B,Nome não encontrado
Riboflavina,mg,traços,traços,traços,BRC0132B,Nome não encontrado
Niacina,mg,traços,traços,traços,BRC0132B,Nome não encontrado
Vitamina B6,mg,"0,04","0,03","0,02",BRC0132B,Nome não encontrado
Vitamina B12,mcg,,,,BRC0132B,Nome não encontrado
Vitamina C,mg,traços,traços,traços,BRC0132B,Nome não encontrado
Equivalente de folato,mcg,,,,BRC0132B,Nome não encontrado
Sal de adição,g,,,,BRC0132B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0132B,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0132B,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0132B,Nome não encontrado
Proteína animal,g,-,-,-,BRC0132B,Nome não encontrado
