componente,unidade,Valor por 100g,Colher café cheia (3.5 g),Colher café rasa (2 g),Colher chá cheia (8 g),Colher chá rasa (3 g),Colher sobremesa cheia (21 g),Colher sobremesa rasa (11 g),Colher sopa cheia (22 g),Colher sopa rasa (17 g),codigo_alimento,nome_alimento
Energia,kJ,486,17,9,38,14,102,53,106,82,BRC0469E,Nome não encontrado
Energia,kcal,118,4,2,9,3,24,12,25,20,BRC0469E,Nome não encontrado
Umidade,g,"42,2","1,48","0,84","3,37","1,27","8,86","4,64","9,28","7,17",BRC0469E,Nome não encontrado
Carboidrato total,g,"6,42","0,22","0,13","0,51","0,19","1,35","0,71","1,41","1,09",BRC0469E,Nome não encontrado
Carboidrato disponível,g,"5,90","0,21","0,12","0,47","0,18","1,24","0,65","1,30","1,00",BRC0469E,Nome não encontrado
Proteína,g,"0,65","0,02","0,01","0,05","0,02","0,14","0,07","0,14","0,11",BRC0469E,Nome não encontrado
Lipídios,g,"10,1","0,35","0,20","0,81","0,30","2,12","1,11","2,22","1,72",BRC0469E,Nome não encontrado
Fibra alimentar,g,"0,52","0,02","0,01","0,04","0,02","0,11","0,06","0,12","0,09",BRC0469E,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0469E,Nome não encontrado
Cinzas,g,"1,49","0,05","0,03","0,12","0,04","0,31","0,16","0,33","0,25",BRC0469E,Nome não encontrado
Colesterol,mg,"13,9","0,48","0,28","1,11","0,42","2,91","1,52","3,05","2,36",BRC0469E,Nome não encontrado
Ácidos graxos saturados,g,"1,35","0,05","0,03","0,11","0,04","0,28","0,15","0,30","0,23",BRC0469E,Nome não encontrado
Ácidos graxos monoinsaturados,g,"2,10","0,07","0,04","0,17","0,06","0,44","0,23","0,46","0,36",BRC0469E,Nome não encontrado
Ácidos graxos poliinsaturados,g,"5,05","0,18","0,10","0,40","0,15","1,06","0,55","1,11","0,86",BRC0469E,Nome não encontrado
Ácidos graxos trans,g,"0,06","0,00","0,00","0,00","0,00","0,01","0,01","0,01","0,01",BRC0469E,Nome não encontrado
Cálcio,mg,"13,5","0,47","0,27","1,08","0,40","2,83","1,48","2,97","2,29",BRC0469E,Nome não encontrado
Ferro,mg,"0,24","0,01","0,00","0,02","0,01","0,05","0,03","0,05","0,04",BRC0469E,Nome não encontrado
Sódio,mg,459,"16,1","9,20","36,8","13,8","96,6","50,6",101,"78,2",BRC0469E,Nome não encontrado
Magnésio,mg,"4,87","0,17","0,10","0,39","0,15","1,02","0,54","1,07","0,83",BRC0469E,Nome não encontrado
Fósforo,mg,"15,8","0,55","0,32","1,27","0,48","3,33","1,74","3,48","2,69",BRC0469E,Nome não encontrado
Potássio,mg,"88,3","3,09","1,77","7,06","2,65","18,5","9,71","19,4","15,0",BRC0469E,Nome não encontrado
Manganês,mg,"0,12","0,00","0,00","0,01","0,00","0,02","0,01","0,03","0,02",BRC0469E,Nome não encontrado
Zinco,mg,"0,12","0,00","0,00","0,01","0,00","0,02","0,01","0,03","0,02",BRC0469E,Nome não encontrado
Cobre,mg,"0,03","0,00","0,00","0,00","0,00","0,01","0,00","0,01","0,01",BRC0469E,Nome não encontrado
Selênio,mcg,"0,81","0,03","0,02","0,06","0,02","0,17","0,09","0,18","0,14",BRC0469E,Nome não encontrado
Vitamina A (RE),mcg,"38,6","1,35","0,77","3,09","1,16","8,11","4,25","8,50","6,57",BRC0469E,Nome não encontrado
Vitamina A (RAE),mcg,"20,7","0,72","0,41","1,65","0,62","4,34","2,27","4,55","3,51",BRC0469E,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0469E,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,57","0,02","0,01","0,05","0,02","0,12","0,06","0,13","0,10",BRC0469E,Nome não encontrado
Tiamina,mg,"0,02","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0469E,Nome não encontrado
Riboflavina,mg,"0,03","0,00","0,00","0,00","0,00","0,01","0,00","0,01","0,01",BRC0469E,Nome não encontrado
Niacina,mg,"0,12","0,00","0,00","0,01","0,00","0,02","0,01","0,03","0,02",BRC0469E,Nome não encontrado
Vitamina B6,mg,"0,06","0,00","0,00","0,00","0,00","0,01","0,01","0,01","0,01",BRC0469E,Nome não encontrado
Vitamina B12,mcg,"0,04","0,00","0,00","0,00","0,00","0,01","0,00","0,01","0,01",BRC0469E,Nome não encontrado
Vitamina C,mg,"4,23","0,15","0,08","0,34","0,13","0,89","0,47","0,93","0,72",BRC0469E,Nome não encontrado
Equivalente de folato,mcg,"11,1","0,39","0,22","0,89","0,33","2,33","1,22","2,44","1,89",BRC0469E,Nome não encontrado
Sal de adição,g,"0,33","0,01","0,01","0,03","0,01","0,07","0,04","0,07","0,06",BRC0469E,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0469E,Nome não encontrado
Gordura de adição,g,-,-,-,-,-,-,-,-,-,BRC0469E,Nome não encontrado
Proteína vegetal,g,-,-,-,-,-,-,-,-,-,BRC0469E,Nome não encontrado
Proteína animal,g,-,-,-,-,-,-,-,-,-,BRC0469E,Nome não encontrado
