componente,unidade,Valor por 100g,Colher sopa cheia (22 g),Colher sopa rasa (14 g),codigo_alimento,nome_alimento
Energia,kJ,1138,250,159,BRC0015T,Nome não encontrado
Energia,kcal,272,59,38,BRC0015T,Nome não encontrado
Umidade,g,"12,6","2,78","1,77",BRC0015T,Nome não encontrado
Carboidrato total,g,"60,0","13,2","8,40",BRC0015T,Nome não encontrado
Carboidrato disponível,g,"26,1","5,75","3,66",BRC0015T,Nome não encontrado
Proteína,g,"22,2","4,88","3,10",BRC0015T,Nome não encontrado
Lipídios,g,"1,24","0,27","0,17",BRC0015T,Nome não encontrado
Fibra alimentar,g,"33,8","7,45","4,74",BRC0015T,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0015T,Nome não encontrado
Cinzas,g,"3,97","0,87","0,56",BRC0015T,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00",BRC0015T,Nome não encontrado
Ácidos graxos saturados,g,"0,30","0,07","0,04",BRC0015T,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,20","0,04","0,03",BRC0015T,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,80","0,18","0,11",BRC0015T,Nome não encontrado
Ácidos graxos trans,g,,,,BRC0015T,Nome não encontrado
Cálcio,mg,120,"26,5","16,9",BRC0015T,Nome não encontrado
Ferro,mg,"6,92","1,52","0,97",BRC0015T,Nome não encontrado
Sódio,mg,"9,76","2,15","1,37",BRC0015T,Nome não encontrado
Magnésio,mg,161,"35,6","22,7",BRC0015T,Nome não encontrado
Fósforo,mg,393,"86,6","55,1",BRC0015T,Nome não encontrado
Potássio,mg,1221,268,170,BRC0015T,Nome não encontrado
Manganês,mg,"1,34","0,30","0,19",BRC0015T,Nome não encontrado
Zinco,mg,"3,29","0,72","0,46",BRC0015T,Nome não encontrado
Cobre,mg,"1,04","0,23","0,15",BRC0015T,Nome não encontrado
Selênio,mcg,"0,10","0,02","0,01",BRC0015T,Nome não encontrado
Vitamina A (RE),mcg,,,,BRC0015T,Nome não encontrado
Vitamina A (RAE),mcg,,,,BRC0015T,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0015T,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,23","0,05","0,03",BRC0015T,Nome não encontrado
Tiamina,mg,"0,26","0,06","0,04",BRC0015T,Nome não encontrado
Riboflavina,mg,traços,traços,traços,BRC0015T,Nome não encontrado
Niacina,mg,traços,traços,traços,BRC0015T,Nome não encontrado
Vitamina B6,mg,"0,08","0,02","0,01",BRC0015T,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC0015T,Nome não encontrado
Vitamina C,mg,traços,traços,traços,BRC0015T,Nome não encontrado
Equivalente de folato,mcg,449,"98,9","63,0",BRC0015T,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0015T,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0015T,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00",BRC0015T,Nome não encontrado
Proteína vegetal,g,"22,2","4,88","3,10",BRC0015T,Nome não encontrado
Proteína animal,g,"0,00","0,00","0,00",BRC0015T,Nome não encontrado
