componente,unidade,Valor por 100g,Colher servir cheia (55 g),Colher servir rasa (40 g),codigo_alimento,nome_alimento
Energia,kJ,547,300,218,BRC0457A,Nome não encontrado
Energia,kcal,129,71,51,BRC0457A,Nome não encontrado
Umidade,g,"67,5","37,1","27,0",BRC0457A,Nome não encontrado
Carboidrato total,g,"29,5","16,2","11,8",BRC0457A,Nome não encontrado
Carboidrato disponível,g,"27,9","15,4","11,2",BRC0457A,Nome não encontrado
Proteína,g,"1,52","0,84","0,61",BRC0457A,Nome não encontrado
Lipídios,g,"0,91","0,50","0,37",BRC0457A,Nome não encontrado
Fibra alimentar,g,"1,52","0,84","0,61",BRC0457A,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0457A,Nome não encontrado
Cinzas,g,"0,62","0,34","0,25",BRC0457A,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00",BRC0457A,Nome não encontrado
Ácidos graxos saturados,g,"0,20","0,11","0,08",BRC0457A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,20","0,11","0,08",BRC0457A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,42","0,23","0,17",BRC0457A,Nome não encontrado
Ácidos graxos trans,g,,,,BRC0457A,Nome não encontrado
Cálcio,mg,"12,2","6,69","4,87",BRC0457A,Nome não encontrado
Ferro,mg,"0,20","0,11","0,08",BRC0457A,Nome não encontrado
Sódio,mg,"95,1","52,3","38,0",BRC0457A,Nome não encontrado
Magnésio,mg,"25,1","13,8","10,1",BRC0457A,Nome não encontrado
Fósforo,mg,"22,3","12,3","8,92",BRC0457A,Nome não encontrado
Potássio,mg,"65,7","36,1","26,3",BRC0457A,Nome não encontrado
Manganês,mg,"0,53","0,29","0,21",BRC0457A,Nome não encontrado
Zinco,mg,"0,34","0,19","0,14",BRC0457A,Nome não encontrado
Cobre,mg,"0,08","0,05","0,03",BRC0457A,Nome não encontrado
Selênio,mcg,"1,06","0,58","0,42",BRC0457A,Nome não encontrado
Vitamina A (RE),mcg,"5,09","2,80","2,04",BRC0457A,Nome não encontrado
Vitamina A (RAE),mcg,"2,54","1,40","1,02",BRC0457A,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0457A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,17","0,09","0,07",BRC0457A,Nome não encontrado
Tiamina,mg,"0,03","0,02","0,01",BRC0457A,Nome não encontrado
Riboflavina,mg,traços,traços,traços,BRC0457A,Nome não encontrado
Niacina,mg,traços,traços,traços,BRC0457A,Nome não encontrado
Vitamina B6,mg,"0,02","0,01","0,01",BRC0457A,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC0457A,Nome não encontrado
Vitamina C,mg,"5,72","3,15","2,29",BRC0457A,Nome não encontrado
Equivalente de folato,mcg,"6,55","3,60","2,62",BRC0457A,Nome não encontrado
Sal de adição,g,"0,47","0,26","0,19",BRC0457A,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0457A,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0457A,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0457A,Nome não encontrado
Proteína animal,g,-,-,-,BRC0457A,Nome não encontrado
