componente,unidade,Valor por 100g,codigo_alimento,nome_alimento
Energia,kJ,235,BRC0288C,Nome não encontrado
Energia,kcal,56,BRC0288C,Nome não encontrado
Umidade,g,"85,0",BRC0288C,Nome não encontrado
Carboidrato total,g,"11,6",BRC0288C,Nome não encontrado
Carboidrato disponível,g,"7,71",BRC0288C,Nome não encontrado
Proteína,g,"1,01",BRC0288C,Nome não encontrado
Lipídios,g,"1,51",BRC0288C,Nome não encontrado
Fibra alimentar,g,"3,40",BRC0288C,Nome não encontrado
Álcool,g,"0,00",BRC0288C,Nome não encontrado
Cinzas,g,"0,69",BRC0288C,Nome não encontrado
Colesterol,mg,"0,00",BRC0288C,Nome não encontrado
Ácidos graxos saturados,g,,BRC0288C,Nome não encontrado
Ácidos graxos monoinsaturados,g,,BRC0288C,Nome não encontrado
Ácidos graxos poliinsaturados,g,,BRC0288C,Nome não encontrado
Ácidos graxos trans,g,"0,00",BRC0288C,Nome não encontrado
Cálcio,mg,"10,00",BRC0288C,Nome não encontrado
Ferro,mg,"2,81",BRC0288C,Nome não encontrado
Sódio,mg,,BRC0288C,Nome não encontrado
Magnésio,mg,"20,0",BRC0288C,Nome não encontrado
Fósforo,mg,"20,0",BRC0288C,Nome não encontrado
Potássio,mg,270,BRC0288C,Nome não encontrado
Manganês,mg,"0,65",BRC0288C,Nome não encontrado
Zinco,mg,"0,23",BRC0288C,Nome não encontrado
Cobre,mg,"0,06",BRC0288C,Nome não encontrado
Selênio,mcg,,BRC0288C,Nome não encontrado
Vitamina A (RE),mcg,"14,2",BRC0288C,Nome não encontrado
Vitamina A (RAE),mcg,"7,08",BRC0288C,Nome não encontrado
Vitamina D,mcg,,BRC0288C,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,54",BRC0288C,Nome não encontrado
Tiamina,mg,"0,04",BRC0288C,Nome não encontrado
Riboflavina,mg,"0,48",BRC0288C,Nome não encontrado
Niacina,mg,"0,31",BRC0288C,Nome não encontrado
Vitamina B6,mg,"0,03",BRC0288C,Nome não encontrado
Vitamina B12,mcg,"0,00",BRC0288C,Nome não encontrado
Vitamina C,mg,290,BRC0288C,Nome não encontrado
Equivalente de folato,mcg,"28,0",BRC0288C,Nome não encontrado
Sal de adição,g,"0,00",BRC0288C,Nome não encontrado
Açúcar de adição,g,"0,00",BRC0288C,Nome não encontrado
Gordura de adição,g,"0,00",BRC0288C,Nome não encontrado
Proteína vegetal,g,"0,88",BRC0288C,Nome não encontrado
Proteína animal,g,"0,00",BRC0288C,Nome não encontrado
