componente,unidade,Valor por 100g,Colher sopa cheia (36 g),Colher sopa rasa (16 g),Escumadeira cheia (100 g),Escumadeira rasa (70 g),codigo_alimento,nome_alimento
Energia,kJ,131,47,21,131,91,BRC0270B,Nome não encontrado
Energia,kcal,32,11,5,31,22,BRC0270B,Nome não encontrado
Umidade,g,"91,2","32,8","14,6","91,2","63,9",BRC0270B,Nome não encontrado
Carboidrato total,g,"4,78","1,72","0,76","4,78","3,34",BRC0270B,Nome não encontrado
Carboidrato disponível,g,"2,28","0,82","0,36","2,28","1,59",BRC0270B,Nome não encontrado
Proteína,g,"1,38","0,50","0,22","1,38","0,97",BRC0270B,Nome não encontrado
Lipídios,g,"1,33","0,48","0,21","1,33","0,93",BRC0270B,Nome não encontrado
Fibra alimentar,g,"2,50","0,90","0,40","2,50","1,75",BRC0270B,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00","0,00",BRC0270B,Nome não encontrado
Cinzas,g,"1,27","0,46","0,20","1,27","0,89",BRC0270B,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00","0,00","0,00",BRC0270B,Nome não encontrado
Ácidos graxos saturados,g,"0,21","0,08","0,03","0,21","0,15",BRC0270B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,29","0,11","0,05","0,29","0,21",BRC0270B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,73","0,26","0,12","0,73","0,51",BRC0270B,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00","0,00","0,00",BRC0270B,Nome não encontrado
Cálcio,mg,"8,88","3,20","1,42","8,88","6,22",BRC0270B,Nome não encontrado
Ferro,mg,"0,18","0,07","0,03","0,18","0,13",BRC0270B,Nome não encontrado
Sódio,mg,280,101,"44,9",280,196,BRC0270B,Nome não encontrado
Magnésio,mg,"5,28","1,90","0,84","5,28","3,70",BRC0270B,Nome não encontrado
Fósforo,mg,"15,6","5,61","2,49","15,6","10,9",BRC0270B,Nome não encontrado
Potássio,mg,133,"47,9","21,3",133,"93,2",BRC0270B,Nome não encontrado
Manganês,mg,"0,09","0,03","0,01","0,09","0,06",BRC0270B,Nome não encontrado
Zinco,mg,"0,13","0,05","0,02","0,13","0,09",BRC0270B,Nome não encontrado
Cobre,mg,"0,07","0,03","0,01","0,07","0,05",BRC0270B,Nome não encontrado
Selênio,mcg,"0,91","0,33","0,15","0,91","0,64",BRC0270B,Nome não encontrado
Vitamina A (RE),mcg,296,106,"47,4",296,207,BRC0270B,Nome não encontrado
Vitamina A (RAE),mcg,148,"53,4","23,7",148,103,BRC0270B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00","0,00",BRC0270B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"1,40","0,51","0,22","1,40","0,98",BRC0270B,Nome não encontrado
Tiamina,mg,"0,03","0,01","0,00","0,03","0,02",BRC0270B,Nome não encontrado
Riboflavina,mg,"0,01","0,00","0,00","0,01","0,01",BRC0270B,Nome não encontrado
Niacina,mg,"0,01","0,00","0,00","0,01","0,01",BRC0270B,Nome não encontrado
Vitamina B6,mg,"0,06","0,02","0,01","0,06","0,04",BRC0270B,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00","0,00","0,00",BRC0270B,Nome não encontrado
Vitamina C,mg,"10,3","3,69","1,64","10,3","7,18",BRC0270B,Nome não encontrado
Equivalente de folato,mcg,"9,60","3,46","1,54","9,60","6,72",BRC0270B,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00","0,00",BRC0270B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00","0,00",BRC0270B,Nome não encontrado
Gordura de adição,g,-,-,-,-,-,BRC0270B,Nome não encontrado
Proteína vegetal,g,-,-,-,-,-,BRC0270B,Nome não encontrado
Proteína animal,g,-,-,-,-,-,BRC0270B,Nome não encontrado
