componente,unidade,Valor por 100g,Xícara chá (30 g),codigo_alimento,nome_alimento
Energia,kJ,137,41,BRC0069B,Nome não encontrado
Energia,kcal,33,9,BRC0069B,Nome não encontrado
Umidade,g,"87,6","26,3",BRC0069B,Nome não encontrado
Carboidrato total,g,"5,97","1,79",BRC0069B,Nome não encontrado
Carboidrato disponível,g,"1,51","0,45",BRC0069B,Nome não encontrado
Proteína,g,"3,20","0,96",BRC0069B,Nome não encontrado
Lipídios,g,"0,59","0,18",BRC0069B,Nome não encontrado
Fibra alimentar,g,"4,47","1,34",BRC0069B,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0069B,Nome não encontrado
Cinzas,g,"2,62","0,79",BRC0069B,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0069B,Nome não encontrado
Ácidos graxos saturados,g,"0,10","0,03",BRC0069B,Nome não encontrado
Ácidos graxos monoinsaturados,g,traços,traços,BRC0069B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,30","0,09",BRC0069B,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00",BRC0069B,Nome não encontrado
Cálcio,mg,455,136,BRC0069B,Nome não encontrado
Ferro,mg,"4,46","1,34",BRC0069B,Nome não encontrado
Sódio,mg,"13,7","4,10",BRC0069B,Nome não encontrado
Magnésio,mg,197,"59,2",BRC0069B,Nome não encontrado
Fósforo,mg,"77,3","23,2",BRC0069B,Nome não encontrado
Potássio,mg,278,"83,7",BRC0069B,Nome não encontrado
Manganês,mg,"0,89","0,27",BRC0069B,Nome não encontrado
Zinco,mg,"6,03","1,81",BRC0069B,Nome não encontrado
Cobre,mg,"0,37","0,11",BRC0069B,Nome não encontrado
Selênio,mcg,"1,34","0,40",BRC0069B,Nome não encontrado
Vitamina A (RE),mcg,1939,581,BRC0069B,Nome não encontrado
Vitamina A (RAE),mcg,969,290,BRC0069B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0069B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,,,BRC0069B,Nome não encontrado
Tiamina,mg,traços,traços,BRC0069B,Nome não encontrado
Riboflavina,mg,"0,10","0,03",BRC0069B,Nome não encontrado
Niacina,mg,traços,traços,BRC0069B,Nome não encontrado
Vitamina B6,mg,"0,11","0,03",BRC0069B,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0069B,Nome não encontrado
Vitamina C,mg,"5,36","1,61",BRC0069B,Nome não encontrado
Equivalente de folato,mcg,126,"38,0",BRC0069B,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0069B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0069B,Nome não encontrado
Gordura de adição,g,"0,00","0,00",BRC0069B,Nome não encontrado
Proteína vegetal,g,"3,20","0,96",BRC0069B,Nome não encontrado
Proteína animal,g,"0,00","0,00",BRC0069B,Nome não encontrado
