componente,unidade,Valor por 100g,Colher servir cheia (100 g),codigo_alimento,nome_alimento
Energia,kJ,474,474,BRC0560A,Nome não encontrado
Energia,kcal,112,112,BRC0560A,Nome não encontrado
Umidade,g,"72,8","72,8",BRC0560A,Nome não encontrado
Carboidrato total,g,"20,0","20,0",BRC0560A,Nome não encontrado
Carboidrato disponível,g,"18,0","18,0",BRC0560A,Nome não encontrado
Proteína,g,"3,77","3,77",BRC0560A,Nome não encontrado
Lipídios,g,"2,39","2,39",BRC0560A,Nome não encontrado
Fibra alimentar,g,"1,96","1,96",BRC0560A,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0560A,Nome não encontrado
Cinzas,g,"1,08","1,08",BRC0560A,Nome não encontrado
Colesterol,mg,"9,98","9,98",BRC0560A,Nome não encontrado
Ácidos graxos saturados,g,"0,59","0,59",BRC0560A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,61","0,61",BRC0560A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"1,10","1,10",BRC0560A,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00",BRC0560A,Nome não encontrado
Cálcio,mg,"11,3","11,3",BRC0560A,Nome não encontrado
Ferro,mg,"1,22","1,22",BRC0560A,Nome não encontrado
Sódio,mg,244,244,BRC0560A,Nome não encontrado
Magnésio,mg,"8,90","8,90",BRC0560A,Nome não encontrado
Fósforo,mg,"37,6","37,6",BRC0560A,Nome não encontrado
Potássio,mg,154,154,BRC0560A,Nome não encontrado
Manganês,mg,"0,15","0,15",BRC0560A,Nome não encontrado
Zinco,mg,"0,33","0,33",BRC0560A,Nome não encontrado
Cobre,mg,"0,08","0,08",BRC0560A,Nome não encontrado
Selênio,mcg,"1,91","1,91",BRC0560A,Nome não encontrado
Vitamina A (RE),mcg,"97,6","97,6",BRC0560A,Nome não encontrado
Vitamina A (RAE),mcg,"50,5","50,5",BRC0560A,Nome não encontrado
Vitamina D,mcg,"0,05","0,05",BRC0560A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,51","0,51",BRC0560A,Nome não encontrado
Tiamina,mg,"0,07","0,07",BRC0560A,Nome não encontrado
Riboflavina,mg,"0,01","0,01",BRC0560A,Nome não encontrado
Niacina,mg,"2,22","2,22",BRC0560A,Nome não encontrado
Vitamina B6,mg,"0,03","0,03",BRC0560A,Nome não encontrado
Vitamina B12,mcg,"0,02","0,02",BRC0560A,Nome não encontrado
Vitamina C,mg,"6,89","6,89",BRC0560A,Nome não encontrado
Equivalente de folato,mcg,"54,9","54,9",BRC0560A,Nome não encontrado
Sal de adição,g,"0,47","0,47",BRC0560A,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0560A,Nome não encontrado
Gordura de adição,g,-,-,BRC0560A,Nome não encontrado
Proteína vegetal,g,-,-,BRC0560A,Nome não encontrado
Proteína animal,g,-,-,BRC0560A,Nome não encontrado
