componente,unidade,Valor por 100g,Colher sopa rasa (13 g),codigo_alimento,nome_alimento
Energia,kJ,2239,291,BRC0013L,Nome não encontrado
Energia,kcal,543,70,BRC0013L,Nome não encontrado
Umidade,g,"30,2","3,92",BRC0013L,Nome não encontrado
Carboidrato total,g,"6,91","0,90",BRC0013L,Nome não encontrado
Carboidrato disponível,g,"5,51","0,72",BRC0013L,Nome não encontrado
Proteína,g,"3,68","0,48",BRC0013L,Nome não encontrado
Lipídios,g,"56,0","7,28",BRC0013L,Nome não encontrado
Fibra alimentar,g,"1,40","0,18",BRC0013L,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0013L,Nome não encontrado
Cinzas,g,"3,27","0,43",BRC0013L,Nome não encontrado
Colesterol,mg,122,"15,9",BRC0013L,Nome não encontrado
Ácidos graxos saturados,g,"25,3","3,29",BRC0013L,Nome não encontrado
Ácidos graxos monoinsaturados,g,"16,1","2,09",BRC0013L,Nome não encontrado
Ácidos graxos poliinsaturados,g,"10,9","1,42",BRC0013L,Nome não encontrado
Ácidos graxos trans,g,-,-,BRC0013L,Nome não encontrado
Cálcio,mg,435,"56,6",BRC0013L,Nome não encontrado
Ferro,mg,"0,50","0,06",BRC0013L,Nome não encontrado
Sódio,mg,1960,254,BRC0013L,Nome não encontrado
Magnésio,mg,"21,3","2,77",BRC0013L,Nome não encontrado
Fósforo,mg,371,"48,3",BRC0013L,Nome não encontrado
Potássio,mg,"71,0","9,23",BRC0013L,Nome não encontrado
Manganês,mg,,,BRC0013L,Nome não encontrado
Zinco,mg,"2,32","0,30",BRC0013L,Nome não encontrado
Cobre,mg,,,BRC0013L,Nome não encontrado
Selênio,mcg,,,BRC0013L,Nome não encontrado
Vitamina A (RE),mcg,,,BRC0013L,Nome não encontrado
Vitamina A (RAE),mcg,336,"43,8",BRC0013L,Nome não encontrado
Vitamina D,mcg,,,BRC0013L,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,,,BRC0013L,Nome não encontrado
Tiamina,mg,"0,01","0,00",BRC0013L,Nome não encontrado
Riboflavina,mg,"0,27","0,04",BRC0013L,Nome não encontrado
Niacina,mg,"0,06","0,01",BRC0013L,Nome não encontrado
Vitamina B6,mg,"0,04","0,01",BRC0013L,Nome não encontrado
Vitamina B12,mcg,"0,33","0,04",BRC0013L,Nome não encontrado
Vitamina C,mg,"0,95","0,12",BRC0013L,Nome não encontrado
Equivalente de folato,mcg,"9,47","1,23",BRC0013L,Nome não encontrado
Sal de adição,g,,,BRC0013L,Nome não encontrado
Açúcar de adição,g,,,BRC0013L,Nome não encontrado
Gordura de adição,g,,,BRC0013L,Nome não encontrado
Proteína vegetal,g,,,BRC0013L,Nome não encontrado
Proteína animal,g,,,BRC0013L,Nome não encontrado
