componente,unidade,Valor por 100g,codigo_alimento,nome_alimento
Energia,kJ,1040,BRC0881A,Nome não encontrado
Energia,kcal,248,BRC0881A,Nome não encontrado
Umidade,g,"47,1",BRC0881A,Nome não encontrado
Carboidrato total,g,"32,8",BRC0881A,Nome não encontrado
Carboidrato disponível,g,"30,1",BRC0881A,Nome não encontrado
Proteína,g,"8,56",BRC0881A,Nome não encontrado
Lipídios,g,"9,74",BRC0881A,Nome não encontrado
Fibra alimentar,g,"2,74",BRC0881A,Nome não encontrado
Álcool,g,"0,00",BRC0881A,Nome não encontrado
Cinzas,g,"1,75",BRC0881A,Nome não encontrado
Colesterol,mg,"22,4",BRC0881A,Nome não encontrado
Ácidos graxos saturados,g,"4,89",BRC0881A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"2,67",BRC0881A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,33",BRC0881A,Nome não encontrado
Ácidos graxos trans,g,"0,37",BRC0881A,Nome não encontrado
Cálcio,mg,150,BRC0881A,Nome não encontrado
Ferro,mg,"1,64",BRC0881A,Nome não encontrado
Sódio,mg,322,BRC0881A,Nome não encontrado
Magnésio,mg,"37,1",BRC0881A,Nome não encontrado
Fósforo,mg,125,BRC0881A,Nome não encontrado
Potássio,mg,235,BRC0881A,Nome não encontrado
Manganês,mg,"0,54",BRC0881A,Nome não encontrado
Zinco,mg,"0,94",BRC0881A,Nome não encontrado
Cobre,mg,"0,12",BRC0881A,Nome não encontrado
Selênio,mcg,"2,41",BRC0881A,Nome não encontrado
Vitamina A (RE),mcg,209,BRC0881A,Nome não encontrado
Vitamina A (RAE),mcg,132,BRC0881A,Nome não encontrado
Vitamina D,mcg,"0,05",BRC0881A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,28",BRC0881A,Nome não encontrado
Tiamina,mg,"0,17",BRC0881A,Nome não encontrado
Riboflavina,mg,"0,31",BRC0881A,Nome não encontrado
Niacina,mg,"0,79",BRC0881A,Nome não encontrado
Vitamina B6,mg,"0,30",BRC0881A,Nome não encontrado
Vitamina B12,mcg,"0,07",BRC0881A,Nome não encontrado
Vitamina C,mg,"1,26",BRC0881A,Nome não encontrado
Equivalente de folato,mcg,"70,0",BRC0881A,Nome não encontrado
Sal de adição,g,,BRC0881A,Nome não encontrado
Açúcar de adição,g,,BRC0881A,Nome não encontrado
Gordura de adição,g,-,BRC0881A,Nome não encontrado
Proteína vegetal,g,-,BRC0881A,Nome não encontrado
Proteína animal,g,-,BRC0881A,Nome não encontrado
