componente,unidade,Valor por 100g,Concha cheia (130 g),codigo_alimento,nome_alimento
Energia,kJ,34,44,BRC0731B,Nome não encontrado
Energia,kcal,8,10,BRC0731B,Nome não encontrado
Umidade,g,"97,7",127,BRC0731B,Nome não encontrado
Carboidrato total,g,"1,85","2,40",BRC0731B,Nome não encontrado
Carboidrato disponível,g,"1,47","1,92",BRC0731B,Nome não encontrado
Proteína,g,"0,27","0,35",BRC0731B,Nome não encontrado
Lipídios,g,"0,04","0,05",BRC0731B,Nome não encontrado
Fibra alimentar,g,"0,38","0,49",BRC0731B,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0731B,Nome não encontrado
Cinzas,g,"0,14","0,18",BRC0731B,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0731B,Nome não encontrado
Ácidos graxos saturados,g,"0,01","0,01",BRC0731B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,01","0,01",BRC0731B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,01","0,02",BRC0731B,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00",BRC0731B,Nome não encontrado
Cálcio,mg,"5,63","7,32",BRC0731B,Nome não encontrado
Ferro,mg,"0,10","0,13",BRC0731B,Nome não encontrado
Sódio,mg,"1,17","1,52",BRC0731B,Nome não encontrado
Magnésio,mg,"2,33","3,02",BRC0731B,Nome não encontrado
Fósforo,mg,"6,63","8,62",BRC0731B,Nome não encontrado
Potássio,mg,"37,2","48,3",BRC0731B,Nome não encontrado
Manganês,mg,"0,03","0,04",BRC0731B,Nome não encontrado
Zinco,mg,"0,09","0,12",BRC0731B,Nome não encontrado
Cobre,mg,"0,07","0,09",BRC0731B,Nome não encontrado
Selênio,mcg,"1,32","1,71",BRC0731B,Nome não encontrado
Vitamina A (RE),mcg,"78,2",101,BRC0731B,Nome não encontrado
Vitamina A (RAE),mcg,"40,1","52,2",BRC0731B,Nome não encontrado
Vitamina D,mcg,"0,04","0,05",BRC0731B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,09","0,11",BRC0731B,Nome não encontrado
Tiamina,mg,traços,traços,BRC0731B,Nome não encontrado
Riboflavina,mg,traços,traços,BRC0731B,Nome não encontrado
Niacina,mg,"0,17","0,22",BRC0731B,Nome não encontrado
Vitamina B6,mg,"0,20","0,26",BRC0731B,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0731B,Nome não encontrado
Vitamina C,mg,"0,56","0,73",BRC0731B,Nome não encontrado
Equivalente de folato,mcg,"3,74","4,87",BRC0731B,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0731B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0731B,Nome não encontrado
Gordura de adição,g,-,-,BRC0731B,Nome não encontrado
Proteína vegetal,g,-,-,BRC0731B,Nome não encontrado
Proteína animal,g,-,-,BRC0731B,Nome não encontrado
