componente,unidade,Valor por 100g,Copo americano duplo (240 mL),Copo americano pequeno (165 mL),codigo_alimento,nome_alimento
Energia,kJ,92,219,150,BRC0117C,Nome não encontrado
Energia,kcal,22,51,35,BRC0117C,Nome não encontrado
Umidade,g,"94,5",226,155,BRC0117C,Nome não encontrado
Carboidrato total,g,"4,86","11,7","8,01",BRC0117C,Nome não encontrado
Carboidrato disponível,g,"4,46","10,7","7,36",BRC0117C,Nome não encontrado
Proteína,g,"0,52","1,24","0,85",BRC0117C,Nome não encontrado
Lipídios,g,"0,10","0,24","0,17",BRC0117C,Nome não encontrado
Fibra alimentar,g,"0,40","0,95","0,65",BRC0117C,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0117C,Nome não encontrado
Cinzas,g,"0,19","0,44","0,31",BRC0117C,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00",BRC0117C,Nome não encontrado
Ácidos graxos saturados,g,"0,02","0,04","0,03",BRC0117C,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,02","0,05","0,03",BRC0117C,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,02","0,05","0,03",BRC0117C,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00",BRC0117C,Nome não encontrado
Cálcio,mg,"11,2","27,0","18,6",BRC0117C,Nome não encontrado
Ferro,mg,"0,10","0,24","0,17",BRC0117C,Nome não encontrado
Sódio,mg,"0,12","0,30","0,20",BRC0117C,Nome não encontrado
Magnésio,mg,"6,44","15,5","10,6",BRC0117C,Nome não encontrado
Fósforo,mg,"9,33","22,4","15,4",BRC0117C,Nome não encontrado
Potássio,mg,"71,6",171,118,BRC0117C,Nome não encontrado
Manganês,mg,"0,07","0,17","0,12",BRC0117C,Nome não encontrado
Zinco,mg,"0,06","0,15","0,10",BRC0117C,Nome não encontrado
Cobre,mg,"0,01","0,02","0,02",BRC0117C,Nome não encontrado
Selênio,mcg,"0,44","1,05","0,72",BRC0117C,Nome não encontrado
Vitamina A (RE),mcg,"90,9",218,149,BRC0117C,Nome não encontrado
Vitamina A (RAE),mcg,"45,4",109,"75,0",BRC0117C,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0117C,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,,,,BRC0117C,Nome não encontrado
Tiamina,mg,traços,traços,traços,BRC0117C,Nome não encontrado
Riboflavina,mg,"0,01","0,03","0,02",BRC0117C,Nome não encontrado
Niacina,mg,"0,13","0,31","0,21",BRC0117C,Nome não encontrado
Vitamina B6,mg,traços,traços,traços,BRC0117C,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC0117C,Nome não encontrado
Vitamina C,mg,282,677,465,BRC0117C,Nome não encontrado
Equivalente de folato,mcg,"3,97","9,54","6,56",BRC0117C,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0117C,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0117C,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0117C,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0117C,Nome não encontrado
Proteína animal,g,-,-,-,BRC0117C,Nome não encontrado
