componente,unidade,Valor por 100g,Porção Média (110 g),codigo_alimento,nome_alimento
Energia,kJ,821,903,BRC0671F,Nome não encontrado
Energia,kcal,196,215,BRC0671F,Nome não encontrado
Umidade,g,"61,3","67,4",BRC0671F,Nome não encontrado
Carboidrato total,g,"0,75","0,82",BRC0671F,Nome não encontrado
Carboidrato disponível,g,"0,61","0,67",BRC0671F,Nome não encontrado
Proteína,g,"27,6","30,3",BRC0671F,Nome não encontrado
Lipídios,g,"9,21","10,1",BRC0671F,Nome não encontrado
Fibra alimentar,g,"0,14","0,15",BRC0671F,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0671F,Nome não encontrado
Cinzas,g,"1,31","1,44",BRC0671F,Nome não encontrado
Colesterol,mg,"74,3","81,7",BRC0671F,Nome não encontrado
Ácidos graxos saturados,g,"3,39","3,73",BRC0671F,Nome não encontrado
Ácidos graxos monoinsaturados,g,"4,07","4,48",BRC0671F,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,87","0,95",BRC0671F,Nome não encontrado
Ácidos graxos trans,g,"0,15","0,17",BRC0671F,Nome não encontrado
Cálcio,mg,"5,65","6,21",BRC0671F,Nome não encontrado
Ferro,mg,"2,49","2,73",BRC0671F,Nome não encontrado
Sódio,mg,"87,5","96,3",BRC0671F,Nome não encontrado
Magnésio,mg,"23,9","26,3",BRC0671F,Nome não encontrado
Fósforo,mg,218,240,BRC0671F,Nome não encontrado
Potássio,mg,406,447,BRC0671F,Nome não encontrado
Manganês,mg,"0,01","0,01",BRC0671F,Nome não encontrado
Zinco,mg,"4,84","5,32",BRC0671F,Nome não encontrado
Cobre,mg,"0,08","0,09",BRC0671F,Nome não encontrado
Selênio,mcg,"2,92","3,21",BRC0671F,Nome não encontrado
Vitamina A (RE),mcg,"2,51","2,76",BRC0671F,Nome não encontrado
Vitamina A (RAE),mcg,"2,51","2,76",BRC0671F,Nome não encontrado
Vitamina D,mcg,"0,09","0,10",BRC0671F,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,41","0,45",BRC0671F,Nome não encontrado
Tiamina,mg,"0,09","0,10",BRC0671F,Nome não encontrado
Riboflavina,mg,"0,25","0,27",BRC0671F,Nome não encontrado
Niacina,mg,"3,32","3,65",BRC0671F,Nome não encontrado
Vitamina B6,mg,"0,05","0,05",BRC0671F,Nome não encontrado
Vitamina B12,mcg,"4,07","4,47",BRC0671F,Nome não encontrado
Vitamina C,mg,"0,45","0,49",BRC0671F,Nome não encontrado
Equivalente de folato,mcg,"11,0","12,1",BRC0671F,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0671F,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0671F,Nome não encontrado
Gordura de adição,g,-,-,BRC0671F,Nome não encontrado
Proteína vegetal,g,-,-,BRC0671F,Nome não encontrado
Proteína animal,g,-,-,BRC0671F,Nome não encontrado
