componente,unidade,Valor por 100g,Colher servir cheia (100 g),codigo_alimento,nome_alimento
Energia,kJ,395,395,BRC0576A,Nome não encontrado
Energia,kcal,94,93,BRC0576A,Nome não encontrado
Umidade,g,"77,3","77,3",BRC0576A,Nome não encontrado
Carboidrato total,g,"16,6","16,6",BRC0576A,Nome não encontrado
Carboidrato disponível,g,"15,0","15,0",BRC0576A,Nome não encontrado
Proteína,g,"3,14","3,14",BRC0576A,Nome não encontrado
Lipídios,g,"1,99","1,99",BRC0576A,Nome não encontrado
Fibra alimentar,g,"1,64","1,64",BRC0576A,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0576A,Nome não encontrado
Cinzas,g,"0,90","0,90",BRC0576A,Nome não encontrado
Colesterol,mg,"8,31","8,31",BRC0576A,Nome não encontrado
Ácidos graxos saturados,g,"0,49","0,49",BRC0576A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,51","0,51",BRC0576A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,92","0,92",BRC0576A,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00",BRC0576A,Nome não encontrado
Cálcio,mg,"9,43","9,43",BRC0576A,Nome não encontrado
Ferro,mg,"1,02","1,02",BRC0576A,Nome não encontrado
Sódio,mg,203,203,BRC0576A,Nome não encontrado
Magnésio,mg,"7,41","7,41",BRC0576A,Nome não encontrado
Fósforo,mg,"31,3","31,3",BRC0576A,Nome não encontrado
Potássio,mg,128,128,BRC0576A,Nome não encontrado
Manganês,mg,"0,12","0,12",BRC0576A,Nome não encontrado
Zinco,mg,"0,27","0,27",BRC0576A,Nome não encontrado
Cobre,mg,"0,07","0,07",BRC0576A,Nome não encontrado
Selênio,mcg,"1,59","1,59",BRC0576A,Nome não encontrado
Vitamina A (RE),mcg,"81,3","81,3",BRC0576A,Nome não encontrado
Vitamina A (RAE),mcg,"42,1","42,1",BRC0576A,Nome não encontrado
Vitamina D,mcg,"0,04","0,04",BRC0576A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,43","0,43",BRC0576A,Nome não encontrado
Tiamina,mg,"0,06","0,06",BRC0576A,Nome não encontrado
Riboflavina,mg,"0,01","0,01",BRC0576A,Nome não encontrado
Niacina,mg,"1,85","1,85",BRC0576A,Nome não encontrado
Vitamina B6,mg,"0,02","0,02",BRC0576A,Nome não encontrado
Vitamina B12,mcg,"0,02","0,02",BRC0576A,Nome não encontrado
Vitamina C,mg,"5,74","5,74",BRC0576A,Nome não encontrado
Equivalente de folato,mcg,"45,7","45,7",BRC0576A,Nome não encontrado
Sal de adição,g,"0,47","0,47",BRC0576A,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0576A,Nome não encontrado
Gordura de adição,g,-,-,BRC0576A,Nome não encontrado
Proteína vegetal,g,-,-,BRC0576A,Nome não encontrado
Proteína animal,g,-,-,BRC0576A,Nome não encontrado
