componente,unidade,Valor por 100g,Colher sopa cheia (30 g),Colher sopa rasa (15 g),codigo_alimento,nome_alimento
Energia,kJ,1164,349,174,BRC0066G,Nome não encontrado
Energia,kcal,281,84,42,BRC0066G,Nome não encontrado
Umidade,g,"59,1","17,7","8,86",BRC0066G,Nome não encontrado
Carboidrato total,g,"3,03","0,91","0,45",BRC0066G,Nome não encontrado
Carboidrato disponível,g,"3,03","0,91","0,45",BRC0066G,Nome não encontrado
Proteína,g,"9,91","2,97","1,49",BRC0066G,Nome não encontrado
Lipídios,g,"25,5","7,65","3,83",BRC0066G,Nome não encontrado
Fibra alimentar,g,"0,00","0,00","0,00",BRC0066G,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0066G,Nome não encontrado
Cinzas,g,"2,46","0,74","0,37",BRC0066G,Nome não encontrado
Colesterol,mg,"80,2","24,1","12,0",BRC0066G,Nome não encontrado
Ácidos graxos saturados,g,"14,9","4,47","2,24",BRC0066G,Nome não encontrado
Ácidos graxos monoinsaturados,g,"6,97","2,09","1,04",BRC0066G,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,33","0,10","0,05",BRC0066G,Nome não encontrado
Ácidos graxos trans,g,"0,72","0,22","0,11",BRC0066G,Nome não encontrado
Cálcio,mg,283,"85,1","42,6",BRC0066G,Nome não encontrado
Ferro,mg,"0,13","0,04","0,02",BRC0066G,Nome não encontrado
Sódio,mg,608,182,"91,2",BRC0066G,Nome não encontrado
Magnésio,mg,"10,8","3,24","1,62",BRC0066G,Nome não encontrado
Fósforo,mg,488,146,"73,2",BRC0066G,Nome não encontrado
Potássio,mg,101,"30,4","15,2",BRC0066G,Nome não encontrado
Manganês,mg,"0,02","0,01","0,00",BRC0066G,Nome não encontrado
Zinco,mg,"1,40","0,42","0,21",BRC0066G,Nome não encontrado
Cobre,mg,"0,05","0,01","0,01",BRC0066G,Nome não encontrado
Selênio,mcg,"13,0","3,90","1,95",BRC0066G,Nome não encontrado
Vitamina A (RE),mcg,214,"64,4","32,2",BRC0066G,Nome não encontrado
Vitamina A (RAE),mcg,213,"64,0","32,0",BRC0066G,Nome não encontrado
Vitamina D,mcg,"0,45","0,13","0,07",BRC0066G,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,69","0,21","0,10",BRC0066G,Nome não encontrado
Tiamina,mg,traços,traços,traços,BRC0066G,Nome não encontrado
Riboflavina,mg,"0,21","0,06","0,03",BRC0066G,Nome não encontrado
Niacina,mg,traços,traços,traços,BRC0066G,Nome não encontrado
Vitamina B6,mg,traços,traços,traços,BRC0066G,Nome não encontrado
Vitamina B12,mcg,"0,39","0,12","0,06",BRC0066G,Nome não encontrado
Vitamina C,mg,traços,traços,traços,BRC0066G,Nome não encontrado
Equivalente de folato,mcg,"11,8","3,55","1,77",BRC0066G,Nome não encontrado
Sal de adição,g,,,,BRC0066G,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0066G,Nome não encontrado
Gordura de adição,g,,,,BRC0066G,Nome não encontrado
Proteína vegetal,g,"0,00","0,00","0,00",BRC0066G,Nome não encontrado
Proteína animal,g,"9,91","2,97","1,49",BRC0066G,Nome não encontrado
