componente,unidade,Valor por 100g,Colher servir cheia (35 g),Colher sopa cheia (17 g),Concha cheia (140 g),Concha rasa (80 g),codigo_alimento,nome_alimento
Energia,kJ,297,103,50,415,237,BRC0001T,Nome não encontrado
Energia,kcal,71,24,12,99,56,BRC0001T,Nome não encontrado
Umidade,g,"78,8","27,6","13,4",110,"63,0",BRC0001T,Nome não encontrado
Carboidrato total,g,"15,3","5,34","2,59","21,4","12,2",BRC0001T,Nome não encontrado
Carboidrato disponível,g,"8,20","2,87","1,39","11,5","6,56",BRC0001T,Nome não encontrado
Proteína,g,"4,77","1,67","0,81","6,68","3,82",BRC0001T,Nome não encontrado
Lipídios,g,"0,54","0,19","0,09","0,75","0,43",BRC0001T,Nome não encontrado
Fibra alimentar,g,"7,06","2,47","1,20","9,88","5,64",BRC0001T,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00","0,00",BRC0001T,Nome não encontrado
Cinzas,g,"0,67","0,23","0,11","0,93","0,53",BRC0001T,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00","0,00","0,00",BRC0001T,Nome não encontrado
Ácidos graxos saturados,g,"0,10","0,04","0,02","0,14","0,08",BRC0001T,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,10","0,04","0,02","0,14","0,08",BRC0001T,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,30","0,11","0,05","0,42","0,24",BRC0001T,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00","0,00","0,00",BRC0001T,Nome não encontrado
Cálcio,mg,"28,7","10,0","4,88","40,2","22,9",BRC0001T,Nome não encontrado
Ferro,mg,"1,39","0,49","0,24","1,95","1,11",BRC0001T,Nome não encontrado
Sódio,mg,"1,90","0,66","0,32","2,66","1,52",BRC0001T,Nome não encontrado
Magnésio,mg,"45,7","16,0","7,77","64,0","36,5",BRC0001T,Nome não encontrado
Fósforo,mg,"93,7","32,8","15,9",131,"75,0",BRC0001T,Nome não encontrado
Potássio,mg,274,"96,1","46,7",384,219,BRC0001T,Nome não encontrado
Manganês,mg,"0,31","0,11","0,05","0,43","0,24",BRC0001T,Nome não encontrado
Zinco,mg,"0,76","0,26","0,13","1,06","0,60",BRC0001T,Nome não encontrado
Cobre,mg,"0,20","0,07","0,03","0,28","0,16",BRC0001T,Nome não encontrado
Selênio,mcg,"0,02","0,01","0,00","0,03","0,02",BRC0001T,Nome não encontrado
Vitamina A (RE),mcg,,,,,,BRC0001T,Nome não encontrado
Vitamina A (RAE),mcg,,,,,,BRC0001T,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00","0,00",BRC0001T,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,78","0,27","0,13","1,09","0,62",BRC0001T,Nome não encontrado
Tiamina,mg,"0,04","0,02","0,01","0,06","0,03",BRC0001T,Nome não encontrado
Riboflavina,mg,traços,traços,traços,traços,traços,BRC0001T,Nome não encontrado
Niacina,mg,traços,traços,traços,traços,traços,BRC0001T,Nome não encontrado
Vitamina B6,mg,traços,traços,traços,traços,traços,BRC0001T,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00","0,00","0,00",BRC0001T,Nome não encontrado
Vitamina C,mg,traços,traços,traços,traços,traços,BRC0001T,Nome não encontrado
Equivalente de folato,mcg,"98,5","34,5","16,8",137,"78,8",BRC0001T,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00","0,00",BRC0001T,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00","0,00",BRC0001T,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00","0,00","0,00",BRC0001T,Nome não encontrado
Proteína vegetal,g,"4,77","1,67","0,81","6,68","3,82",BRC0001T,Nome não encontrado
Proteína animal,g,"0,00","0,00","0,00","0,00","0,00",BRC0001T,Nome não encontrado
