componente,unidade,Valor por 100g,Pedaço/ Unidade/ Fatia (M) (50 g),Porção Média (50 g),codigo_alimento,nome_alimento
Energia,kJ,520,259,259,BRC0023J,Nome não encontrado
Energia,kcal,125,62,62,BRC0023J,Nome não encontrado
Umidade,g,"78,4","39,2","39,2",BRC0023J,Nome não encontrado
Carboidrato total,g,"1,38","0,69","0,69",BRC0023J,Nome não encontrado
Carboidrato disponível,g,"1,38","0,69","0,69",BRC0023J,Nome não encontrado
Proteína,g,"10,3","5,17","5,17",BRC0023J,Nome não encontrado
Lipídios,g,"8,66","4,33","4,33",BRC0023J,Nome não encontrado
Fibra alimentar,g,"0,00","0,00","0,00",BRC0023J,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0023J,Nome não encontrado
Cinzas,g,"1,26","0,63","0,63",BRC0023J,Nome não encontrado
Colesterol,mg,362,181,181,BRC0023J,Nome não encontrado
Ácidos graxos saturados,g,"2,65","1,33","1,33",BRC0023J,Nome não encontrado
Ácidos graxos monoinsaturados,g,"3,47","1,74","1,74",BRC0023J,Nome não encontrado
Ácidos graxos poliinsaturados,g,"1,01","0,50","0,50",BRC0023J,Nome não encontrado
Ácidos graxos trans,g,"0,02","0,01","0,01",BRC0023J,Nome não encontrado
Cálcio,mg,"43,1","21,6","21,6",BRC0023J,Nome não encontrado
Ferro,mg,"1,33","0,66","0,66",BRC0023J,Nome não encontrado
Sódio,mg,315,157,157,BRC0023J,Nome não encontrado
Magnésio,mg,"9,83","4,92","4,92",BRC0023J,Nome não encontrado
Fósforo,mg,160,"80,5","80,5",BRC0023J,Nome não encontrado
Potássio,mg,121,"60,7","60,7",BRC0023J,Nome não encontrado
Manganês,mg,"0,02","0,01","0,01",BRC0023J,Nome não encontrado
Zinco,mg,"1,08","0,54","0,54",BRC0023J,Nome não encontrado
Cobre,mg,"0,04","0,02","0,02",BRC0023J,Nome não encontrado
Selênio,mcg,"14,9","7,47","7,47",BRC0023J,Nome não encontrado
Vitamina A (RE),mcg,,traços,traços,BRC0023J,Nome não encontrado
Vitamina A (RAE),mcg,,traços,traços,BRC0023J,Nome não encontrado
Vitamina D,mcg,"1,80","0,90","0,90",BRC0023J,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,84","0,42","0,42",BRC0023J,Nome não encontrado
Tiamina,mg,"0,07","0,03","0,03",BRC0023J,Nome não encontrado
Riboflavina,mg,"0,26","0,13","0,13",BRC0023J,Nome não encontrado
Niacina,mg,traços,traços,traços,BRC0023J,Nome não encontrado
Vitamina B6,mg,traços,traços,traços,BRC0023J,Nome não encontrado
Vitamina B12,mcg,"0,93","0,46","0,46",BRC0023J,Nome não encontrado
Vitamina C,mg,"0,00","0,00","0,00",BRC0023J,Nome não encontrado
Equivalente de folato,mcg,"36,7","18,4","18,4",BRC0023J,Nome não encontrado
Sal de adição,g,"0,47","0,24","0,24",BRC0023J,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0023J,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0023J,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0023J,Nome não encontrado
Proteína animal,g,-,-,-,BRC0023J,Nome não encontrado
