componente,unidade,Valor por 100g,Colher servir cheia (55 g),codigo_alimento,nome_alimento
Energia,kJ,482,264,BRC0454N,Nome não encontrado
Energia,kcal,115,63,BRC0454N,Nome não encontrado
Umidade,g,"77,2","42,5",BRC0454N,Nome não encontrado
Carboidrato total,g,"5,23","2,88",BRC0454N,Nome não encontrado
Carboidrato disponível,g,"3,97","2,19",BRC0454N,Nome não encontrado
Proteína,g,"10,7","5,89",BRC0454N,Nome não encontrado
Lipídios,g,"6,00","3,30",BRC0454N,Nome não encontrado
Fibra alimentar,g,"1,26","0,69",BRC0454N,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0454N,Nome não encontrado
Cinzas,g,"0,82","0,45",BRC0454N,Nome não encontrado
Colesterol,mg,"37,8","20,8",BRC0454N,Nome não encontrado
Ácidos graxos saturados,g,"2,28","1,25",BRC0454N,Nome não encontrado
Ácidos graxos monoinsaturados,g,"2,78","1,53",BRC0454N,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,39","0,22",BRC0454N,Nome não encontrado
Ácidos graxos trans,g,"0,13","0,07",BRC0454N,Nome não encontrado
Cálcio,mg,"16,0","8,83",BRC0454N,Nome não encontrado
Ferro,mg,"1,06","0,58",BRC0454N,Nome não encontrado
Sódio,mg,120,"66,5",BRC0454N,Nome não encontrado
Magnésio,mg,"11,9","6,53",BRC0454N,Nome não encontrado
Fósforo,mg,"73,9","40,6",BRC0454N,Nome não encontrado
Potássio,mg,180,"99,5",BRC0454N,Nome não encontrado
Manganês,mg,"0,04","0,02",BRC0454N,Nome não encontrado
Zinco,mg,"2,95","1,62",BRC0454N,Nome não encontrado
Cobre,mg,"0,07","0,04",BRC0454N,Nome não encontrado
Selênio,mcg,"0,18","0,10",BRC0454N,Nome não encontrado
Vitamina A (RE),mcg,"86,8","47,7",BRC0454N,Nome não encontrado
Vitamina A (RAE),mcg,"43,6","24,0",BRC0454N,Nome não encontrado
Vitamina D,mcg,"0,97","0,53",BRC0454N,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,56","0,31",BRC0454N,Nome não encontrado
Tiamina,mg,"0,03","0,02",BRC0454N,Nome não encontrado
Riboflavina,mg,"0,02","0,01",BRC0454N,Nome não encontrado
Niacina,mg,"0,61","0,33",BRC0454N,Nome não encontrado
Vitamina B6,mg,"0,06","0,03",BRC0454N,Nome não encontrado
Vitamina B12,mcg,"0,95","0,52",BRC0454N,Nome não encontrado
Vitamina C,mg,"9,21","5,06",BRC0454N,Nome não encontrado
Equivalente de folato,mcg,"20,9","11,5",BRC0454N,Nome não encontrado
Sal de adição,g,"0,25","0,14",BRC0454N,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0454N,Nome não encontrado
Gordura de adição,g,-,-,BRC0454N,Nome não encontrado
Proteína vegetal,g,-,-,BRC0454N,Nome não encontrado
Proteína animal,g,-,-,BRC0454N,Nome não encontrado
