componente,unidade,Valor por 100g,Colher servir cheia (45 g),Colher servir rasa (28 g),Colher sopa cheia (20 g),Colher sopa rasa (15 g),Escumadeira cheia (110 g),Escumadeira rasa (60 g),codigo_alimento,nome_alimento
Energia,kJ,153,68,42,30,22,167,91,BRC0058B,Nome não encontrado
Energia,kcal,37,16,10,7,5,40,21,BRC0058B,Nome não encontrado
Umidade,g,"90,8","40,9","25,4","18,2","13,6","99,9","54,5",BRC0058B,Nome não encontrado
Carboidrato total,g,"5,94","2,67","1,66","1,19","0,89","6,54","3,57",BRC0058B,Nome não encontrado
Carboidrato disponível,g,"4,07","1,83","1,14","0,81","0,61","4,47","2,44",BRC0058B,Nome não encontrado
Proteína,g,"1,26","0,57","0,35","0,25","0,19","1,39","0,76",BRC0058B,Nome não encontrado
Lipídios,g,"1,27","0,57","0,36","0,25","0,19","1,40","0,76",BRC0058B,Nome não encontrado
Fibra alimentar,g,"1,88","0,85","0,53","0,38","0,28","2,07","1,13",BRC0058B,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0058B,Nome não encontrado
Cinzas,g,"0,68","0,30","0,19","0,14","0,10","0,74","0,41",BRC0058B,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0058B,Nome não encontrado
Ácidos graxos saturados,g,"0,20","0,09","0,06","0,04","0,03","0,22","0,12",BRC0058B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,28","0,13","0,08","0,06","0,04","0,31","0,17",BRC0058B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,75","0,34","0,21","0,15","0,11","0,83","0,45",BRC0058B,Nome não encontrado
Ácidos graxos trans,g,"0,01","0,00","0,00","0,00","0,00","0,01","0,00",BRC0058B,Nome não encontrado
Cálcio,mg,"14,6","6,58","4,09","2,92","2,19","16,1","8,77",BRC0058B,Nome não encontrado
Ferro,mg,"0,24","0,11","0,07","0,05","0,04","0,27","0,15",BRC0058B,Nome não encontrado
Sódio,mg,127,"57,6","35,8","25,6","19,2",140,"76,7",BRC0058B,Nome não encontrado
Magnésio,mg,"10,9","4,89","3,04","2,17","1,63","12,0","6,52",BRC0058B,Nome não encontrado
Fósforo,mg,"26,6","12,0","7,46","5,33","3,99","29,3","16,0",BRC0058B,Nome não encontrado
Potássio,mg,178,"80,2","49,9","35,6","26,7",196,106,BRC0058B,Nome não encontrado
Manganês,mg,"0,11","0,05","0,03","0,02","0,02","0,12","0,07",BRC0058B,Nome não encontrado
Zinco,mg,"0,20","0,09","0,06","0,04","0,03","0,22","0,12",BRC0058B,Nome não encontrado
Cobre,mg,"0,05","0,02","0,01","0,01","0,01","0,05","0,03",BRC0058B,Nome não encontrado
Selênio,mcg,"0,40","0,18","0,11","0,08","0,06","0,44","0,24",BRC0058B,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0058B,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0058B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0058B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,23","0,10","0,06","0,05","0,03","0,25","0,14",BRC0058B,Nome não encontrado
Tiamina,mg,traços,traços,traços,traços,traços,traços,traços,BRC0058B,Nome não encontrado
Riboflavina,mg,traços,traços,traços,traços,traços,traços,traços,BRC0058B,Nome não encontrado
Niacina,mg,traços,traços,traços,traços,traços,traços,traços,BRC0058B,Nome não encontrado
Vitamina B6,mg,"0,01","0,00","0,00","0,00","0,00","0,01","0,01",BRC0058B,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0058B,Nome não encontrado
Vitamina C,mg,"11,4","5,14","3,20","2,29","1,71","12,6","6,86",BRC0058B,Nome não encontrado
Equivalente de folato,mcg,"76,7","34,5","21,5","15,3","11,5","84,4","46,0",BRC0058B,Nome não encontrado
Sal de adição,g,"0,32","0,14","0,09","0,06","0,05","0,35","0,19",BRC0058B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0058B,Nome não encontrado
Gordura de adição,g,-,-,-,-,-,-,-,BRC0058B,Nome não encontrado
Proteína vegetal,g,-,-,-,-,-,-,-,BRC0058B,Nome não encontrado
Proteína animal,g,-,-,-,-,-,-,-,BRC0058B,Nome não encontrado
