componente,unidade,Valor por 100g,Colher servir cheia (60 g),Colher servir rasa (40 g),Colher sopa cheia (30 g),Escumadeira cheia (80 g),Escumadeira rasa (50 g),codigo_alimento,nome_alimento
Energia,kJ,377,226,150,113,301,188,BRC0141B,Nome não encontrado
Energia,kcal,89,53,35,26,71,44,BRC0141B,Nome não encontrado
Umidade,g,"76,0","45,6","30,4","22,8","60,8","38,0",BRC0141B,Nome não encontrado
Carboidrato total,g,"20,4","12,2","8,17","6,12","16,3","10,2",BRC0141B,Nome não encontrado
Carboidrato disponível,g,"18,8","11,3","7,51","5,64","15,0","9,39",BRC0141B,Nome não encontrado
Proteína,g,"2,52","1,51","1,01","0,76","2,01","1,26",BRC0141B,Nome não encontrado
Lipídios,g,"0,05","0,03","0,02","0,01","0,04","0,02",BRC0141B,Nome não encontrado
Fibra alimentar,g,"1,63","0,98","0,65","0,49","1,30","0,82",BRC0141B,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00","0,00","0,00",BRC0141B,Nome não encontrado
Cinzas,g,"1,04","0,63","0,42","0,31","0,84","0,52",BRC0141B,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00","0,00","0,00","0,00",BRC0141B,Nome não encontrado
Ácidos graxos saturados,g,"0,01","0,01","0,00","0,00","0,01","0,01",BRC0141B,Nome não encontrado
Ácidos graxos monoinsaturados,g,traços,traços,traços,traços,traços,traços,BRC0141B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,02","0,01","0,01","0,01","0,01","0,01",BRC0141B,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00","0,00","0,00","0,00",BRC0141B,Nome não encontrado
Cálcio,mg,"4,66","2,80","1,86","1,40","3,73","2,33",BRC0141B,Nome não encontrado
Ferro,mg,"0,51","0,30","0,20","0,15","0,40","0,25",BRC0141B,Nome não encontrado
Sódio,mg,187,112,"75,1","56,3",150,"93,9",BRC0141B,Nome não encontrado
Magnésio,mg,"18,5","11,1","7,40","5,55","14,8","9,25",BRC0141B,Nome não encontrado
Fósforo,mg,"54,2","32,5","21,7","16,2","43,3","27,1",BRC0141B,Nome não encontrado
Potássio,mg,549,329,219,164,439,274,BRC0141B,Nome não encontrado
Manganês,mg,"0,14","0,08","0,05","0,04","0,11","0,07",BRC0141B,Nome não encontrado
Zinco,mg,"0,33","0,20","0,13","0,10","0,27","0,17",BRC0141B,Nome não encontrado
Cobre,mg,"0,13","0,08","0,05","0,04","0,10","0,07",BRC0141B,Nome não encontrado
Selênio,mcg,"0,37","0,22","0,15","0,11","0,30","0,19",BRC0141B,Nome não encontrado
Vitamina A (RE),mcg,traços,traços,traços,traços,traços,traços,BRC0141B,Nome não encontrado
Vitamina A (RAE),mcg,traços,traços,traços,traços,traços,traços,BRC0141B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00","0,00","0,00",BRC0141B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,01","0,01","0,00","0,00","0,01","0,01",BRC0141B,Nome não encontrado
Tiamina,mg,"0,11","0,07","0,04","0,03","0,09","0,05",BRC0141B,Nome não encontrado
Riboflavina,mg,traços,traços,traços,traços,traços,traços,BRC0141B,Nome não encontrado
Niacina,mg,traços,traços,traços,traços,traços,traços,BRC0141B,Nome não encontrado
Vitamina B6,mg,"0,19","0,11","0,08","0,06","0,15","0,09",BRC0141B,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00","0,00","0,00","0,00",BRC0141B,Nome não encontrado
Vitamina C,mg,"34,9","21,0","14,0","10,5","28,0","17,5",BRC0141B,Nome não encontrado
Equivalente de folato,mcg,"15,7","9,41","6,27","4,71","12,5","7,84",BRC0141B,Nome não encontrado
Sal de adição,g,"0,47","0,28","0,19","0,14","0,38","0,24",BRC0141B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00","0,00","0,00",BRC0141B,Nome não encontrado
Gordura de adição,g,-,-,-,-,-,-,BRC0141B,Nome não encontrado
Proteína vegetal,g,-,-,-,-,-,-,BRC0141B,Nome não encontrado
Proteína animal,g,-,-,-,-,-,-,BRC0141B,Nome não encontrado
