componente,unidade,Valor por 100g,Colher sopa cheia (30 g),codigo_alimento,nome_alimento
Energia,kJ,1001,300,BRC0241T,Nome não encontrado
Energia,kcal,241,72,BRC0241T,Nome não encontrado
Umidade,g,"57,1","17,1",BRC0241T,Nome não encontrado
Carboidrato total,g,"18,3","5,49",BRC0241T,Nome não encontrado
Carboidrato disponível,g,"14,2","4,27",BRC0241T,Nome não encontrado
Proteína,g,"6,86","2,06",BRC0241T,Nome não encontrado
Lipídios,g,"16,5","4,94",BRC0241T,Nome não encontrado
Fibra alimentar,g,"4,05","1,21",BRC0241T,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0241T,Nome não encontrado
Cinzas,g,"1,22","0,37",BRC0241T,Nome não encontrado
Colesterol,mg,"0,01","0,00",BRC0241T,Nome não encontrado
Ácidos graxos saturados,g,"8,86","2,66",BRC0241T,Nome não encontrado
Ácidos graxos monoinsaturados,g,"4,49","1,35",BRC0241T,Nome não encontrado
Ácidos graxos poliinsaturados,g,"1,52","0,46",BRC0241T,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00",BRC0241T,Nome não encontrado
Cálcio,mg,"70,4","21,1",BRC0241T,Nome não encontrado
Ferro,mg,"2,98","0,89",BRC0241T,Nome não encontrado
Sódio,mg,"9,71","2,91",BRC0241T,Nome não encontrado
Magnésio,mg,"68,0","20,4",BRC0241T,Nome não encontrado
Fósforo,mg,184,"55,5",BRC0241T,Nome não encontrado
Potássio,mg,258,"77,4",BRC0241T,Nome não encontrado
Manganês,mg,"0,22","0,07",BRC0241T,Nome não encontrado
Zinco,mg,"1,10","0,33",BRC0241T,Nome não encontrado
Cobre,mg,"0,12","0,04",BRC0241T,Nome não encontrado
Selênio,mcg,"0,01","0,00",BRC0241T,Nome não encontrado
Vitamina A (RE),mcg,"0,65","0,20",BRC0241T,Nome não encontrado
Vitamina A (RAE),mcg,"0,65","0,20",BRC0241T,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0241T,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,19","0,06",BRC0241T,Nome não encontrado
Tiamina,mg,"0,04","0,01",BRC0241T,Nome não encontrado
Riboflavina,mg,"0,03","0,01",BRC0241T,Nome não encontrado
Niacina,mg,"0,34","0,10",BRC0241T,Nome não encontrado
Vitamina B6,mg,"0,03","0,01",BRC0241T,Nome não encontrado
Vitamina B12,mcg,"0,09","0,03",BRC0241T,Nome não encontrado
Vitamina C,mg,"0,01","0,00",BRC0241T,Nome não encontrado
Equivalente de folato,mcg,"8,46","2,54",BRC0241T,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0241T,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0241T,Nome não encontrado
Gordura de adição,g,-,-,BRC0241T,Nome não encontrado
Proteína vegetal,g,-,-,BRC0241T,Nome não encontrado
Proteína animal,g,-,-,BRC0241T,Nome não encontrado
