componente,unidade,Valor por 100g,Colher servir cheia (50 g),Colher servir rasa (35 g),Colher sopa cheia (25 g),Colher sopa rasa (15 g),Escumadeira cheia (65 g),codigo_alimento,nome_alimento
Energia,kJ,1036,518,362,259,155,673,BRC0048B,Nome não encontrado
Energia,kcal,248,123,86,61,37,160,BRC0048B,Nome não encontrado
Umidade,g,"49,3","24,7","17,3","12,3","7,40","32,0",BRC0048B,Nome não encontrado
Carboidrato total,g,"32,9","16,5","11,5","8,23","4,94","21,4",BRC0048B,Nome não encontrado
Carboidrato disponível,g,"29,4","14,7","10,3","7,35","4,41","19,1",BRC0048B,Nome não encontrado
Proteína,g,"4,06","2,03","1,42","1,02","0,61","2,64",BRC0048B,Nome não encontrado
Lipídios,g,"11,9","5,97","4,18","2,99","1,79","7,76",BRC0048B,Nome não encontrado
Fibra alimentar,g,"3,18","1,59","1,11","0,80","0,48","2,07",BRC0048B,Nome não encontrado
Álcool,g,-,-,-,-,-,-,BRC0048B,Nome não encontrado
Cinzas,g,"1,88","0,94","0,66","0,47","0,28","1,22",BRC0048B,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00","0,00","0,00","0,00",BRC0048B,Nome não encontrado
Ácidos graxos saturados,g,"1,99","1,00","0,70","0,50","0,30","1,29",BRC0048B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"3,10","1,55","1,09","0,78","0,47","2,02",BRC0048B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"6,01","3,01","2,10","1,50","0,90","3,91",BRC0048B,Nome não encontrado
Ácidos graxos trans,g,"0,06","0,03","0,02","0,02","0,01","0,04",BRC0048B,Nome não encontrado
Cálcio,mg,"5,70","2,85","2,00","1,43","0,86","3,71",BRC0048B,Nome não encontrado
Ferro,mg,"0,40","0,20","0,14","0,10","0,06","0,26",BRC0048B,Nome não encontrado
Sódio,mg,"1,74","0,87","0,61","0,44","0,26","1,13",BRC0048B,Nome não encontrado
Magnésio,mg,"12,8","6,41","4,48","3,20","1,92","8,33",BRC0048B,Nome não encontrado
Fósforo,mg,"63,3","31,6","22,1","15,8","9,49","41,1",BRC0048B,Nome não encontrado
Potássio,mg,443,221,155,110,"66,6",288,BRC0048B,Nome não encontrado
Manganês,mg,"0,13","0,07","0,05","0,03","0,02","0,08",BRC0048B,Nome não encontrado
Zinco,mg,"0,34","0,17","0,12","0,09","0,05","0,22",BRC0048B,Nome não encontrado
Cobre,mg,"0,09","0,05","0,03","0,02","0,01","0,06",BRC0048B,Nome não encontrado
Selênio,mcg,"0,78","0,39","0,27","0,20","0,12","0,51",BRC0048B,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00","0,00","0,00","0,00","0,00",BRC0048B,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00","0,00","0,00","0,00","0,00",BRC0048B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00","0,00","0,00",BRC0048B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,,traços,,,,,BRC0048B,Nome não encontrado
Tiamina,mg,"0,16","0,08","0,06","0,04","0,02","0,11",BRC0048B,Nome não encontrado
Riboflavina,mg,traços,traços,traços,traços,traços,traços,BRC0048B,Nome não encontrado
Niacina,mg,"2,28","1,14","0,80","0,57","0,34","1,48",BRC0048B,Nome não encontrado
Vitamina B6,mg,"0,09","0,05","0,03","0,02","0,01","0,06",BRC0048B,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00","0,00","0,00","0,00",BRC0048B,Nome não encontrado
Vitamina C,mg,"14,8","7,42","5,19","3,71","2,23","9,65",BRC0048B,Nome não encontrado
Equivalente de folato,mcg,"18,3","9,16","6,41","4,58","2,75","11,9",BRC0048B,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00","0,00","0,00",BRC0048B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00","0,00","0,00",BRC0048B,Nome não encontrado
Gordura de adição,g,,traços,,,,,BRC0048B,Nome não encontrado
Proteína vegetal,g,"4,06","2,03","1,42","1,02","0,61","2,64",BRC0048B,Nome não encontrado
Proteína animal,g,"0,00","0,00","0,00","0,00","0,00","0,00",BRC0048B,Nome não encontrado
