componente,unidade,Valor por 100g,Colher servir rasa (40 g),codigo_alimento,nome_alimento
Energia,kJ,562,224,BRC0044E,Nome não encontrado
Energia,kcal,133,53,BRC0044E,Nome não encontrado
Umidade,g,"65,9","26,4",BRC0044E,Nome não encontrado
Carboidrato total,g,"1,22","0,49",BRC0044E,Nome não encontrado
Carboidrato disponível,g,"1,22","0,49",BRC0044E,Nome não encontrado
Proteína,g,"24,0","9,59",BRC0044E,Nome não encontrado
Lipídios,g,"3,61","1,44",BRC0044E,Nome não encontrado
Fibra alimentar,g,"0,00","0,00",BRC0044E,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0044E,Nome não encontrado
Cinzas,g,"5,28","2,11",BRC0044E,Nome não encontrado
Colesterol,mg,111,"44,8",BRC0044E,Nome não encontrado
Ácidos graxos saturados,g,"0,90","0,36",BRC0044E,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,10","0,44",BRC0044E,Nome não encontrado
Ácidos graxos poliinsaturados,g,"1,20","0,48",BRC0044E,Nome não encontrado
Ácidos graxos trans,g,"1,00","0,40",BRC0044E,Nome não encontrado
Cálcio,mg,"59,1","23,6",BRC0044E,Nome não encontrado
Ferro,mg,"0,15","0,06",BRC0044E,Nome não encontrado
Sódio,mg,1256,502,BRC0044E,Nome não encontrado
Magnésio,mg,"15,1","6,02",BRC0044E,Nome não encontrado
Fósforo,mg,"51,3","20,5",BRC0044E,Nome não encontrado
Potássio,mg,"50,2","20,1",BRC0044E,Nome não encontrado
Manganês,mg,traços,traços,BRC0044E,Nome não encontrado
Zinco,mg,"0,56","0,22",BRC0044E,Nome não encontrado
Cobre,mg,"0,04","0,02",BRC0044E,Nome não encontrado
Selênio,mcg,,,BRC0044E,Nome não encontrado
Vitamina A (RE),mcg,traços,traços,BRC0044E,Nome não encontrado
Vitamina A (RAE),mcg,traços,traços,BRC0044E,Nome não encontrado
Vitamina D,mcg,"5,03","2,01",BRC0044E,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"3,40","1,36",BRC0044E,Nome não encontrado
Tiamina,mg,"0,03","0,01",BRC0044E,Nome não encontrado
Riboflavina,mg,"0,05","0,02",BRC0044E,Nome não encontrado
Niacina,mg,"10,6","4,25",BRC0044E,Nome não encontrado
Vitamina B6,mg,traços,traços,BRC0044E,Nome não encontrado
Vitamina B12,mcg,"1,49","0,59",BRC0044E,Nome não encontrado
Vitamina C,mg,"1,42","0,57",BRC0044E,Nome não encontrado
Equivalente de folato,mcg,"11,3","4,53",BRC0044E,Nome não encontrado
Sal de adição,g,,,BRC0044E,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0044E,Nome não encontrado
Gordura de adição,g,,,BRC0044E,Nome não encontrado
Proteína vegetal,g,,,BRC0044E,Nome não encontrado
Proteína animal,g,,,BRC0044E,Nome não encontrado
