componente,unidade,Valor por 100g,Colher servir cheia (38 g),Colher servir rasa (27 g),Colher sopa cheia (27 g),Colher sopa rasa (16 g),codigo_alimento,nome_alimento
Energia,kJ,394,149,106,106,62,BRC0022T,Nome não encontrado
Energia,kcal,93,35,25,25,14,BRC0022T,Nome não encontrado
Umidade,g,"73,3","27,9","19,8","19,8","11,7",BRC0022T,Nome não encontrado
Carboidrato total,g,"19,2","7,28","5,17","5,17","3,06",BRC0022T,Nome não encontrado
Carboidrato disponível,g,"14,4","5,47","3,89","3,89","2,30",BRC0022T,Nome não encontrado
Proteína,g,"5,67","2,15","1,53","1,53","0,91",BRC0022T,Nome não encontrado
Lipídios,g,"0,39","0,15","0,11","0,11","0,06",BRC0022T,Nome não encontrado
Fibra alimentar,g,"4,75","1,81","1,28","1,28","0,76",BRC0022T,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00","0,00",BRC0022T,Nome não encontrado
Cinzas,g,"1,47","0,56","0,40","0,40","0,24",BRC0022T,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00","0,00","0,00",BRC0022T,Nome não encontrado
Ácidos graxos saturados,g,"0,10","0,04","0,03","0,03","0,02",BRC0022T,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,10","0,04","0,03","0,03","0,02",BRC0022T,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,21","0,08","0,06","0,06","0,03",BRC0022T,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00","0,00","0,00",BRC0022T,Nome não encontrado
Cálcio,mg,"20,9","7,95","5,65","5,65","3,35",BRC0022T,Nome não encontrado
Ferro,mg,"1,56","0,59","0,42","0,42","0,25",BRC0022T,Nome não encontrado
Sódio,mg,383,145,103,103,"61,3",BRC0022T,Nome não encontrado
Magnésio,mg,"23,0","8,73","6,20","6,20","3,68",BRC0022T,Nome não encontrado
Fósforo,mg,"72,6","27,6","19,6","19,6","11,6",BRC0022T,Nome não encontrado
Potássio,mg,145,"55,2","39,2","39,2","23,3",BRC0022T,Nome não encontrado
Manganês,mg,"0,29","0,11","0,08","0,08","0,05",BRC0022T,Nome não encontrado
Zinco,mg,"1,10","0,42","0,30","0,30","0,18",BRC0022T,Nome não encontrado
Cobre,mg,"0,17","0,06","0,05","0,05","0,03",BRC0022T,Nome não encontrado
Selênio,mcg,"1,80","0,68","0,49","0,49","0,29",BRC0022T,Nome não encontrado
Vitamina A (RE),mcg,"9,17","3,48","2,48","2,48","1,47",BRC0022T,Nome não encontrado
Vitamina A (RAE),mcg,"4,58","1,74","1,24","1,24","0,73",BRC0022T,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00","0,00",BRC0022T,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,19","0,07","0,05","0,05","0,03",BRC0022T,Nome não encontrado
Tiamina,mg,"0,09","0,03","0,02","0,02","0,01",BRC0022T,Nome não encontrado
Riboflavina,mg,"0,04","0,02","0,01","0,01","0,01",BRC0022T,Nome não encontrado
Niacina,mg,traços,traços,traços,traços,traços,BRC0022T,Nome não encontrado
Vitamina B6,mg,traços,traços,traços,traços,traços,BRC0022T,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00","0,00","0,00",BRC0022T,Nome não encontrado
Vitamina C,mg,"6,33","2,40","1,71","1,71","1,01",BRC0022T,Nome não encontrado
Equivalente de folato,mcg,"46,7","17,7","12,6","12,6","7,47",BRC0022T,Nome não encontrado
Sal de adição,g,,,,,,BRC0022T,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00","0,00",BRC0022T,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00","0,00","0,00",BRC0022T,Nome não encontrado
Proteína vegetal,g,"5,67","2,15","1,53","1,53","0,91",BRC0022T,Nome não encontrado
Proteína animal,g,"0,00","0,00","0,00","0,00","0,00",BRC0022T,Nome não encontrado
