componente,unidade,Valor por 100g,Colher sopa rasa (14 g),codigo_alimento,nome_alimento
Energia,kJ,2644,370,BRC0009J,Nome não encontrado
Energia,kcal,638,89,BRC0009J,Nome não encontrado
Umidade,g,"4,00","0,56",BRC0009J,Nome não encontrado
Carboidrato total,g,"8,00","1,12",BRC0009J,Nome não encontrado
Carboidrato disponível,g,"8,00","1,12",BRC0009J,Nome não encontrado
Proteína,g,"30,0","4,20",BRC0009J,Nome não encontrado
Lipídios,g,"54,0","7,56",BRC0009J,Nome não encontrado
Fibra alimentar,g,"0,00","0,00",BRC0009J,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0009J,Nome não encontrado
Cinzas,g,"4,00","0,56",BRC0009J,Nome não encontrado
Colesterol,mg,2106,294,BRC0009J,Nome não encontrado
Ácidos graxos saturados,g,"18,6","2,60",BRC0009J,Nome não encontrado
Ácidos graxos monoinsaturados,g,"21,3","2,99",BRC0009J,Nome não encontrado
Ácidos graxos poliinsaturados,g,"9,43","1,32",BRC0009J,Nome não encontrado
Ácidos graxos trans,g,"0,32","0,04",BRC0009J,Nome não encontrado
Cálcio,mg,286,"40,1",BRC0009J,Nome não encontrado
Ferro,mg,"9,47","1,33",BRC0009J,Nome não encontrado
Sódio,mg,147,"20,7",BRC0009J,Nome não encontrado
Magnésio,mg,"25,8","3,61",BRC0009J,Nome não encontrado
Fósforo,mg,1030,144,BRC0009J,Nome não encontrado
Potássio,mg,261,"36,6",BRC0009J,Nome não encontrado
Manganês,mg,,,BRC0009J,Nome não encontrado
Zinco,mg,"7,66","1,07",BRC0009J,Nome não encontrado
Cobre,mg,,,BRC0009J,Nome não encontrado
Selênio,mcg,,,BRC0009J,Nome não encontrado
Vitamina A (RE),mcg,,,BRC0009J,Nome não encontrado
Vitamina A (RAE),mcg,435,"61,0",BRC0009J,Nome não encontrado
Vitamina D,mcg,"9,50","1,33",BRC0009J,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"4,39","0,62",BRC0009J,Nome não encontrado
Tiamina,mg,"0,38","0,05",BRC0009J,Nome não encontrado
Riboflavina,mg,"1,25","0,17",BRC0009J,Nome não encontrado
Niacina,mg,"0,08","0,01",BRC0009J,Nome não encontrado
Vitamina B6,mg,"0,74","0,10",BRC0009J,Nome não encontrado
Vitamina B12,mcg,"5,06","0,71",BRC0009J,Nome não encontrado
Vitamina C,mg,"0,00","0,00",BRC0009J,Nome não encontrado
Equivalente de folato,mcg,207,"29,0",BRC0009J,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0009J,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0009J,Nome não encontrado
Gordura de adição,g,"0,00","0,00",BRC0009J,Nome não encontrado
Proteína vegetal,g,"0,00","0,00",BRC0009J,Nome não encontrado
Proteína animal,g,"30,0","4,20",BRC0009J,Nome não encontrado
